# material=Mn density=7.47
# Photon Energy [eV]  Attenuation Length [um]
3.494500e+03 4.331174e+00
3.551020e+03 4.526448e+00
3.608460e+03 4.730567e+00
3.666820e+03 4.943839e+00
3.726130e+03 5.166654e+00
3.786400e+03 5.399604e+00
3.847640e+03 5.642931e+00
3.909870e+03 5.897051e+00
3.973110e+03 6.162724e+00
4.037380e+03 6.440406e+00
4.102680e+03 6.730209e+00
4.169030e+03 7.033065e+00
4.236460e+03 7.349276e+00
4.304980e+03 7.679665e+00
4.374620e+03 8.024856e+00
4.445370e+03 8.384868e+00
4.517270e+03 8.761094e+00
4.590330e+03 9.153963e+00
4.664580e+03 9.563934e+00
4.740030e+03 9.992061e+00
4.816690e+03 1.043862e+01
4.894600e+03 1.090491e+01
4.973770e+03 1.139108e+01
5.054210e+03 1.189929e+01
5.135960e+03 1.242882e+01
5.219030e+03 1.298132e+01
5.303440e+03 1.355758e+01
5.389220e+03 1.415871e+01
5.476390e+03 1.478551e+01
5.564970e+03 1.543905e+01
5.654980e+03 1.612049e+01
5.746440e+03 1.683077e+01
5.839390e+03 1.757100e+01
5.933830e+03 1.834262e+01
6.029810e+03 1.914643e+01
6.127330e+03 1.998373e+01
6.226440e+03 2.085596e+01
6.327150e+03 2.176450e+01
6.429480e+03 2.271069e+01
6.533480e+03 2.369569e+01
6.538900e+03 2.374772e+01
6.539100e+03 2.948621e+00
6.639150e+03 3.060216e+00
6.746540e+03 3.182726e+00
6.855650e+03 3.310833e+00
6.966540e+03 3.444907e+00
7.079220e+03 3.585132e+00
7.193720e+03 3.731877e+00
7.310070e+03 3.885280e+00
7.428310e+03 4.045803e+00
7.548450e+03 4.213874e+00
7.670540e+03 4.389598e+00
7.794610e+03 4.573406e+00
7.920680e+03 4.765772e+00
8.048790e+03 4.967104e+00
8.178980e+03 5.177673e+00
8.311260e+03 5.398044e+00
8.445690e+03 5.628550e+00
8.582290e+03 5.869933e+00
8.721110e+03 6.122611e+00
8.862160e+03 6.386934e+00
9.005500e+03 6.663402e+00
9.151160e+03 6.952858e+00
9.299170e+03 7.255993e+00
9.449580e+03 7.573179e+00
9.602420e+03 7.905230e+00
9.757730e+03 8.252407e+00
9.915550e+03 8.616455e+00
1.007590e+04 8.997278e+00
1.023890e+04 9.395964e+00
1.040450e+04 9.813397e+00
1.057280e+04 1.025044e+01
1.074380e+04 1.070800e+01
1.091760e+04 1.118712e+01
1.109420e+04 1.168881e+01
1.127360e+04 1.221410e+01
1.145590e+04 1.276419e+01
1.164120e+04 1.334035e+01
1.182950e+04 1.394370e+01
1.202080e+04 1.457567e+01
1.221530e+04 1.523754e+01
1.241280e+04 1.593076e+01
1.261360e+04 1.665681e+01
1.281760e+04 1.741748e+01
1.302500e+04 1.821423e+01
1.323560e+04 1.904889e+01
1.344970e+04 1.992321e+01
1.366720e+04 2.083921e+01
1.388830e+04 2.179899e+01
1.411290e+04 2.280443e+01
1.434120e+04 2.385800e+01
1.457310e+04 2.496158e+01
1.480890e+04 2.611849e+01
1.504840e+04 2.733050e+01
1.529180e+04 2.860054e+01
1.553910e+04 2.993143e+01
1.579040e+04 3.132619e+01
1.604580e+04 3.278793e+01
1.630540e+04 3.432010e+01
1.656910e+04 3.592569e+01
1.683710e+04 3.760864e+01
1.710940e+04 3.937251e+01
1.738610e+04 4.122135e+01
1.766740e+04 4.315970e+01
1.795310e+04 4.519114e+01
1.824350e+04 4.732093e+01
1.853860e+04 4.955358e+01
1.883840e+04 5.189395e+01
1.914310e+04 5.434775e+01
1.945270e+04 5.692025e+01
1.976740e+04 5.961766e+01
2.008710e+04 6.244555e+01
2.041200e+04 6.541082e+01
2.074210e+04 6.851973e+01
2.107760e+04 7.177993e+01
2.141850e+04 7.519840e+01
2.176500e+04 7.878350e+01
2.211700e+04 8.254283e+01
2.247470e+04 8.648493e+01
2.283820e+04 9.061938e+01
2.320760e+04 9.495555e+01
2.358300e+04 9.950327e+01
2.396440e+04 1.042727e+02
2.435200e+04 1.092753e+02
2.474590e+04 1.145225e+02
2.514620e+04 1.200266e+02
2.555290e+04 1.257993e+02
2.596620e+04 1.318549e+02
2.638610e+04 1.382071e+02
2.681290e+04 1.448712e+02
2.724660e+04 1.518618e+02
2.768730e+04 1.591954e+02
2.813510e+04 1.668894e+02
2.859020e+04 1.749618e+02
2.905260e+04 1.834301e+02
2.952250e+04 1.923154e+02
3.000000e+04 2.016383e+02
