# material=Ca density=1.55
# Photon Energy [eV]  Attenuation Length [um]
9.681240e+02 1.235631e+00
9.837830e+02 1.285520e+00
9.996950e+02 1.337520e+00
1.015860e+03 1.391727e+00
1.032290e+03 1.449286e+00
1.048990e+03 1.509541e+00
1.065960e+03 1.572637e+00
1.083200e+03 1.638357e+00
1.100720e+03 1.706828e+00
1.118520e+03 1.778168e+00
1.136610e+03 1.852477e+00
1.155000e+03 1.929891e+00
1.173680e+03 2.010505e+00
1.192660e+03 2.094518e+00
1.211950e+03 2.182060e+00
1.231550e+03 2.273267e+00
1.251470e+03 2.368253e+00
1.271720e+03 2.467201e+00
1.292290e+03 2.570268e+00
1.313190e+03 2.677628e+00
1.334430e+03 2.789482e+00
1.356010e+03 2.906000e+00
1.377940e+03 3.027393e+00
1.400230e+03 3.153894e+00
1.422880e+03 3.285692e+00
1.445890e+03 3.422955e+00
1.469280e+03 3.566841e+00
1.493040e+03 3.718168e+00
1.517190e+03 3.882363e+00
1.541730e+03 4.054713e+00
1.566670e+03 4.234692e+00
1.592010e+03 4.422779e+00
1.617760e+03 4.619140e+00
1.643920e+03 4.823980e+00
1.670510e+03 5.038115e+00
1.697530e+03 5.261830e+00
1.724990e+03 5.495627e+00
1.752890e+03 5.740718e+00
1.781240e+03 5.997025e+00
1.810050e+03 6.265006e+00
1.839320e+03 6.545014e+00
1.869070e+03 6.837615e+00
1.899300e+03 7.143285e+00
1.930020e+03 7.462636e+00
1.961240e+03 7.796218e+00
1.992960e+03 8.144772e+00
2.025200e+03 8.506687e+00
2.057950e+03 8.887324e+00
2.091240e+03 9.285068e+00
2.125060e+03 9.700534e+00
2.159430e+03 1.013465e+01
2.194360e+03 1.058818e+01
2.229850e+03 1.106189e+01
2.265920e+03 1.155665e+01
2.302570e+03 1.207327e+01
2.339810e+03 1.261295e+01
2.377660e+03 1.317649e+01
2.416110e+03 1.376486e+01
2.455190e+03 1.437919e+01
2.494900e+03 1.502079e+01
2.535260e+03 1.569034e+01
2.576260e+03 1.638932e+01
2.617930e+03 1.711884e+01
2.660270e+03 1.788053e+01
2.703300e+03 1.867496e+01
2.747030e+03 1.950412e+01
2.791460e+03 2.036953e+01
2.836610e+03 2.127178e+01
2.882490e+03 2.221363e+01
2.929110e+03 2.319560e+01
2.976480e+03 2.422017e+01
3.024630e+03 2.528838e+01
3.073550e+03 2.640201e+01
3.123260e+03 2.756256e+01
3.173780e+03 2.877305e+01
3.225110e+03 3.003495e+01
3.277270e+03 3.134900e+01
3.330280e+03 3.271922e+01
3.384150e+03 3.414633e+01
3.438880e+03 3.563325e+01
3.494500e+03 3.718246e+01
3.551020e+03 3.879386e+01
3.608460e+03 4.047393e+01
3.666820e+03 4.222154e+01
3.726130e+03 4.404038e+01
3.786400e+03 4.593567e+01
3.847640e+03 4.790585e+01
3.909870e+03 4.995411e+01
3.973110e+03 5.208664e+01
4.037380e+03 5.430839e+01
4.038400e+03 5.434424e+01
4.038600e+03 5.989770e+00
4.102680e+03 6.233615e+00
4.169030e+03 6.492399e+00
4.236460e+03 6.762734e+00
4.304980e+03 7.045447e+00
4.374620e+03 7.341001e+00
4.445370e+03 7.649989e+00
4.517270e+03 7.973081e+00
4.590330e+03 8.310798e+00
4.664580e+03 8.664006e+00
4.740030e+03 9.033298e+00
4.816690e+03 9.419387e+00
4.894600e+03 9.823162e+00
4.973770e+03 1.024544e+01
5.054210e+03 1.068689e+01
5.135960e+03 1.114863e+01
5.219030e+03 1.163142e+01
5.303440e+03 1.213652e+01
5.389220e+03 1.266473e+01
5.476390e+03 1.321711e+01
5.564970e+03 1.379495e+01
5.654980e+03 1.439926e+01
5.746440e+03 1.503136e+01
5.839390e+03 1.569241e+01
5.933830e+03 1.638416e+01
6.029810e+03 1.710782e+01
6.127330e+03 1.786467e+01
6.226440e+03 1.865662e+01
6.327150e+03 1.948506e+01
6.429480e+03 2.035129e+01
6.533480e+03 2.125836e+01
6.639150e+03 2.220708e+01
6.746540e+03 2.319989e+01
6.855650e+03 2.423869e+01
6.966540e+03 2.532510e+01
7.079220e+03 2.646271e+01
7.193720e+03 2.765261e+01
7.310070e+03 2.889839e+01
7.428310e+03 3.020113e+01
7.548450e+03 3.156510e+01
7.670540e+03 3.299284e+01
7.794610e+03 3.448632e+01
7.920680e+03 3.604942e+01
8.048790e+03 3.768653e+01
8.178980e+03 3.939976e+01
8.311260e+03 4.119145e+01
8.445690e+03 4.306759e+01
8.582290e+03 4.503296e+01
8.721110e+03 4.709082e+01
8.862160e+03 4.924412e+01
9.005500e+03 5.149492e+01
9.151160e+03 5.385593e+01
9.299170e+03 5.632710e+01
9.449580e+03 5.891114e+01
9.602420e+03 6.162008e+01
9.757730e+03 6.445797e+01
9.915550e+03 6.742434e+01
1.007590e+04 7.053310e+01
1.023890e+04 7.378890e+01
1.040450e+04 7.719817e+01
1.057280e+04 8.076878e+01
1.074380e+04 8.450797e+01
1.091760e+04 8.842447e+01
1.109420e+04 9.252631e+01
1.127360e+04 9.682235e+01
1.145590e+04 1.013221e+02
1.164120e+04 1.060361e+02
1.182950e+04 1.109745e+02
1.202080e+04 1.161473e+02
1.221530e+04 1.215677e+02
1.241280e+04 1.272451e+02
1.261360e+04 1.331949e+02
1.281760e+04 1.394281e+02
1.302500e+04 1.459612e+02
1.323560e+04 1.528054e+02
1.344970e+04 1.599789e+02
1.366720e+04 1.674963e+02
1.388830e+04 1.753761e+02
1.411290e+04 1.836341e+02
1.434120e+04 1.922916e+02
1.457310e+04 2.013659e+02
1.480890e+04 2.108804e+02
1.504840e+04 2.208546e+02
1.529180e+04 2.313125e+02
1.553910e+04 2.422778e+02
1.579040e+04 2.537764e+02
1.604580e+04 2.658361e+02
1.630540e+04 2.784858e+02
1.656910e+04 2.917527e+02
1.683710e+04 3.056699e+02
1.710940e+04 3.202689e+02
1.738610e+04 3.355868e+02
1.766740e+04 3.516611e+02
