# material=Cr density=7.14
# Photon Energy [eV]  Attenuation Length [um]
4.663610e+03 1.125020e+01
4.737600e+03 1.174525e+01
4.812760e+03 1.226211e+01
4.889110e+03 1.280167e+01
4.966670e+03 1.336495e+01
5.045460e+03 1.395303e+01
5.125500e+03 1.456703e+01
5.206820e+03 1.520804e+01
5.289420e+03 1.587722e+01
5.373330e+03 1.657591e+01
5.458580e+03 1.730527e+01
5.545170e+03 1.806674e+01
5.633140e+03 1.886175e+01
5.722510e+03 1.969173e+01
5.813290e+03 2.055821e+01
5.905520e+03 2.146287e+01
5.988920e+03 2.230235e+01
5.989120e+03 1.144767e+02
5.989200e+03 2.220535e+01
5.989300e+03 2.695844e+00
6.084320e+03 2.804838e+00
6.180840e+03 2.918239e+00
6.278890e+03 3.036235e+00
6.378500e+03 3.158989e+00
6.479690e+03 3.286712e+00
6.582490e+03 3.419599e+00
6.686910e+03 3.557856e+00
6.793000e+03 3.701707e+00
6.900760e+03 3.851370e+00
7.010240e+03 4.007092e+00
7.121450e+03 4.169105e+00
7.234430e+03 4.337669e+00
7.349200e+03 4.513043e+00
7.465790e+03 4.695523e+00
7.584220e+03 4.888890e+00
7.704540e+03 5.098865e+00
7.826770e+03 5.317881e+00
7.950930e+03 5.546285e+00
8.077070e+03 5.784502e+00
8.205210e+03 6.032958e+00
8.335380e+03 6.292055e+00
8.467610e+03 6.562298e+00
8.601940e+03 6.844169e+00
8.738410e+03 7.138142e+00
8.877040e+03 7.444692e+00
9.017860e+03 7.764469e+00
9.160920e+03 8.097956e+00
9.306250e+03 8.445747e+00
9.453890e+03 8.808480e+00
9.603870e+03 9.186820e+00
9.756230e+03 9.581428e+00
9.911000e+03 9.992922e+00
1.006820e+04 1.042211e+01
1.022800e+04 1.088950e+01
1.039020e+04 1.137875e+01
1.055510e+04 1.189010e+01
1.072250e+04 1.242441e+01
1.089260e+04 1.298268e+01
1.106540e+04 1.356601e+01
1.124100e+04 1.417576e+01
1.141930e+04 1.481261e+01
1.160040e+04 1.547818e+01
1.178450e+04 1.617373e+01
1.197140e+04 1.690056e+01
1.216130e+04 1.765991e+01
1.235430e+04 1.845347e+01
1.255030e+04 1.928281e+01
1.274940e+04 2.014917e+01
1.295160e+04 2.105459e+01
1.315710e+04 2.200080e+01
1.336580e+04 2.298930e+01
1.357790e+04 2.402242e+01
1.379330e+04 2.510186e+01
1.401210e+04 2.622983e+01
1.423440e+04 2.740846e+01
1.446020e+04 2.864001e+01
1.468960e+04 2.994300e+01
1.492260e+04 3.132139e+01
1.515940e+04 3.276348e+01
1.539990e+04 3.427187e+01
1.564420e+04 3.584965e+01
1.589230e+04 3.749983e+01
1.614450e+04 3.922650e+01
1.640060e+04 4.103232e+01
1.666080e+04 4.292134e+01
1.692510e+04 4.489729e+01
1.719360e+04 4.696429e+01
1.746630e+04 4.912620e+01
1.774340e+04 5.138785e+01
1.802490e+04 5.375373e+01
1.831090e+04 5.622855e+01
1.860140e+04 5.881718e+01
1.889650e+04 6.152506e+01
1.919620e+04 6.435726e+01
1.950080e+04 6.732024e+01
1.981010e+04 7.041923e+01
2.012440e+04 7.366139e+01
2.044370e+04 7.705273e+01
2.076800e+04 8.059984e+01
2.109750e+04 8.431085e+01
2.143220e+04 8.819222e+01
2.177220e+04 9.225229e+01
2.211760e+04 9.649952e+01
2.246840e+04 1.009416e+02
2.282490e+04 1.055889e+02
2.318700e+04 1.104503e+02
2.355480e+04 1.155347e+02
2.392850e+04 1.208536e+02
2.430810e+04 1.264174e+02
2.469370e+04 1.322373e+02
2.508550e+04 1.383256e+02
2.548350e+04 1.446935e+02
2.588770e+04 1.513550e+02
2.629840e+04 1.584128e+02
2.671560e+04 1.659351e+02
2.713940e+04 1.738203e+02
2.757000e+04 1.820864e+02
2.800740e+04 1.907525e+02
2.845170e+04 1.998367e+02
2.890310e+04 2.093604e+02
2.936160e+04 2.193450e+02
2.982740e+04 2.298137e+02
3.000000e+04 2.337768e+02
