# material=Ru density=12.37
# Photon Energy [eV]  Attenuation Length [um]
1.551560e+04 2.929010e+01
1.576660e+04 3.062464e+01
1.602160e+04 3.202007e+01
1.628070e+04 3.347925e+01
1.654410e+04 3.500543e+01
1.681160e+04 3.660110e+01
1.708360e+04 3.827014e+01
1.735990e+04 4.001530e+01
1.764060e+04 4.184022e+01
1.792600e+04 4.374906e+01
1.821590e+04 4.574493e+01
1.851050e+04 4.783228e+01
1.880990e+04 5.001528e+01
1.911420e+04 5.229849e+01
1.942330e+04 5.468590e+01
1.973750e+04 5.718302e+01
2.005670e+04 5.979441e+01
2.038110e+04 6.252569e+01
2.071080e+04 6.538238e+01
2.104570e+04 6.836972e+01
2.138610e+04 7.149448e+01
2.173200e+04 7.476265e+01
2.208350e+04 7.818114e+01
2.211710e+04 7.851268e+01
2.211730e+04 1.194769e+01
2.244070e+04 1.239588e+01
2.280370e+04 1.291080e+01
2.317250e+04 1.344938e+01
2.354730e+04 1.401273e+01
2.392820e+04 1.460208e+01
2.431520e+04 1.521850e+01
2.470850e+04 1.586336e+01
2.510810e+04 1.653791e+01
2.551420e+04 1.724364e+01
2.592690e+04 1.798198e+01
2.634620e+04 1.875439e+01
2.677240e+04 1.956268e+01
2.720540e+04 2.040824e+01
2.764540e+04 2.129302e+01
2.809260e+04 2.221882e+01
2.854690e+04 2.318754e+01
2.900870e+04 2.420127e+01
2.947790e+04 2.526222e+01
2.995460e+04 2.637228e+01
3.000000e+04 2.647961e+01
