# material=Co density=8.9
# Photon Energy [eV]  Attenuation Length [um]
8.379490e+02 8.572881e-02
8.515020e+02 8.874302e-02
8.652740e+02 9.200455e-02
8.792690e+02 9.551998e-02
8.934910e+02 9.925778e-02
9.079430e+02 1.011267e-01
9.226280e+02 1.008367e-01
9.375510e+02 1.005479e-01
9.527150e+02 1.024709e-01
9.681240e+02 1.066722e-01
9.837830e+02 1.110427e-01
9.996950e+02 1.155660e-01
1.015860e+03 1.202429e-01
1.032290e+03 1.248232e-01
1.048990e+03 1.296276e-01
1.065960e+03 1.346775e-01
1.083200e+03 1.399215e-01
1.100720e+03 1.453709e-01
1.118520e+03 1.510301e-01
1.136610e+03 1.569129e-01
1.155000e+03 1.630244e-01
1.173680e+03 1.693725e-01
1.192660e+03 1.759683e-01
1.211950e+03 1.828222e-01
1.231550e+03 1.899413e-01
1.251470e+03 1.973954e-01
1.271720e+03 2.052121e-01
1.292290e+03 2.134251e-01
1.313190e+03 2.219630e-01
1.334430e+03 2.308433e-01
1.356010e+03 2.400801e-01
1.377940e+03 2.496859e-01
1.400230e+03 2.596766e-01
1.422880e+03 2.700665e-01
1.445890e+03 2.808727e-01
1.469280e+03 2.921376e-01
1.493040e+03 3.038925e-01
1.517190e+03 3.163104e-01
1.541730e+03 3.292645e-01
1.566670e+03 3.427536e-01
1.592010e+03 3.567893e-01
1.617760e+03 3.714000e-01
1.643920e+03 3.866063e-01
1.670510e+03 4.024326e-01
1.697530e+03 4.189092e-01
1.724990e+03 4.360659e-01
1.752890e+03 4.543304e-01
1.781240e+03 4.735019e-01
1.810050e+03 4.935928e-01
1.839320e+03 5.145322e-01
1.869070e+03 5.363658e-01
1.899300e+03 5.591316e-01
1.930020e+03 5.828633e-01
1.961240e+03 6.075977e-01
1.992960e+03 6.333656e-01
2.025200e+03 6.599276e-01
2.057950e+03 6.883006e-01
2.091240e+03 7.179525e-01
2.125060e+03 7.490029e-01
2.159430e+03 7.814543e-01
2.194360e+03 8.153352e-01
2.229850e+03 8.507885e-01
2.265920e+03 8.878722e-01
2.302570e+03 9.266315e-01
2.339810e+03 9.671791e-01
2.377660e+03 1.009543e+00
2.416110e+03 1.053890e+00
2.455190e+03 1.100170e+00
2.494900e+03 1.148645e+00
2.535260e+03 1.199313e+00
2.576260e+03 1.252277e+00
2.617930e+03 1.307663e+00
2.660270e+03 1.365588e+00
2.703300e+03 1.426146e+00
2.747030e+03 1.489490e+00
2.791460e+03 1.555709e+00
2.836610e+03 1.624949e+00
2.882490e+03 1.697365e+00
2.929110e+03 1.773074e+00
2.976480e+03 1.852252e+00
3.024630e+03 1.935063e+00
3.073550e+03 2.021627e+00
3.123260e+03 2.112170e+00
3.173780e+03 2.206844e+00
3.225110e+03 2.305809e+00
3.277270e+03 2.409295e+00
3.330280e+03 2.517529e+00
3.384150e+03 2.630718e+00
3.438880e+03 2.749056e+00
3.494500e+03 2.872735e+00
3.551020e+03 3.002101e+00
3.608460e+03 3.137368e+00
3.666820e+03 3.278761e+00
3.726130e+03 3.426640e+00
3.786400e+03 3.581250e+00
3.847640e+03 3.742882e+00
3.909870e+03 3.911878e+00
3.973110e+03 4.088597e+00
4.037380e+03 4.273280e+00
4.102680e+03 4.466348e+00
4.169030e+03 4.668181e+00
4.236460e+03 4.879157e+00
4.304980e+03 5.099643e+00
4.374620e+03 5.330325e+00
4.445370e+03 5.571185e+00
4.517270e+03 5.823199e+00
4.590330e+03 6.086253e+00
4.664580e+03 6.361531e+00
4.740030e+03 6.649123e+00
4.816690e+03 6.949575e+00
4.894600e+03 7.263717e+00
4.973770e+03 7.591995e+00
5.054210e+03 7.934596e+00
5.135960e+03 8.293092e+00
5.219030e+03 8.667489e+00
5.303440e+03 9.058563e+00
5.389220e+03 9.467058e+00
5.476390e+03 9.893869e+00
5.564970e+03 1.033997e+01
5.654980e+03 1.080567e+01
5.746440e+03 1.129285e+01
5.839390e+03 1.180073e+01
5.933830e+03 1.233141e+01
6.029810e+03 1.288573e+01
6.127330e+03 1.346452e+01
6.226440e+03 1.406888e+01
6.327150e+03 1.469983e+01
6.429480e+03 1.535869e+01
