# material=Zn density=7.14
# Photon Energy [eV]  Attenuation Length [um]
2.747030e+03 1.337225e+00
2.791460e+03 1.395198e+00
2.836610e+03 1.455741e+00
2.882490e+03 1.519001e+00
2.929110e+03 1.585084e+00
2.976480e+03 1.654109e+00
3.024630e+03 1.726215e+00
3.073550e+03 1.801548e+00
3.123260e+03 1.880246e+00
3.173780e+03 1.962470e+00
3.225110e+03 2.048346e+00
3.277270e+03 2.138074e+00
3.330280e+03 2.231822e+00
3.384150e+03 2.329744e+00
3.438880e+03 2.432039e+00
3.494500e+03 2.538933e+00
3.551020e+03 2.650608e+00
3.608460e+03 2.767312e+00
3.666820e+03 2.889205e+00
3.726130e+03 3.016578e+00
3.786400e+03 3.149692e+00
3.847640e+03 3.288776e+00
3.909870e+03 3.434084e+00
3.973110e+03 3.585997e+00
4.037380e+03 3.744638e+00
4.102680e+03 3.910496e+00
4.169030e+03 4.083771e+00
4.236460e+03 4.264865e+00
4.304980e+03 4.454067e+00
4.374620e+03 4.651961e+00
4.445370e+03 4.858653e+00
4.517270e+03 5.074663e+00
4.590330e+03 5.300584e+00
4.664580e+03 5.536534e+00
4.740030e+03 5.783335e+00
4.816690e+03 6.041180e+00
4.894600e+03 6.310758e+00
4.973770e+03 6.592516e+00
5.054210e+03 6.886986e+00
5.135960e+03 7.195094e+00
5.219030e+03 7.517153e+00
5.303440e+03 7.853908e+00
5.389220e+03 8.205955e+00
5.476390e+03 8.574312e+00
5.564970e+03 8.959136e+00
5.654980e+03 9.361436e+00
5.746440e+03 9.782497e+00
5.839390e+03 1.022308e+01
5.933830e+03 1.068363e+01
6.029810e+03 1.116532e+01
6.127330e+03 1.166916e+01
6.226440e+03 1.219678e+01
6.327150e+03 1.274828e+01
6.429480e+03 1.332493e+01
6.533480e+03 1.392926e+01
6.639150e+03 1.456124e+01
6.746540e+03 1.522272e+01
6.855650e+03 1.591495e+01
6.966540e+03 1.663966e+01
7.079220e+03 1.739827e+01
7.193720e+03 1.819261e+01
7.310070e+03 1.902423e+01
7.428310e+03 1.989518e+01
7.548450e+03 2.080733e+01
7.670540e+03 2.176252e+01
7.794610e+03 2.276316e+01
7.920680e+03 2.381171e+01
8.048790e+03 2.491056e+01
8.178980e+03 2.606189e+01
8.311260e+03 2.726871e+01
8.445690e+03 2.853348e+01
8.582290e+03 2.985994e+01
8.721110e+03 3.125098e+01
8.862160e+03 3.270954e+01
9.005500e+03 3.423920e+01
9.151160e+03 3.584463e+01
9.299170e+03 3.752955e+01
9.449580e+03 3.929790e+01
9.602420e+03 4.115394e+01
9.658500e+03 4.184906e+01
9.658700e+03 5.402766e+00
9.757730e+03 5.542554e+00
9.915550e+03 5.769825e+00
1.007590e+04 6.006832e+00
1.023890e+04 6.254786e+00
1.040450e+04 6.514117e+00
1.057280e+04 6.785417e+00
1.074380e+04 7.069195e+00
1.091760e+04 7.366111e+00
1.109420e+04 7.676691e+00
1.127360e+04 8.001595e+00
1.145590e+04 8.341505e+00
1.164120e+04 8.697159e+00
1.182950e+04 9.069306e+00
1.202080e+04 9.458634e+00
1.221530e+04 9.866111e+00
1.241280e+04 1.029235e+01
1.261360e+04 1.073845e+01
1.281760e+04 1.120527e+01
1.302500e+04 1.169388e+01
1.323560e+04 1.220509e+01
1.344970e+04 1.274024e+01
1.366720e+04 1.330026e+01
1.388830e+04 1.388645e+01
1.411290e+04 1.450000e+01
1.434120e+04 1.514226e+01
1.457310e+04 1.581449e+01
1.480890e+04 1.651831e+01
1.504840e+04 1.725499e+01
1.529180e+04 1.802628e+01
1.553910e+04 1.883373e+01
1.579040e+04 1.967910e+01
1.604580e+04 2.056424e+01
1.630540e+04 2.149119e+01
1.656910e+04 2.246160e+01
1.683710e+04 2.347783e+01
1.710940e+04 2.454179e+01
1.738610e+04 2.565612e+01
1.766740e+04 2.682323e+01
1.795310e+04 2.804520e+01
1.824350e+04 2.932518e+01
1.853860e+04 3.066584e+01
1.883840e+04 3.206970e+01
1.914310e+04 3.354047e+01
1.945270e+04 3.508069e+01
1.976740e+04 3.669447e+01
2.008710e+04 3.838439e+01
2.041200e+04 4.015498e+01
2.074210e+04 4.200964e+01
2.107760e+04 4.395307e+01
2.141850e+04 4.598857e+01
2.176500e+04 4.812146e+01
2.211700e+04 5.035586e+01
2.247470e+04 5.269694e+01
2.283820e+04 5.514998e+01
2.320760e+04 5.772030e+01
2.358300e+04 6.041363e+01
2.396440e+04 6.323570e+01
2.435200e+04 6.619303e+01
2.474590e+04 6.929211e+01
2.514620e+04 7.253995e+01
2.555290e+04 7.594337e+01
2.596620e+04 7.951032e+01
2.638610e+04 8.324836e+01
2.681290e+04 8.716652e+01
2.724660e+04 9.127309e+01
2.768730e+04 9.557710e+01
2.813510e+04 1.000885e+02
2.859020e+04 1.048175e+02
2.905260e+04 1.097741e+02
2.952250e+04 1.149700e+02
3.000000e+04 1.204167e+02
