# material=Re density=21.02
# Photon Energy [eV]  Attenuation Length [um]
1.810050e+03 3.948816e-01
1.839320e+03 4.090371e-01
1.869070e+03 4.237016e-01
1.882800e+03 4.305636e-01
1.883000e+03 1.439003e-01
1.899300e+03 1.472093e-01
1.930020e+03 1.535726e-01
1.948800e+03 1.575447e-01
1.949000e+03 1.062852e-01
1.961240e+03 1.078884e-01
1.992960e+03 1.121085e-01
2.025200e+03 1.164672e-01
2.057950e+03 1.210243e-01
2.091240e+03 1.257620e-01
2.125060e+03 1.306835e-01
2.159430e+03 1.357973e-01
2.194360e+03 1.411128e-01
2.229850e+03 1.466359e-01
2.265920e+03 1.523735e-01
2.302570e+03 1.583356e-01
2.339810e+03 1.645294e-01
2.367200e+03 1.691729e-01
2.367400e+03 1.451646e-01
2.377660e+03 1.467800e-01
2.416110e+03 1.529334e-01
2.455190e+03 1.593449e-01
2.494900e+03 1.660167e-01
2.535260e+03 1.729730e-01
2.576260e+03 1.802127e-01
2.617930e+03 1.877536e-01
2.660270e+03 1.956048e-01
2.681500e+03 1.996151e-01
2.681700e+03 1.872611e-01
2.703300e+03 1.909988e-01
2.747030e+03 1.986980e-01
2.791460e+03 2.067050e-01
2.836610e+03 2.150251e-01
2.882490e+03 2.236754e-01
2.929110e+03 2.326643e-01
2.931600e+03 2.331498e-01
2.931800e+03 2.234591e-01
2.976480e+03 2.316400e-01
3.024630e+03 2.406457e-01
3.073550e+03 2.500474e-01
3.123260e+03 2.598342e-01
3.173780e+03 2.700334e-01
3.225110e+03 2.806518e-01
3.277270e+03 2.917330e-01
3.330280e+03 3.032597e-01
3.384150e+03 3.152787e-01
3.438880e+03 3.278095e-01
3.494500e+03 3.408502e-01
3.551020e+03 3.544447e-01
3.608460e+03 3.686091e-01
3.666820e+03 3.833660e-01
3.726130e+03 3.987517e-01
3.786400e+03 4.147676e-01
3.847640e+03 4.314736e-01
3.909870e+03 4.488456e-01
3.973110e+03 4.669869e-01
4.037380e+03 4.858667e-01
4.102680e+03 5.055420e-01
4.169030e+03 5.260436e-01
4.236460e+03 5.474069e-01
4.304980e+03 5.696773e-01
4.374620e+03 5.928795e-01
4.445370e+03 6.170674e-01
4.517270e+03 6.422730e-01
4.590330e+03 6.685365e-01
4.664580e+03 6.959121e-01
4.740030e+03 7.244500e-01
4.816690e+03 7.541806e-01
4.894600e+03 7.851724e-01
4.973770e+03 8.174889e-01
5.054210e+03 8.511580e-01
5.135960e+03 8.862510e-01
5.219030e+03 9.228400e-01
5.303440e+03 9.609799e-01
5.389220e+03 1.000728e+00
5.476390e+03 1.042157e+00
5.564970e+03 1.085357e+00
5.654980e+03 1.130360e+00
5.746440e+03 1.177304e+00
5.839390e+03 1.226229e+00
5.933830e+03 1.277228e+00
6.029810e+03 1.330394e+00
6.127330e+03 1.385824e+00
6.226440e+03 1.443595e+00
6.327150e+03 1.503829e+00
6.429480e+03 1.566612e+00
6.533480e+03 1.632093e+00
6.639150e+03 1.700329e+00
6.746540e+03 1.771499e+00
6.855650e+03 1.845667e+00
6.966540e+03 1.922989e+00
7.079220e+03 2.003690e+00
7.193720e+03 2.087726e+00
7.310070e+03 2.175377e+00
7.428310e+03 2.266794e+00
7.548450e+03 2.362116e+00
7.670540e+03 2.461477e+00
7.794610e+03 2.565144e+00
7.920680e+03 2.673310e+00
8.048790e+03 2.786006e+00
8.178980e+03 2.903512e+00
8.311260e+03 3.026154e+00
8.445690e+03 3.154065e+00
8.582290e+03 3.287406e+00
8.721110e+03 3.426482e+00
8.862160e+03 3.571547e+00
9.005500e+03 3.722806e+00
9.151160e+03 3.880874e+00
9.299170e+03 4.045481e+00
9.449580e+03 4.217310e+00
9.602420e+03 4.396503e+00
9.757730e+03 4.583539e+00
9.915550e+03 4.778817e+00
1.007590e+04 4.976349e+00
1.023890e+04 5.181515e+00
1.040450e+04 5.394532e+00
1.053520e+04 5.566296e+00
1.053540e+04 2.191264e+00
1.057280e+04 2.213322e+00
1.074380e+04 2.316103e+00
1.091760e+04 2.423652e+00
1.109420e+04 2.536191e+00
1.127360e+04 2.653944e+00
1.145590e+04 2.777162e+00
1.164120e+04 2.906111e+00
1.182950e+04 3.041053e+00
1.195860e+04 3.135860e+00
1.195880e+04 2.240180e+00
1.202080e+04 2.271460e+00
1.221530e+04 2.371324e+00
1.241280e+04 2.475547e+00
1.252660e+04 2.536864e+00
1.252680e+04 2.227062e+00
1.261360e+04 2.265027e+00
1.281760e+04 2.355775e+00
1.302500e+04 2.450590e+00
1.323560e+04 2.549619e+00
1.344970e+04 2.653109e+00
1.366720e+04 2.761242e+00
1.388830e+04 2.874210e+00
1.411290e+04 2.992245e+00
1.434120e+04 3.115576e+00
1.457310e+04 3.244423e+00
1.480890e+04 3.379079e+00
1.504840e+04 3.519754e+00
1.529180e+04 3.666743e+00
1.553910e+04 3.820330e+00
1.579040e+04 3.980812e+00
1.604580e+04 4.148520e+00
1.630540e+04 4.323780e+00
1.656910e+04 4.506896e+00
1.683710e+04 4.698262e+00
1.710940e+04 4.898229e+00
1.738610e+04 5.107194e+00
1.766740e+04 5.325619e+00
1.795310e+04 5.553828e+00
1.824350e+04 5.792357e+00
1.853860e+04 6.041631e+00
1.883840e+04 6.302136e+00
1.914310e+04 6.574407e+00
1.945270e+04 6.858953e+00
1.976740e+04 7.156387e+00
2.008710e+04 7.467217e+00
2.041200e+04 7.792109e+00
2.074210e+04 8.131654e+00
2.107760e+04 8.486591e+00
2.141850e+04 8.857552e+00
2.176500e+04 9.245343e+00
2.211700e+04 9.650626e+00
2.247470e+04 1.007424e+01
2.283820e+04 1.051708e+01
2.320760e+04 1.097995e+01
2.358300e+04 1.146379e+01
2.396440e+04 1.196953e+01
2.435200e+04 1.249820e+01
2.474590e+04 1.305087e+01
2.514620e+04 1.362858e+01
2.555290e+04 1.423245e+01
2.596620e+04 1.486370e+01
2.638610e+04 1.552356e+01
2.681290e+04 1.621335e+01
2.724660e+04 1.693450e+01
2.768730e+04 1.768834e+01
2.813510e+04 1.847637e+01
2.859020e+04 1.930024e+01
2.905260e+04 2.016141e+01
2.952250e+04 2.106169e+01
3.000000e+04 2.200281e+01
