# material=Ac density=10.07
# Photon Energy [eV]  Attenuation Length [um]
1.388830e+04 1.480731e+01
1.411290e+04 1.543939e+01
1.434120e+04 1.609478e+01
1.457310e+04 1.677370e+01
1.480890e+04 1.747691e+01
1.504840e+04 1.820449e+01
1.529180e+04 1.895700e+01
1.553910e+04 1.973465e+01
1.579040e+04 2.053788e+01
1.587090e+04 2.079913e+01
1.587110e+04 8.464819e+00
1.604580e+04 8.722404e+00
1.630540e+04 9.114148e+00
1.656910e+04 9.523419e+00
1.683710e+04 9.951087e+00
1.710940e+04 1.039792e+01
1.738610e+04 1.086482e+01
1.766740e+04 1.135276e+01
1.795310e+04 1.186250e+01
1.824350e+04 1.239519e+01
1.853860e+04 1.295177e+01
1.883840e+04 1.353330e+01
1.908310e+04 1.402001e+01
1.908330e+04 9.932979e+00
1.914310e+04 1.000972e+01
1.945270e+04 1.041248e+01
1.976740e+04 1.083153e+01
1.983990e+04 1.092951e+01
1.984010e+04 9.623191e+00
2.008710e+04 9.915733e+00
2.041200e+04 1.030837e+01
2.074210e+04 1.071870e+01
2.107760e+04 1.114747e+01
2.141850e+04 1.159551e+01
2.176500e+04 1.206374e+01
2.211700e+04 1.255292e+01
2.247470e+04 1.306410e+01
2.283820e+04 1.359828e+01
2.320760e+04 1.415648e+01
2.358300e+04 1.473978e+01
2.396440e+04 1.534926e+01
2.435200e+04 1.598620e+01
2.474590e+04 1.665180e+01
2.514620e+04 1.734737e+01
2.555290e+04 1.807418e+01
2.596620e+04 1.883373e+01
2.638610e+04 1.962744e+01
2.681290e+04 2.045696e+01
2.724660e+04 2.132386e+01
2.768730e+04 2.222979e+01
2.813510e+04 2.317658e+01
2.859020e+04 2.416605e+01
2.905260e+04 2.520013e+01
2.952250e+04 2.628088e+01
3.000000e+04 2.741033e+01
