# material=Mg density=1.738
# Photon Energy [eV]  Attenuation Length [um]
1.324690e+03 1.009661e+00
1.345700e+03 1.049760e+00
1.367050e+03 1.091462e+00
1.388740e+03 1.134816e+00
1.410770e+03 1.179901e+00
1.433150e+03 1.226778e+00
1.455890e+03 1.275517e+00
1.478980e+03 1.326137e+00
1.502450e+03 1.378742e+00
1.526280e+03 1.433350e+00
1.550490e+03 1.490132e+00
1.575090e+03 1.549167e+00
1.600080e+03 1.610533e+00
1.625460e+03 1.674320e+00
1.651250e+03 1.740631e+00
1.677450e+03 1.809582e+00
1.704060e+03 1.881255e+00
1.731090e+03 1.955856e+00
1.758550e+03 2.036177e+00
1.786450e+03 2.120274e+00
1.814790e+03 2.208304e+00
1.843580e+03 2.300014e+00
1.872830e+03 2.395526e+00
1.902540e+03 2.495007e+00
1.932720e+03 2.598582e+00
1.963380e+03 2.706490e+00
1.994530e+03 2.818932e+00
2.000000e+03 2.838966e+00
2.026000e+03 2.933485e+00
2.052000e+03 3.033568e+00
2.079000e+03 3.140014e+00
2.106000e+03 3.249072e+00
2.134000e+03 3.364795e+00
2.161000e+03 3.479140e+00
2.190000e+03 3.604924e+00
2.218000e+03 3.729223e+00
2.247000e+03 3.861121e+00
2.277000e+03 4.001008e+00
2.306000e+03 4.139469e+00
2.337000e+03 4.291052e+00
2.367000e+03 4.441447e+00
2.398000e+03 4.600557e+00
2.429000e+03 4.763173e+00
2.461000e+03 4.935633e+00
2.493000e+03 5.112359e+00
2.526000e+03 5.298820e+00
2.559000e+03 5.489921e+00
2.592000e+03 5.685806e+00
2.626000e+03 5.892196e+00
2.660000e+03 6.103949e+00
2.695000e+03 6.327261e+00
2.730000e+03 6.556118e+00
2.766000e+03 6.797298e+00
2.802000e+03 7.044489e+00
2.839000e+03 7.304843e+00
2.876000e+03 7.571635e+00
2.914000e+03 7.852515e+00
2.952000e+03 8.140399e+00
2.990000e+03 8.435292e+00
3.029000e+03 8.745471e+00
3.069000e+03 9.071550e+00
3.109000e+03 9.405792e+00
3.150000e+03 9.756950e+00
3.191000e+03 1.011704e+01
3.232000e+03 1.048582e+01
3.275000e+03 1.088243e+01
3.317000e+03 1.127951e+01
3.361000e+03 1.170567e+01
3.405000e+03 1.214296e+01
3.449000e+03 1.259099e+01
3.494000e+03 1.306060e+01
3.540000e+03 1.355284e+01
3.586000e+03 1.405749e+01
3.633000e+03 1.458639e+01
3.680000e+03 1.512833e+01
3.729000e+03 1.570738e+01
3.777000e+03 1.628951e+01
3.827000e+03 1.691098e+01
3.877000e+03 1.754797e+01
3.927000e+03 1.820136e+01
3.979000e+03 1.889787e+01
4.031000e+03 1.961227e+01
4.083000e+03 2.034533e+01
4.137000e+03 2.112520e+01
4.191000e+03 2.192542e+01
4.245000e+03 2.274541e+01
4.301000e+03 2.361745e+01
4.357000e+03 2.451199e+01
