# material=Ni density=8.908
# Photon Energy [eV]  Attenuation Length [um]
1.145590e+04 7.676804e+00
1.164120e+04 8.011361e+00
1.182950e+04 8.361524e+00
1.202080e+04 8.727984e+00
1.221530e+04 9.111647e+00
1.241280e+04 9.513165e+00
1.261360e+04 9.933554e+00
1.281760e+04 1.037361e+01
1.302500e+04 1.083435e+01
1.323560e+04 1.131661e+01
1.344970e+04 1.182167e+01
1.366720e+04 1.235033e+01
1.388830e+04 1.290402e+01
1.411290e+04 1.348372e+01
1.434120e+04 1.409073e+01
1.457310e+04 1.472638e+01
1.480890e+04 1.539221e+01
1.504840e+04 1.608940e+01
1.529180e+04 1.681949e+01
1.553910e+04 1.758423e+01
1.579040e+04 1.838508e+01
1.604580e+04 1.922409e+01
1.630540e+04 2.010301e+01
1.656910e+04 2.102341e+01
1.683710e+04 2.198780e+01
1.710940e+04 2.299786e+01
1.738610e+04 2.405603e+01
1.766740e+04 2.516485e+01
1.795310e+04 2.632642e+01
1.824350e+04 2.754340e+01
1.853860e+04 2.881839e+01
1.883840e+04 3.015447e+01
1.914310e+04 3.155443e+01
1.945270e+04 3.302135e+01
1.976740e+04 3.455873e+01
2.008710e+04 3.616964e+01
2.041200e+04 3.785784e+01
2.074210e+04 3.962702e+01
2.107760e+04 4.148132e+01
2.141850e+04 4.342460e+01
2.176500e+04 4.546165e+01
2.211700e+04 4.759649e+01
2.247470e+04 4.983414e+01
2.283820e+04 5.217971e+01
2.320760e+04 5.463850e+01
2.358300e+04 5.721602e+01
2.396440e+04 5.991769e+01
2.435200e+04 6.275025e+01
2.474590e+04 6.571961e+01
2.514620e+04 6.883297e+01
2.555290e+04 7.209673e+01
2.596620e+04 7.551867e+01
2.638610e+04 7.910628e+01
2.681290e+04 8.286823e+01
2.724660e+04 8.681271e+01
2.768730e+04 9.094888e+01
2.813510e+04 9.528582e+01
2.859020e+04 9.983383e+01
2.905260e+04 1.046029e+02
2.952250e+04 1.096044e+02
3.000000e+04 1.148495e+02
