# material=Dy density=8.551
# Photon Energy [eV]  Attenuation Length [um]
7.610420e+02 2.683480e-01
7.733510e+02 2.756801e-01
7.858590e+02 2.832105e-01
7.985700e+02 2.917328e-01
8.114860e+02 3.002819e-01
8.246110e+02 3.090819e-01
8.379490e+02 3.181424e-01
8.515020e+02 3.275229e-01
8.652740e+02 3.372495e-01
8.792690e+02 3.473296e-01
8.934910e+02 3.577098e-01
9.079430e+02 3.684010e-01
9.226280e+02 3.794184e-01
9.375510e+02 3.909668e-01
9.527150e+02 4.029271e-01
9.681240e+02 4.153091e-01
9.837830e+02 4.280773e-01
9.996950e+02 4.412682e-01
1.015860e+03 4.548994e-01
1.032290e+03 4.693068e-01
1.048990e+03 4.842797e-01
1.065960e+03 4.998483e-01
1.083200e+03 5.159067e-01
1.100720e+03 5.324793e-01
1.118520e+03 5.495811e-01
1.136610e+03 5.672419e-01
1.155000e+03 5.854719e-01
1.173680e+03 6.042807e-01
1.192660e+03 6.236954e-01
1.211950e+03 6.437306e-01
1.231550e+03 6.644031e-01
1.251470e+03 6.856834e-01
1.271720e+03 7.076450e-01
1.292290e+03 7.303069e-01
1.292500e+03 7.305426e-01
1.292700e+03 1.465894e-01
1.313190e+03 1.523463e-01
1.334430e+03 1.584531e-01
1.356010e+03 1.648045e-01
1.377940e+03 1.714126e-01
1.400230e+03 1.782862e-01
1.422880e+03 1.854337e-01
1.445890e+03 1.928683e-01
1.469280e+03 2.005993e-01
1.493040e+03 2.086343e-01
1.517190e+03 2.169752e-01
1.541730e+03 2.256459e-01
1.566670e+03 2.346639e-01
1.592010e+03 2.440428e-01
1.617760e+03 2.537965e-01
1.643920e+03 2.639392e-01
1.670510e+03 2.744890e-01
1.675500e+03 2.764961e-01
1.675700e+03 2.370154e-01
1.697530e+03 2.441902e-01
1.724990e+03 2.533874e-01
1.752890e+03 2.629336e-01
1.781240e+03 2.728382e-01
1.810050e+03 2.831116e-01
1.839320e+03 2.937711e-01
1.841700e+03 2.946462e-01
1.841900e+03 2.765809e-01
1.869070e+03 2.864712e-01
1.899300e+03 2.977136e-01
1.930020e+03 3.093976e-01
1.961240e+03 3.215407e-01
1.992960e+03 3.341618e-01
2.025200e+03 3.471909e-01
2.046700e+03 3.560412e-01
2.046900e+03 3.415864e-01
2.057950e+03 3.458317e-01
2.091240e+03 3.587985e-01
2.125060e+03 3.723143e-01
2.159430e+03 3.863887e-01
2.194360e+03 4.010624e-01
2.229850e+03 4.163600e-01
2.265920e+03 4.322965e-01
2.302570e+03 4.489035e-01
2.339810e+03 4.661984e-01
2.377660e+03 4.842297e-01
2.416110e+03 5.030122e-01
2.455190e+03 5.225771e-01
2.494900e+03 5.429777e-01
2.535260e+03 5.642258e-01
2.576260e+03 5.863535e-01
2.617930e+03 6.094221e-01
2.660270e+03 6.334595e-01
2.703300e+03 6.585039e-01
2.747030e+03 6.845915e-01
2.791460e+03 7.117599e-01
2.836610e+03 7.400610e-01
2.882490e+03 7.695745e-01
2.929110e+03 8.002836e-01
2.976480e+03 8.323101e-01
3.024630e+03 8.656602e-01
3.073550e+03 9.004563e-01
3.123260e+03 9.366578e-01
3.173780e+03 9.743515e-01
3.225110e+03 1.013642e+00
3.277270e+03 1.054646e+00
3.330280e+03 1.097281e+00
3.384150e+03 1.141703e+00
3.438880e+03 1.187998e+00
3.494500e+03 1.236226e+00
3.551020e+03 1.286463e+00
3.608460e+03 1.338805e+00
3.666820e+03 1.393334e+00
3.726130e+03 1.450133e+00
3.786400e+03 1.509318e+00
3.847640e+03 1.570975e+00
3.909870e+03 1.635206e+00
3.973110e+03 1.702102e+00
4.037380e+03 1.771807e+00
4.102680e+03 1.844412e+00
4.169030e+03 1.920075e+00
4.236460e+03 1.998877e+00
4.304980e+03 2.080950e+00
4.374620e+03 2.166497e+00
4.445370e+03 2.255593e+00
4.517270e+03 2.348384e+00
4.590330e+03 2.445051e+00
4.664580e+03 2.545780e+00
4.740030e+03 2.650729e+00
4.816690e+03 2.760026e+00
4.894600e+03 2.873895e+00
4.973770e+03 2.992551e+00
5.054210e+03 3.116113e+00
5.135960e+03 3.244854e+00
5.219030e+03 3.379004e+00
5.303440e+03 3.518768e+00
5.389220e+03 3.664316e+00
5.476390e+03 3.815959e+00
5.564970e+03 3.974005e+00
5.654980e+03 4.138539e+00
5.746440e+03 4.310053e+00
5.839390e+03 4.488709e+00
5.933830e+03 4.674823e+00
6.029810e+03 4.868710e+00
6.127330e+03 5.070826e+00
6.226440e+03 5.281374e+00
6.327150e+03 5.500706e+00
6.429480e+03 5.729156e+00
6.533480e+03 5.967408e+00
6.639150e+03 6.215449e+00
6.746540e+03 6.474152e+00
6.855650e+03 6.743488e+00
6.966540e+03 7.024130e+00
7.079220e+03 7.316747e+00
7.193720e+03 7.621625e+00
7.310070e+03 7.939391e+00
7.428310e+03 8.270287e+00
7.548450e+03 8.615575e+00
7.670540e+03 8.975323e+00
7.790000e+03 9.336002e+00
7.790200e+03 3.338409e+00
7.794610e+03 3.343790e+00
7.920680e+03 3.499836e+00
8.048790e+03 3.663198e+00
8.178980e+03 3.834144e+00
8.311260e+03 4.013052e+00
8.445690e+03 4.200366e+00
8.580500e+03 4.393821e+00
8.580700e+03 3.153698e+00
8.582290e+03 3.155387e+00
8.721110e+03 3.303128e+00
8.862160e+03 3.457789e+00
9.005500e+03 3.619767e+00
9.045700e+03 3.666075e+00
9.045900e+03 3.188493e+00
9.151160e+03 3.282159e+00
9.299170e+03 3.416593e+00
9.449580e+03 3.557051e+00
9.602420e+03 3.703804e+00
9.757730e+03 3.857138e+00
9.915550e+03 4.017169e+00
1.007590e+04 4.184504e+00
1.023890e+04 4.359314e+00
1.040450e+04 4.541923e+00
1.057280e+04 4.732736e+00
1.074380e+04 4.932065e+00
1.091760e+04 5.140349e+00
1.109420e+04 5.357961e+00
1.127360e+04 5.585296e+00
1.145590e+04 5.822823e+00
1.164120e+04 6.071030e+00
1.182950e+04 6.330379e+00
1.202080e+04 6.601338e+00
1.221530e+04 6.884534e+00
1.241280e+04 7.180353e+00
1.261360e+04 7.489538e+00
1.281760e+04 7.812571e+00
1.302500e+04 8.150211e+00
1.323560e+04 8.502930e+00
1.344970e+04 8.871576e+00
1.366720e+04 9.256773e+00
1.388830e+04 9.659361e+00
1.411290e+04 1.008004e+01
1.434120e+04 1.051970e+01
1.457310e+04 1.097911e+01
1.480890e+04 1.145932e+01
1.504840e+04 1.196112e+01
1.529180e+04 1.248553e+01
1.553910e+04 1.303358e+01
1.579040e+04 1.360634e+01
1.604580e+04 1.420498e+01
1.630540e+04 1.483070e+01
1.656910e+04 1.548459e+01
1.683710e+04 1.616803e+01
1.710940e+04 1.688225e+01
1.738610e+04 1.762877e+01
1.766740e+04 1.840913e+01
1.795310e+04 1.922460e+01
1.824350e+04 2.007698e+01
1.853860e+04 2.096794e+01
1.883840e+04 2.189903e+01
1.914310e+04 2.287231e+01
1.945270e+04 2.388950e+01
1.976740e+04 2.495291e+01
2.008710e+04 2.606419e+01
2.041200e+04 2.722587e+01
2.074210e+04 2.843994e+01
2.107760e+04 2.970914e+01
2.141850e+04 3.103568e+01
2.176500e+04 3.242244e+01
2.211700e+04 3.387169e+01
2.247470e+04 3.538660e+01
2.283820e+04 3.697012e+01
2.320760e+04 3.862548e+01
2.358300e+04 4.035576e+01
2.396440e+04 4.216436e+01
2.435200e+04 4.405483e+01
2.474590e+04 4.603110e+01
2.514620e+04 4.809692e+01
2.555290e+04 5.025622e+01
2.596620e+04 5.251330e+01
2.638610e+04 5.487276e+01
2.681290e+04 5.733932e+01
2.724660e+04 5.991753e+01
2.768730e+04 6.261297e+01
2.813510e+04 6.543032e+01
2.859020e+04 6.837599e+01
2.905260e+04 7.145488e+01
2.952250e+04 7.467371e+01
3.000000e+04 7.803851e+01
