# material=Ho density=8.795
# Photon Energy [eV]  Attenuation Length [um]
1.083200e+03 4.772968e-01
1.100720e+03 4.927973e-01
1.118520e+03 5.087941e-01
1.136610e+03 5.253246e-01
1.155000e+03 5.423932e-01
1.173680e+03 5.600083e-01
1.192660e+03 5.782063e-01
1.211950e+03 5.969889e-01
1.231550e+03 6.163649e-01
1.251470e+03 6.363496e-01
1.271720e+03 6.569517e-01
1.292290e+03 6.781734e-01
1.313190e+03 7.000503e-01
1.334430e+03 7.226307e-01
1.351300e+03 7.408207e-01
1.351500e+03 1.420891e-01
1.356010e+03 1.432496e-01
1.377940e+03 1.489728e-01
1.400230e+03 1.549254e-01
1.422880e+03 1.611155e-01
1.445890e+03 1.675530e-01
1.469280e+03 1.742463e-01
1.493040e+03 1.812014e-01
1.517190e+03 1.884274e-01
1.541730e+03 1.959403e-01
1.566670e+03 2.037546e-01
1.592010e+03 2.118769e-01
1.617760e+03 2.203237e-01
1.643920e+03 2.291097e-01
1.670510e+03 2.382457e-01
1.697530e+03 2.477427e-01
1.724990e+03 2.576146e-01
1.741100e+03 2.635140e-01
1.741300e+03 2.268860e-01
1.752890e+03 2.305118e-01
1.781240e+03 2.395233e-01
1.810050e+03 2.488879e-01
1.839320e+03 2.586124e-01
1.869070e+03 2.687174e-01
1.899300e+03 2.792169e-01
1.922700e+03 2.875044e-01
1.922900e+03 2.690161e-01
1.930020e+03 2.714353e-01
1.961240e+03 2.821881e-01
1.992960e+03 2.933662e-01
2.025200e+03 3.049237e-01
2.057950e+03 3.169962e-01
2.091240e+03 3.295578e-01
2.125060e+03 3.426074e-01
2.128200e+03 3.438327e-01
2.128400e+03 3.301301e-01
2.159430e+03 3.412826e-01
2.194360e+03 3.540863e-01
2.229850e+03 3.674257e-01
2.265920e+03 3.813226e-01
2.302570e+03 3.957898e-01
2.339810e+03 4.108823e-01
2.377660e+03 4.266100e-01
2.416110e+03 4.429812e-01
2.455190e+03 4.600548e-01
2.494900e+03 4.778328e-01
2.535260e+03 4.963654e-01
2.576260e+03 5.156657e-01
2.617930e+03 5.357886e-01
2.660270e+03 5.567291e-01
2.703300e+03 5.785915e-01
2.747030e+03 6.013462e-01
2.791460e+03 6.250549e-01
2.836610e+03 6.497048e-01
2.882490e+03 6.755174e-01
2.929110e+03 7.023130e-01
2.976480e+03 7.302312e-01
3.024630e+03 7.593550e-01
3.073550e+03 7.896717e-01
3.123260e+03 8.212838e-01
3.173780e+03 8.541747e-01
3.225110e+03 8.885087e-01
3.277270e+03 9.242773e-01
3.330280e+03 9.614671e-01
3.384150e+03 1.000277e+00
3.438880e+03 1.040696e+00
