# material=Se density=4.819
# Photon Energy [eV]  Attenuation Length [um]
1.630540e+04 2.458141e+01
1.656910e+04 2.565060e+01
1.683710e+04 2.676953e+01
1.710940e+04 2.794015e+01
1.738610e+04 2.916505e+01
1.766740e+04 3.044703e+01
1.795310e+04 3.178832e+01
1.824350e+04 3.319213e+01
1.853860e+04 3.466126e+01
1.883840e+04 3.619845e+01
1.914310e+04 3.780749e+01
1.945270e+04 3.949160e+01
1.976740e+04 4.125434e+01
2.008710e+04 4.309920e+01
2.041200e+04 4.503054e+01
2.074210e+04 4.705167e+01
2.107760e+04 4.916787e+01
2.141850e+04 5.138310e+01
2.176500e+04 5.370226e+01
2.211700e+04 5.612971e+01
2.247470e+04 5.867151e+01
2.283820e+04 6.133227e+01
2.320760e+04 6.411838e+01
2.358300e+04 6.703579e+01
2.396440e+04 7.008988e+01
2.435200e+04 7.328785e+01
2.474590e+04 7.663708e+01
2.514620e+04 8.014350e+01
2.555290e+04 8.381615e+01
2.596620e+04 8.766115e+01
2.638610e+04 9.168856e+01
2.681290e+04 9.590619e+01
2.724660e+04 1.003236e+02
2.768730e+04 1.049494e+02
2.813510e+04 1.097945e+02
2.859020e+04 1.148693e+02
2.905260e+04 1.201846e+02
2.952250e+04 1.257521e+02
3.000000e+04 1.315839e+02
