# material=B density=2.46
# Photon Energy [eV]  Attenuation Length [um]
9.151160e+03 3.135719e+03
9.299170e+03 3.304912e+03
9.449580e+03 3.483625e+03
9.602420e+03 3.672028e+03
9.757730e+03 3.870992e+03
9.915550e+03 4.080559e+03
1.007590e+04 4.301963e+03
1.023890e+04 4.535659e+03
1.040450e+04 4.782290e+03
1.057280e+04 5.042630e+03
1.074380e+04 5.317388e+03
1.091760e+04 5.607468e+03
1.109420e+04 5.913681e+03
1.127360e+04 6.236949e+03
1.145590e+04 6.578213e+03
1.164120e+04 6.938543e+03
1.182950e+04 7.319071e+03
1.202080e+04 7.720793e+03
1.221530e+04 8.145069e+03
1.241280e+04 8.593051e+03
1.261360e+04 9.066197e+03
1.281760e+04 9.565833e+03
1.302500e+04 1.009367e+04
1.323560e+04 1.065093e+04
1.344970e+04 1.123962e+04
1.366720e+04 1.186139e+04
1.388830e+04 1.251818e+04
1.411290e+04 1.321184e+04
1.434120e+04 1.394468e+04
1.457310e+04 1.471859e+04
1.480890e+04 1.553633e+04
1.504840e+04 1.639994e+04
1.529180e+04 1.731221e+04
1.553910e+04 1.827578e+04
1.579040e+04 1.929358e+04
1.604580e+04 2.036864e+04
1.630540e+04 2.150425e+04
1.656910e+04 2.270352e+04
1.683710e+04 2.397013e+04
1.710940e+04 2.530771e+04
1.738610e+04 2.672015e+04
1.766740e+04 2.821179e+04
1.795310e+04 2.978646e+04
1.824350e+04 3.144906e+04
1.853860e+04 3.320403e+04
1.883840e+04 3.505633e+04
1.914310e+04 3.701116e+04
1.945270e+04 3.907390e+04
1.976740e+04 4.125026e+04
2.008710e+04 4.356308e+04
2.041200e+04 4.598541e+04
2.074210e+04 4.854024e+04
2.107760e+04 5.123505e+04
2.141850e+04 5.407705e+04
2.176500e+04 5.707471e+04
2.211700e+04 6.023577e+04
2.247470e+04 6.356931e+04
2.283820e+04 6.708477e+04
2.320760e+04 7.079193e+04
2.358300e+04 7.470148e+04
2.396440e+04 7.882320e+04
2.435200e+04 8.316985e+04
2.474590e+04 8.775277e+04
2.514620e+04 9.258514e+04
2.555290e+04 9.767983e+04
2.596620e+04 1.030517e+05
2.638610e+04 1.087147e+05
2.681290e+04 1.146855e+05
2.724660e+04 1.209806e+05
2.768730e+04 1.276165e+05
2.813510e+04 1.346121e+05
2.859020e+04 1.419876e+05
2.905260e+04 1.497620e+05
2.952250e+04 1.579584e+05
3.000000e+04 1.665979e+05
