# material=Gd density=7.901
# Photon Energy [eV]  Attenuation Length [um]
6.916890e+02 2.873702e-01
6.996570e+02 2.922337e-01
7.077170e+02 2.972355e-01
7.158700e+02 3.028759e-01
7.241160e+02 3.086229e-01
7.324580e+02 3.144766e-01
7.408960e+02 3.204440e-01
7.494310e+02 3.265242e-01
7.580640e+02 3.327192e-01
7.667970e+02 3.390694e-01
7.756310e+02 3.455505e-01
7.845660e+02 3.523355e-01
7.936040e+02 3.593629e-01
8.027460e+02 3.665276e-01
8.119940e+02 3.738358e-01
8.213480e+02 3.812934e-01
8.308100e+02 3.889000e-01
8.403810e+02 3.966700e-01
8.500620e+02 4.046357e-01
8.598540e+02 4.127810e-01
8.697600e+02 4.211848e-01
8.797790e+02 4.297591e-01
8.899140e+02 4.385124e-01
9.001660e+02 4.474441e-01
9.105360e+02 4.565573e-01
9.210250e+02 4.658556e-01
9.316350e+02 4.755367e-01
9.423680e+02 4.854653e-01
9.532240e+02 4.956930e-01
9.642050e+02 5.061660e-01
9.753120e+02 5.168505e-01
9.865480e+02 5.277565e-01
9.979130e+02 5.389316e-01
1.009410e+03 5.503801e-01
1.021040e+03 5.622130e-01
1.032800e+03 5.744871e-01
1.044700e+03 5.870697e-01
1.056730e+03 6.000122e-01
1.068910e+03 6.132476e-01
1.081220e+03 6.267686e-01
1.093670e+03 6.405871e-01
1.106270e+03 6.547138e-01
1.119020e+03 6.691548e-01
1.131910e+03 6.839013e-01
1.144950e+03 6.989725e-01
1.158140e+03 7.143840e-01
1.171480e+03 7.301363e-01
1.184970e+03 7.462320e-01
1.189500e+03 7.516709e-01
1.189700e+03 1.328951e-01
1.198630e+03 1.352709e-01
1.212430e+03 1.389919e-01
1.226400e+03 1.428169e-01
1.240530e+03 1.467429e-01
1.254820e+03 1.507735e-01
1.269280e+03 1.549068e-01
1.283900e+03 1.591410e-01
1.298690e+03 1.634910e-01
1.313650e+03 1.679601e-01
1.328780e+03 1.725511e-01
1.344090e+03 1.772691e-01
1.359570e+03 1.821150e-01
1.375230e+03 1.870941e-01
1.391080e+03 1.922100e-01
1.407100e+03 1.974649e-01
1.423310e+03 2.028637e-01
1.439710e+03 2.084098e-01
1.456290e+03 2.141061e-01
1.473070e+03 2.199854e-01
1.490040e+03 2.260332e-01
1.507200e+03 2.323096e-01
1.524570e+03 2.387970e-01
1.542130e+03 2.454633e-01
1.543900e+03 2.461410e-01
1.544100e+03 2.133084e-01
1.559900e+03 2.182907e-01
1.577870e+03 2.240363e-01
1.596040e+03 2.299322e-01
1.614430e+03 2.359851e-01
1.633030e+03 2.421980e-01
1.651840e+03 2.469672e-01
1.670870e+03 2.455052e-01
1.688200e+03 2.441955e-01
1.688400e+03 2.443514e-01
1.690120e+03 2.449391e-01
1.709590e+03 2.516573e-01
1.729280e+03 2.585592e-01
1.749200e+03 2.656510e-01
1.769350e+03 2.729380e-01
1.789740e+03 2.804288e-01
1.810350e+03 2.881243e-01
1.831210e+03 2.960305e-01
1.852300e+03 3.041523e-01
1.873640e+03 3.124973e-01
1.880700e+03 3.152858e-01
1.880900e+03 3.020081e-01
1.895230e+03 3.074549e-01
1.917060e+03 3.158629e-01
1.939140e+03 3.245009e-01
1.961480e+03 3.333762e-01
1.984080e+03 3.424948e-01
2.006930e+03 3.518312e-01
2.030050e+03 3.613720e-01
2.053440e+03 3.712932e-01
2.077100e+03 3.815163e-01
2.101020e+03 3.920240e-01
2.125230e+03 4.028377e-01
2.149710e+03 4.139631e-01
2.174470e+03 4.254098e-01
2.199520e+03 4.371842e-01
2.224860e+03 4.492977e-01
2.250490e+03 4.617626e-01
2.276420e+03 4.745897e-01
2.302640e+03 4.877748e-01
2.329170e+03 5.013596e-01
2.356000e+03 5.153031e-01
2.383140e+03 5.296527e-01
2.410590e+03 5.444391e-01
2.438360e+03 5.596477e-01
2.466450e+03 5.752682e-01
2.494870e+03 5.913925e-01
2.523610e+03 6.079245e-01
2.552680e+03 6.249702e-01
2.582090e+03 6.424906e-01
2.611830e+03 6.605348e-01
2.641920e+03 6.790890e-01
2.672350e+03 6.981494e-01
2.703140e+03 7.177621e-01
2.734280e+03 7.379752e-01
2.765780e+03 7.587872e-01
2.797640e+03 7.801675e-01
2.829870e+03 8.021811e-01
2.862470e+03 8.248242e-01
2.895440e+03 8.480997e-01
2.928800e+03 8.720477e-01
2.962540e+03 8.967090e-01
2.996670e+03 9.220932e-01
3.031190e+03 9.481991e-01
3.066110e+03 9.750513e-01
3.101430e+03 1.002700e+00
3.137160e+03 1.031140e+00
3.173300e+03 1.060447e+00
3.209850e+03 1.090561e+00
3.246830e+03 1.121494e+00
3.284230e+03 1.153381e+00
3.322070e+03 1.186233e+00
3.360340e+03 1.219968e+00
3.399050e+03 1.254778e+00
3.438200e+03 1.290524e+00
3.477810e+03 1.327323e+00
3.517880e+03 1.365199e+00
3.558400e+03 1.404162e+00
3.599390e+03 1.444280e+00
3.640860e+03 1.485573e+00
3.682800e+03 1.528048e+00
3.725230e+03 1.571797e+00
3.768140e+03 1.616802e+00
3.811550e+03 1.663129e+00
3.855460e+03 1.710809e+00
3.899870e+03 1.759872e+00
3.944800e+03 1.810375e+00
3.990240e+03 1.862383e+00
4.036210e+03 1.915907e+00
4.082710e+03 1.971021e+00
4.129740e+03 2.027719e+00
4.177310e+03 2.086133e+00
4.225440e+03 2.146255e+00
4.274110e+03 2.208132e+00
4.323350e+03 2.271831e+00
4.373150e+03 2.337403e+00
4.423530e+03 2.404954e+00
4.474490e+03 2.474484e+00
4.526040e+03 2.546112e+00
4.578180e+03 2.619831e+00
4.630920e+03 2.695745e+00
4.684270e+03 2.773923e+00
4.738230e+03 2.854428e+00
4.792810e+03 2.937341e+00
4.848020e+03 3.022735e+00
4.903870e+03 3.110670e+00
4.960370e+03 3.201242e+00
5.017510e+03 3.294581e+00
5.075310e+03 3.390658e+00
5.133780e+03 3.489694e+00
5.192920e+03 3.591700e+00
5.252740e+03 3.696736e+00
5.313250e+03 3.804912e+00
5.374460e+03 3.916387e+00
5.436370e+03 4.031257e+00
5.499000e+03 4.149768e+00
5.562350e+03 4.271640e+00
5.626420e+03 4.397493e+00
5.691240e+03 4.527072e+00
5.756800e+03 4.660615e+00
5.823120e+03 4.798271e+00
5.890200e+03 4.940024e+00
5.958060e+03 5.086401e+00
6.026690e+03 5.237080e+00
6.096120e+03 5.392457e+00
6.166350e+03 5.552667e+00
6.237380e+03 5.717892e+00
6.309240e+03 5.888274e+00
6.381920e+03 6.063939e+00
6.455440e+03 6.245144e+00
6.529800e+03 6.432069e+00
6.605030e+03 6.624816e+00
6.681110e+03 6.823691e+00
6.758080e+03 7.029031e+00
6.835930e+03 7.240682e+00
6.914680e+03 7.459017e+00
6.994340e+03 7.684458e+00
7.074910e+03 7.916976e+00
7.156420e+03 8.156768e+00
7.238860e+03 8.404683e+00
7.242700e+03 8.416373e+00
7.242900e+03 2.967749e+00
