# material=S density=1.96
# Photon Energy [eV]  Attenuation Length [um]
4.664580e+03 1.226564e+01
4.740030e+03 1.281883e+01
4.816690e+03 1.339801e+01
4.894600e+03 1.400418e+01
4.973770e+03 1.463902e+01
5.054210e+03 1.530363e+01
5.135960e+03 1.599938e+01
5.219030e+03 1.672796e+01
5.303440e+03 1.749111e+01
5.389220e+03 1.828992e+01
5.476390e+03 1.912690e+01
5.564970e+03 2.000268e+01
5.654980e+03 2.092060e+01
5.746440e+03 2.188132e+01
5.839390e+03 2.288757e+01
5.933830e+03 2.394116e+01
6.029810e+03 2.504567e+01
6.127330e+03 2.620115e+01
6.226440e+03 2.741219e+01
6.327150e+03 2.868146e+01
6.429480e+03 3.000990e+01
6.533480e+03 3.140144e+01
6.639150e+03 3.285957e+01
6.746540e+03 3.438737e+01
6.855650e+03 3.598779e+01
6.966540e+03 3.766311e+01
7.079220e+03 3.941983e+01
7.193720e+03 4.125966e+01
7.310070e+03 4.318895e+01
7.428310e+03 4.520897e+01
7.548450e+03 4.732639e+01
7.670540e+03 4.954443e+01
7.794610e+03 5.186673e+01
7.920680e+03 5.430142e+01
8.048790e+03 5.685389e+01
8.178980e+03 5.952814e+01
8.311260e+03 6.233085e+01
8.445690e+03 6.526748e+01
8.582290e+03 6.834614e+01
8.721110e+03 7.157265e+01
8.862160e+03 7.495407e+01
9.005500e+03 7.849902e+01
9.151160e+03 8.221409e+01
9.299170e+03 8.610791e+01
9.449580e+03 9.019058e+01
9.602420e+03 9.446882e+01
9.757730e+03 9.895458e+01
9.915550e+03 1.036570e+02
1.007590e+04 1.085872e+02
1.023890e+04 1.137564e+02
1.040450e+04 1.191757e+02
1.057280e+04 1.248586e+02
1.074380e+04 1.308163e+02
1.091760e+04 1.370642e+02
1.109420e+04 1.436158e+02
1.127360e+04 1.504854e+02
1.145590e+04 1.576893e+02
1.164120e+04 1.652452e+02
1.182950e+04 1.731691e+02
1.202080e+04 1.814800e+02
1.221530e+04 1.901981e+02
1.241280e+04 1.993408e+02
1.261360e+04 2.089322e+02
1.281760e+04 2.189938e+02
1.302500e+04 2.295505e+02
1.323560e+04 2.406227e+02
1.344970e+04 2.522410e+02
1.366720e+04 2.644304e+02
1.388830e+04 2.772205e+02
1.411290e+04 2.906422e+02
1.434120e+04 3.047272e+02
1.457310e+04 3.195071e+02
1.480890e+04 3.350209e+02
1.504840e+04 3.513023e+02
1.529180e+04 3.683922e+02
1.553910e+04 3.863316e+02
1.579040e+04 4.051639e+02
1.604580e+04 4.249351e+02
1.630540e+04 4.456967e+02
1.656910e+04 4.674920e+02
1.683710e+04 4.903817e+02
1.710940e+04 5.144173e+02
