# material=Er density=9.066
# Photon Energy [eV]  Attenuation Length [um]
1.976740e+04 2.100871e+01
2.008710e+04 2.194444e+01
2.041200e+04 2.292301e+01
2.074210e+04 2.394642e+01
2.107760e+04 2.501674e+01
2.141850e+04 2.613612e+01
2.176500e+04 2.730688e+01
2.211700e+04 2.853117e+01
2.247470e+04 2.981163e+01
2.283820e+04 3.115078e+01
2.320760e+04 3.255127e+01
2.358300e+04 3.401610e+01
2.396440e+04 3.554792e+01
2.435200e+04 3.714991e+01
2.474590e+04 3.882551e+01
2.514620e+04 4.057782e+01
2.555290e+04 4.241028e+01
2.596620e+04 4.432657e+01
2.638610e+04 4.633069e+01
2.681290e+04 4.842668e+01
2.724660e+04 5.061856e+01
2.768730e+04 5.291077e+01
2.813510e+04 5.530772e+01
2.859020e+04 5.781448e+01
2.905260e+04 6.043571e+01
2.952250e+04 6.317668e+01
3.000000e+04 6.604303e+01
