# material=Zr density=6.511
# Photon Energy [eV]  Attenuation Length [um]
4.627080e+01 1.268003e-02
4.695830e+01 1.376783e-02
4.765600e+01 1.494888e-02
4.836400e+01 1.623134e-02
4.908260e+01 1.762380e-02
4.981180e+01 1.913568e-02
5.055190e+01 2.077728e-02
5.130300e+01 2.255974e-02
5.206520e+01 2.449505e-02
5.283880e+01 2.659646e-02
5.362380e+01 2.887807e-02
5.442050e+01 3.143832e-02
5.522910e+01 3.439919e-02
5.604960e+01 3.763883e-02
5.688240e+01 4.118360e-02
5.772750e+01 4.506211e-02
5.858520e+01 4.930600e-02
5.945560e+01 5.394947e-02
6.033900e+01 5.903032e-02
6.123540e+01 6.458961e-02
6.214520e+01 7.067268e-02
6.306860e+01 7.732846e-02
6.400560e+01 8.461110e-02
6.495660e+01 9.257977e-02
6.592160e+01 1.012986e-01
6.690110e+01 1.108386e-01
6.789500e+01 1.212771e-01
6.890380e+01 1.326992e-01
6.992750e+01 1.414638e-01
7.096650e+01 1.502444e-01
7.202080e+01 1.595687e-01
7.309090e+01 1.694717e-01
7.417680e+01 1.799902e-01
7.527890e+01 1.911613e-01
7.639730e+01 2.030257e-01
7.753240e+01 2.128040e-01
7.868430e+01 2.211803e-01
7.985340e+01 2.298874e-01
8.103980e+01 2.389346e-01
8.224380e+01 2.440839e-01
8.346580e+01 2.492525e-01
8.470580e+01 2.545307e-01
8.596440e+01 2.599194e-01
8.724160e+01 2.654250e-01
8.853770e+01 2.710974e-01
8.985320e+01 2.768900e-01
9.118820e+01 2.828073e-01
9.254300e+01 2.888521e-01
9.391790e+01 2.950242e-01
9.531330e+01 3.008980e-01
9.672940e+01 3.024549e-01
9.816660e+01 3.040194e-01
9.962510e+01 3.055915e-01
1.011050e+02 3.071709e-01
1.026070e+02 3.082159e-01
1.041320e+02 3.062459e-01
1.056790e+02 3.042859e-01
1.072490e+02 3.023379e-01
1.088430e+02 3.004042e-01
1.104600e+02 2.984811e-01
1.121010e+02 2.968325e-01
1.137660e+02 2.962350e-01
1.154570e+02 2.956418e-01
1.171720e+02 2.950480e-01
1.189130e+02 2.959471e-01
1.206800e+02 2.971991e-01
1.224730e+02 2.984579e-01
1.242920e+02 2.997186e-01
1.261390e+02 3.009876e-01
1.280130e+02 3.022619e-01
1.299150e+02 3.035412e-01
1.318450e+02 3.048249e-01
1.338040e+02 3.060599e-01
1.357920e+02 3.071342e-01
1.378100e+02 3.082145e-01
1.398570e+02 3.092960e-01
1.419350e+02 3.103827e-01
1.440440e+02 3.114739e-01
1.461840e+02 3.125672e-01
1.483560e+02 3.136661e-01
1.505600e+02 3.147681e-01
1.527970e+02 3.158728e-01
1.550670e+02 3.173713e-01
1.573710e+02 3.191947e-01
1.597090e+02 3.210288e-01
1.620820e+02 3.228748e-01
1.644900e+02 3.247302e-01
1.669340e+02 3.265980e-01
1.694140e+02 3.284738e-01
1.719310e+02 3.303624e-01
1.744860e+02 3.322632e-01
1.762930e+02 3.335960e-01
1.787760e+02 2.766933e-01
1.814320e+02 2.768316e-01
1.841280e+02 2.769699e-01
1.868630e+02 2.499157e-01
1.896400e+02 2.219208e-01
1.924570e+02 1.998835e-01
1.953170e+02 1.875896e-01
1.982190e+02 1.760516e-01
2.011640e+02 1.466412e-01
2.041520e+02 1.202771e-01
2.071860e+02 9.865371e-02
2.102640e+02 8.671411e-02
2.133880e+02 7.996777e-02
2.165580e+02 7.757791e-02
2.197760e+02 7.525999e-02
2.230410e+02 7.301067e-02
2.263550e+02 7.026298e-02
2.297180e+02 6.723501e-02
2.331310e+02 6.433829e-02
2.365950e+02 6.111273e-02
2.401100e+02 5.789819e-02
2.436770e+02 5.653387e-02
2.472980e+02 5.629945e-02
2.509720e+02 5.606555e-02
2.547010e+02 5.560183e-02
2.584850e+02 5.511011e-02
2.623250e+02 5.462276e-02
2.662230e+02 5.416548e-02
2.701780e+02 5.426157e-02
2.741920e+02 5.435818e-02
2.782660e+02 5.445479e-02
2.824000e+02 5.490719e-02
2.865960e+02 5.542718e-02
2.908540e+02 5.595232e-02
2.951750e+02 5.644796e-02
2.995610e+02 5.621825e-02
3.040120e+02 5.598910e-02
3.085290e+02 5.576121e-02
3.131120e+02 5.603802e-02
3.177640e+02 5.642896e-02
3.224860e+02 5.682290e-02
3.272770e+02 5.602396e-02
3.321390e+02 5.485171e-02
3.370740e+02 5.370431e-02
3.420820e+02 5.258091e-02
3.471650e+02 5.327097e-02
3.523230e+02 5.446253e-02
3.575570e+02 5.568058e-02
3.628700e+02 5.692622e-02
3.682610e+02 5.819946e-02
3.737320e+02 5.950100e-02
3.792850e+02 6.032594e-02
3.849200e+02 6.096853e-02
3.906390e+02 6.161818e-02
3.964430e+02 6.227465e-02
4.023330e+02 6.293827e-02
4.083110e+02 6.381915e-02
4.143770e+02 6.479830e-02
4.205340e+02 6.579231e-02
4.267820e+02 6.680182e-02
4.331230e+02 6.782655e-02
4.395580e+02 6.886698e-02
4.460880e+02 7.035553e-02
4.527160e+02 7.202454e-02
4.594420e+02 7.373336e-02
4.662680e+02 7.548227e-02
4.731960e+02 7.723886e-02
4.802260e+02 7.895769e-02
4.873610e+02 8.071514e-02
4.946020e+02 8.251154e-02
5.019510e+02 8.434822e-02
5.094090e+02 8.622508e-02
5.169770e+02 8.814418e-02
5.246580e+02 9.010623e-02
5.324530e+02 9.211156e-02
5.403640e+02 9.424697e-02
5.483920e+02 9.709677e-02
5.565400e+02 1.000332e-01
5.648090e+02 1.030583e-01
5.732000e+02 1.061744e-01
5.817170e+02 1.093853e-01
5.903590e+02 1.126925e-01
5.991310e+02 1.161002e-01
6.080320e+02 1.196114e-01
6.170660e+02 1.232284e-01
6.262340e+02 1.269545e-01
6.355380e+02 1.307933e-01
6.449810e+02 1.346940e-01
6.545640e+02 1.386961e-01
6.642890e+02 1.428163e-01
6.741580e+02 1.470584e-01
6.841740e+02 1.514279e-01
6.943400e+02 1.559261e-01
7.046560e+02 1.605591e-01
7.151250e+02 1.653284e-01
7.257500e+02 1.702400e-01
7.365330e+02 1.752974e-01
7.474760e+02 1.805057e-01
7.585810e+02 1.858674e-01
7.698520e+02 1.915641e-01
7.812900e+02 1.976376e-01
7.928980e+02 2.039031e-01
8.046780e+02 2.103673e-01
8.166340e+02 2.170359e-01
8.287670e+02 2.239156e-01
8.410800e+02 2.310140e-01
8.535760e+02 2.383571e-01
8.662580e+02 2.470516e-01
8.791290e+02 2.560608e-01
8.921900e+02 2.654024e-01
9.054460e+02 2.750820e-01
9.188980e+02 2.851160e-01
9.325510e+02 2.955156e-01
9.464060e+02 3.056633e-01
9.604670e+02 3.160261e-01
9.747370e+02 3.267379e-01
9.892190e+02 3.378141e-01
1.003920e+03 3.492679e-01
1.018830e+03 3.611062e-01
1.033970e+03 3.736324e-01
1.049330e+03 3.878456e-01
1.064920e+03 4.026001e-01
1.080740e+03 4.179154e-01
1.096800e+03 4.325376e-01
1.113100e+03 4.469046e-01
1.129630e+03 4.617436e-01
1.146420e+03 4.770811e-01
1.163450e+03 4.937540e-01
1.180740e+03 5.111784e-01
1.198280e+03 5.292143e-01
1.216080e+03 5.494010e-01
1.234150e+03 5.718242e-01
1.252490e+03 5.951635e-01
1.271100e+03 6.197952e-01
1.289980e+03 6.468884e-01
1.309150e+03 6.751698e-01
1.328600e+03 7.039590e-01
1.348340e+03 7.290352e-01
1.368370e+03 7.550085e-01
1.388700e+03 7.819135e-01
1.409330e+03 8.097857e-01
1.430270e+03 8.386511e-01
1.451520e+03 8.685220e-01
1.473090e+03 8.995093e-01
1.494970e+03 9.316284e-01
1.517180e+03 9.650986e-01
1.539730e+03 9.997934e-01
1.562600e+03 1.035744e+00
1.585820e+03 1.072996e+00
1.609380e+03 1.111585e+00
1.633290e+03 1.151514e+00
1.657560e+03 1.192904e+00
1.682180e+03 1.235810e+00
1.707180e+03 1.280223e+00
1.732540e+03 1.326253e+00
1.758280e+03 1.374334e+00
1.784410e+03 1.424249e+00
1.810920e+03 1.476065e+00
1.837820e+03 1.529775e+00
1.865130e+03 1.585449e+00
1.892840e+03 1.643118e+00
1.920960e+03 1.702886e+00
1.949500e+03 1.764832e+00
1.978470e+03 1.829047e+00
2.000000e+03 1.877651e+00
2.026000e+03 1.936582e+00
2.052000e+03 1.997797e+00
2.079000e+03 2.062649e+00
2.106000e+03 2.128836e+00
2.134000e+03 2.198883e+00
2.161000e+03 2.267782e+00
2.190000e+03 2.343350e+00
2.218000e+03 2.417795e+00
2.222200e+03 2.429085e+00
2.222400e+03 6.436284e-01
2.247000e+03 6.632075e-01
2.277000e+03 6.875804e-01
2.306000e+03 7.116732e-01
2.306600e+03 7.121753e-01
2.306800e+03 5.172018e-01
2.337000e+03 5.334454e-01
2.367000e+03 5.498683e-01
2.398000e+03 5.671283e-01
2.429000e+03 5.847059e-01
2.461000e+03 6.031670e-01
2.493000e+03 6.219752e-01
2.526000e+03 6.417004e-01
2.531500e+03 6.450268e-01
2.531700e+03 5.647813e-01
2.559000e+03 5.794989e-01
2.592000e+03 5.975800e-01
2.626000e+03 6.166310e-01
2.660000e+03 6.361222e-01
2.695000e+03 6.566271e-01
2.730000e+03 6.776006e-01
2.766000e+03 6.996747e-01
2.802000e+03 7.222466e-01
2.839000e+03 7.459613e-01
2.876000e+03 7.702041e-01
2.914000e+03 7.957024e-01
2.952000e+03 8.217615e-01
2.990000e+03 8.483627e-01
3.029000e+03 8.763433e-01
3.069000e+03 9.056381e-01
3.109000e+03 9.356523e-01
3.150000e+03 9.670554e-01
3.191000e+03 9.992116e-01
3.232000e+03 1.032114e+00
3.275000e+03 1.067333e+00
3.317000e+03 1.102584e+00
3.361000e+03 1.140322e+00
3.405000e+03 1.178834e+00
3.449000e+03 1.218297e+00
3.494000e+03 1.259667e+00
3.540000e+03 1.302728e+00
3.586000e+03 1.346944e+00
3.633000e+03 1.393003e+00
3.680000e+03 1.440159e+00
3.729000e+03 1.490476e+00
3.777000e+03 1.540871e+00
3.827000e+03 1.594562e+00
3.877000e+03 1.649485e+00
3.927000e+03 1.705652e+00
3.979000e+03 1.765393e+00
4.031000e+03 1.826512e+00
4.083000e+03 1.889034e+00
4.137000e+03 1.955419e+00
4.191000e+03 2.023328e+00
4.245000e+03 2.092807e+00
4.301000e+03 2.166495e+00
4.357000e+03 2.241861e+00
4.414000e+03 2.320337e+00
4.472000e+03 2.402031e+00
4.530000e+03 2.485572e+00
4.589000e+03 2.572506e+00
4.649000e+03 2.662920e+00
4.710000e+03 2.756996e+00
4.771000e+03 2.853191e+00
4.834000e+03 2.954857e+00
4.897000e+03 3.058846e+00
4.961000e+03 3.166898e+00
5.026000e+03 3.279145e+00
5.091000e+03 3.393999e+00
5.158000e+03 3.515108e+00
5.225000e+03 3.639043e+00
5.294000e+03 3.769538e+00
5.363000e+03 3.903082e+00
5.433000e+03 4.041645e+00
5.504000e+03 4.185500e+00
5.576000e+03 4.334701e+00
5.649000e+03 4.489414e+00
5.722000e+03 4.647841e+00
5.797000e+03 4.814219e+00
5.873000e+03 4.986639e+00
5.950000e+03 5.165434e+00
6.027000e+03 5.348376e+00
6.106000e+03 5.540348e+00
6.186000e+03 5.739330e+00
6.267000e+03 5.945277e+00
6.349000e+03 6.158908e+00
6.432000e+03 6.379968e+00
6.516000e+03 6.608665e+00
6.601000e+03 6.845789e+00
6.687000e+03 7.091069e+00
6.774000e+03 7.344734e+00
6.863000e+03 7.610427e+00
6.952000e+03 7.882306e+00
7.043000e+03 8.166468e+00
7.135000e+03 8.460686e+00
7.229000e+03 8.767911e+00
7.323000e+03 9.082656e+00
7.419000e+03 9.411016e+00
7.516000e+03 9.751016e+00
7.614000e+03 1.010254e+01
7.713000e+03 1.046532e+01
7.814000e+03 1.084440e+01
7.916000e+03 1.123553e+01
8.019000e+03 1.164004e+01
8.124000e+03 1.206239e+01
8.230000e+03 1.249823e+01
8.338000e+03 1.295255e+01
8.447000e+03 1.342119e+01
8.557000e+03 1.390607e+01
8.669000e+03 1.441108e+01
8.782000e+03 1.493226e+01
8.897000e+03 1.547456e+01
9.013000e+03 1.603448e+01
9.131000e+03 1.661742e+01
9.250000e+03 1.721883e+01
9.371000e+03 1.784474e+01
9.494000e+03 1.849563e+01
9.618000e+03 1.916718e+01
9.743000e+03 1.985966e+01
9.887760e+03 2.068158e+01
1.003470e+04 2.153798e+01
1.018380e+04 2.243001e+01
1.033510e+04 2.335925e+01
1.048860e+04 2.432729e+01
1.064440e+04 2.533567e+01
1.080260e+04 2.638657e+01
1.096310e+04 2.748122e+01
1.112600e+04 2.862155e+01
1.129130e+04 2.980960e+01
1.145900e+04 3.104725e+01
1.162930e+04 3.233705e+01
1.180210e+04 3.368081e+01
1.197740e+04 3.508072e+01
1.215540e+04 3.653935e+01
1.233600e+04 3.805948e+01
1.251920e+04 3.964260e+01
1.270520e+04 4.129309e+01
1.289400e+04 4.301254e+01
1.308560e+04 4.480446e+01
1.328000e+04 4.667164e+01
1.347730e+04 4.861749e+01
1.367750e+04 5.064518e+01
1.388080e+04 5.275884e+01
1.408700e+04 5.496123e+01
1.429630e+04 5.725677e+01
1.450870e+04 5.964936e+01
1.472430e+04 6.214333e+01
1.494300e+04 6.474248e+01
1.516500e+04 6.745198e+01
1.539030e+04 7.027642e+01
1.561900e+04 7.322116e+01
1.585110e+04 7.629108e+01
1.608660e+04 7.949140e+01
1.632560e+04 8.282821e+01
1.656810e+04 8.630717e+01
1.681430e+04 8.993530e+01
1.706410e+04 9.371822e+01
1.731760e+04 9.766323e+01
1.757490e+04 1.017779e+02
1.783610e+04 1.060697e+02
1.799580e+04 1.087511e+02
1.799600e+04 1.593886e+01
1.810110e+04 1.617648e+01
1.837000e+04 1.679445e+01
1.864290e+04 1.743851e+01
1.891990e+04 1.810977e+01
1.920100e+04 1.880937e+01
1.948630e+04 1.953850e+01
1.977580e+04 2.029843e+01
2.006960e+04 2.109055e+01
2.036780e+04 2.191621e+01
2.067040e+04 2.277681e+01
2.097750e+04 2.367391e+01
2.128920e+04 2.460906e+01
2.160550e+04 2.558391e+01
2.192650e+04 2.660013e+01
2.225230e+04 2.765962e+01
2.258290e+04 2.876415e+01
2.291840e+04 2.991567e+01
2.325890e+04 3.111622e+01
2.360450e+04 3.236801e+01
2.395520e+04 3.367310e+01
2.431110e+04 3.503390e+01
2.467230e+04 3.645294e+01
2.503890e+04 3.793267e+01
2.541090e+04 3.947549e+01
2.578840e+04 4.108442e+01
2.617160e+04 4.276237e+01
2.656040e+04 4.451233e+01
2.695500e+04 4.633701e+01
2.735550e+04 4.824044e+01
2.776190e+04 5.022520e+01
2.817440e+04 5.229564e+01
2.859300e+04 5.445510e+01
2.901780e+04 5.670723e+01
2.944890e+04 5.905647e+01
2.988650e+04 6.150700e+01
3.000000e+04 6.215397e+01
