# material=Po density=9.196
# Photon Energy [eV]  Attenuation Length [um]
8.379490e+02 1.369595e-01
8.515020e+02 1.405162e-01
8.652740e+02 1.442576e-01
8.792690e+02 1.481832e-01
8.934910e+02 1.522152e-01
9.079430e+02 1.563579e-01
9.226280e+02 1.606136e-01
9.375510e+02 1.640794e-01
9.527150e+02 1.673701e-01
9.681240e+02 1.705033e-01
9.837830e+02 1.736957e-01
9.996950e+02 1.771240e-01
1.015860e+03 1.808116e-01
1.032290e+03 1.864921e-01
1.048990e+03 1.924186e-01
1.065960e+03 1.985897e-01
1.083200e+03 2.049629e-01
1.100720e+03 2.115427e-01
1.118520e+03 2.183356e-01
1.136610e+03 2.253524e-01
1.155000e+03 2.325974e-01
1.173680e+03 2.400761e-01
1.192660e+03 2.477991e-01
1.211950e+03 2.557760e-01
1.231550e+03 2.640143e-01
1.251470e+03 2.725274e-01
1.271720e+03 2.813207e-01
1.292290e+03 2.903977e-01
1.313190e+03 2.997728e-01
1.334430e+03 3.094574e-01
1.356010e+03 3.194638e-01
1.377940e+03 3.298004e-01
1.400230e+03 3.404782e-01
1.422880e+03 3.515077e-01
1.445890e+03 3.629065e-01
1.469280e+03 3.747447e-01
1.493040e+03 3.870719e-01
1.517190e+03 4.002236e-01
1.541730e+03 4.138896e-01
1.566670e+03 4.280384e-01
1.592010e+03 4.426888e-01
1.617760e+03 4.578442e-01
1.643920e+03 4.735180e-01
1.670510e+03 4.897554e-01
1.697530e+03 5.065631e-01
1.724990e+03 5.239629e-01
1.752890e+03 5.424077e-01
1.781240e+03 5.616623e-01
1.810050e+03 5.817219e-01
1.839320e+03 6.025331e-01
1.869070e+03 6.241046e-01
1.899300e+03 6.464539e-01
1.930020e+03 6.696057e-01
1.961240e+03 6.936118e-01
1.992960e+03 7.185217e-01
2.025200e+03 7.438891e-01
2.057950e+03 7.711016e-01
2.091240e+03 7.995065e-01
2.125060e+03 8.290469e-01
2.159430e+03 8.598755e-01
2.194360e+03 8.919328e-01
2.229850e+03 9.253913e-01
2.265920e+03 9.602536e-01
2.302570e+03 9.965956e-01
2.339810e+03 1.034487e+00
2.377660e+03 1.073998e+00
2.416110e+03 1.115222e+00
2.455190e+03 1.158244e+00
2.494900e+03 1.203114e+00
2.535260e+03 1.249968e+00
2.576260e+03 1.298869e+00
2.617930e+03 1.349927e+00
2.660270e+03 1.403226e+00
2.682900e+03 1.432202e+00
2.683100e+03 5.427153e-01
2.703300e+03 5.530263e-01
2.747030e+03 5.757457e-01
2.791460e+03 5.993823e-01
2.797900e+03 6.028570e-01
2.798100e+03 4.156065e-01
2.836610e+03 4.301482e-01
2.882490e+03 4.478696e-01
2.929110e+03 4.663245e-01
2.976480e+03 4.855171e-01
3.024630e+03 5.054962e-01
3.073550e+03 5.262617e-01
3.123260e+03 5.478674e-01
3.173780e+03 5.703405e-01
3.225110e+03 5.937385e-01
3.277270e+03 6.180622e-01
3.301800e+03 6.297041e-01
3.302000e+03 5.421695e-01
3.330280e+03 5.538052e-01
3.384150e+03 5.763738e-01
3.438880e+03 5.998369e-01
3.494500e+03 6.242521e-01
3.551020e+03 6.496104e-01
3.608460e+03 6.759875e-01
3.666820e+03 7.034177e-01
3.726130e+03 7.319419e-01
3.786400e+03 7.615699e-01
3.847640e+03 7.923713e-01
3.854000e+03 7.956134e-01
3.854200e+03 7.501184e-01
3.909870e+03 7.774111e-01
3.973110e+03 8.091277e-01
4.037380e+03 8.421453e-01
4.102680e+03 8.765091e-01
4.149300e+03 9.015535e-01
4.149500e+03 8.658416e-01
4.169030e+03 8.756066e-01
4.236460e+03 9.097966e-01
4.304980e+03 9.454754e-01
4.374620e+03 9.827156e-01
4.445370e+03 1.021459e+00
4.517270e+03 1.061840e+00
4.590330e+03 1.103932e+00
4.664580e+03 1.147858e+00
4.740030e+03 1.193661e+00
4.816690e+03 1.241371e+00
4.894600e+03 1.291103e+00
4.973770e+03 1.342961e+00
5.054210e+03 1.397001e+00
5.135960e+03 1.453345e+00
5.219030e+03 1.512088e+00
