# material=Sc density=2.985
# Photon Energy [eV]  Attenuation Length [um]
7.569710e+03 1.514041e+01
7.692150e+03 1.582830e+01
7.816560e+03 1.654753e+01
7.942990e+03 1.729938e+01
8.071460e+03 1.808533e+01
8.202010e+03 1.890719e+01
8.334670e+03 1.976616e+01
8.469480e+03 2.066439e+01
8.606460e+03 2.160316e+01
8.745670e+03 2.258475e+01
8.887120e+03 2.361103e+01
9.030860e+03 2.468389e+01
9.176930e+03 2.580542e+01
9.325360e+03 2.697781e+01
9.476190e+03 2.820362e+01
9.629460e+03 2.948512e+01
9.785210e+03 3.082491e+01
9.943470e+03 3.224761e+01
1.010430e+04 3.373895e+01
1.026770e+04 3.530125e+01
1.043380e+04 3.693898e+01
1.060260e+04 3.865502e+01
1.077410e+04 4.045327e+01
1.094830e+04 4.233755e+01
1.112540e+04 4.431269e+01
1.130530e+04 4.638251e+01
1.148820e+04 4.855226e+01
1.167400e+04 5.082625e+01
1.186280e+04 5.320976e+01
1.205470e+04 5.570842e+01
1.224970e+04 5.832764e+01
1.244780e+04 6.107308e+01
1.264910e+04 6.395111e+01
1.285370e+04 6.696855e+01
1.306160e+04 7.013197e+01
1.327290e+04 7.344881e+01
1.348760e+04 7.692628e+01
1.370570e+04 8.057190e+01
1.392740e+04 8.439482e+01
1.415270e+04 8.840363e+01
1.438160e+04 9.260677e+01
1.461420e+04 9.701438e+01
1.485050e+04 1.016360e+02
1.509070e+04 1.064831e+02
1.533480e+04 1.115665e+02
1.558280e+04 1.168974e+02
1.583490e+04 1.224890e+02
1.609100e+04 1.283530e+02
1.635130e+04 1.345038e+02
1.661570e+04 1.409544e+02
1.688450e+04 1.477214e+02
1.715760e+04 1.548191e+02
1.743510e+04 1.622646e+02
1.771710e+04 1.700746e+02
1.800360e+04 1.782675e+02
1.829480e+04 1.868625e+02
1.859070e+04 1.958796e+02
1.889140e+04 2.053396e+02
1.919700e+04 2.152657e+02
1.950750e+04 2.256790e+02
1.982300e+04 2.366045e+02
2.014360e+04 2.480679e+02
2.046940e+04 2.600963e+02
2.080050e+04 2.727183e+02
2.113690e+04 2.859621e+02
2.147880e+04 2.998609e+02
2.182620e+04 3.144449e+02
2.217920e+04 3.297498e+02
2.253800e+04 3.458138e+02
2.290250e+04 3.626695e+02
2.327290e+04 3.803607e+02
2.364930e+04 3.989291e+02
2.403180e+04 4.184188e+02
2.442050e+04 4.388740e+02
2.481550e+04 4.603437e+02
2.521690e+04 4.828822e+02
2.562480e+04 5.065396e+02
2.603920e+04 5.313720e+02
2.646040e+04 5.574420e+02
2.688840e+04 5.848063e+02
2.732330e+04 6.135373e+02
2.776520e+04 6.436973e+02
2.821430e+04 6.753616e+02
2.867060e+04 7.086058e+02
2.913430e+04 7.435154e+02
2.960560e+04 7.801649e+02
3.000000e+04 8.117704e+02
