# material=In density=7.31
# Photon Energy [eV]  Attenuation Length [um]
1.824350e+04 5.702038e+01
1.853860e+04 5.960884e+01
1.883840e+04 6.231527e+01
1.914310e+04 6.514581e+01
1.945270e+04 6.810567e+01
1.976740e+04 7.120099e+01
2.008710e+04 7.443780e+01
2.041200e+04 7.782333e+01
2.074210e+04 8.136359e+01
2.107760e+04 8.506653e+01
2.141850e+04 8.893919e+01
2.176500e+04 9.299011e+01
2.211700e+04 9.722659e+01
2.247470e+04 1.016578e+02
2.283820e+04 1.062930e+02
2.320760e+04 1.111418e+02
2.358300e+04 1.162142e+02
2.396440e+04 1.215199e+02
2.435200e+04 1.270711e+02
2.474590e+04 1.328784e+02
2.514620e+04 1.389550e+02
2.555290e+04 1.453121e+02
2.596620e+04 1.519640e+02
2.638610e+04 1.589244e+02
2.681290e+04 1.662083e+02
2.724660e+04 1.738312e+02
2.768730e+04 1.818091e+02
2.793980e+04 1.864844e+02
2.794000e+04 2.967107e+01
2.813510e+04 3.020377e+01
2.859020e+04 3.146869e+01
2.905260e+04 3.279154e+01
2.952250e+04 3.417499e+01
3.000000e+04 3.562168e+01
