# material=Rb density=1.532
# Photon Energy [eV]  Attenuation Length [um]
8.652740e+02 1.468788e+00
8.792690e+02 1.523306e+00
8.934910e+02 1.579839e+00
9.079430e+02 1.638482e+00
9.226280e+02 1.699311e+00
9.375510e+02 1.763214e+00
9.527150e+02 1.829737e+00
9.681240e+02 1.898966e+00
9.837830e+02 1.970824e+00
9.996950e+02 2.045295e+00
1.015860e+03 2.122450e+00
1.032290e+03 2.201711e+00
1.048990e+03 2.284734e+00
1.065960e+03 2.371801e+00
1.083200e+03 2.462220e+00
1.100720e+03 2.556095e+00
1.118520e+03 2.653554e+00
1.136610e+03 2.754702e+00
1.155000e+03 2.859748e+00
1.173680e+03 2.968802e+00
1.192660e+03 3.081982e+00
1.211950e+03 3.199463e+00
1.231550e+03 3.321384e+00
1.251470e+03 3.449344e+00
1.271720e+03 3.583693e+00
1.292290e+03 3.725106e+00
1.313190e+03 3.872032e+00
1.334430e+03 4.024745e+00
1.356010e+03 4.183473e+00
1.377940e+03 4.348498e+00
1.400230e+03 4.520142e+00
1.422880e+03 4.698689e+00
1.445890e+03 4.884002e+00
1.469280e+03 5.078281e+00
1.493040e+03 5.282912e+00
1.517190e+03 5.507369e+00
1.541730e+03 5.743115e+00
1.566670e+03 5.989053e+00
1.592010e+03 6.245479e+00
1.617760e+03 6.512853e+00
1.643920e+03 6.791614e+00
1.670510e+03 7.082308e+00
1.697530e+03 7.385450e+00
1.724990e+03 7.701577e+00
1.752890e+03 8.043996e+00
1.781240e+03 8.404558e+00
1.804300e+03 8.705266e+00
1.804500e+03 2.062694e+00
1.810050e+03 2.085273e+00
1.839320e+03 2.207383e+00
1.863800e+03 2.313342e+00
1.864000e+03 1.659759e+00
1.869070e+03 1.670107e+00
1.899300e+03 1.732512e+00
1.930020e+03 1.797248e+00
1.961240e+03 1.864402e+00
1.992960e+03 1.934066e+00
2.025200e+03 2.005848e+00
2.057950e+03 2.080770e+00
2.065000e+03 2.097094e+00
2.065200e+03 1.856419e+00
2.091240e+03 1.910883e+00
2.125060e+03 1.982952e+00
2.159430e+03 2.058267e+00
2.194360e+03 2.137039e+00
2.229850e+03 2.219420e+00
2.265920e+03 2.305481e+00
2.302570e+03 2.395460e+00
2.339810e+03 2.489467e+00
2.377660e+03 2.587741e+00
2.416110e+03 2.690482e+00
