# material=Nb density=8.57
# Photon Energy [eV]  Attenuation Length [um]
2.843500e+02 4.235682e-02
2.888610e+02 4.206204e-02
2.934440e+02 4.176945e-02
2.980990e+02 4.249286e-02
3.028280e+02 4.361754e-02
3.076320e+02 4.338010e-02
3.125120e+02 4.338831e-02
3.174700e+02 4.361898e-02
3.225070e+02 4.375450e-02
3.276230e+02 4.387899e-02
3.328200e+02 4.415563e-02
3.381000e+02 4.443395e-02
3.434640e+02 4.458800e-02
3.489130e+02 4.418697e-02
3.544480e+02 4.378947e-02
3.562400e+02 4.366286e-02
3.583000e+02 4.288461e-02
3.603800e+02 3.967912e-02
3.624900e+02 3.433283e-02
3.646300e+02 3.679718e-02
3.667800e+02 4.154098e-02
3.689600e+02 4.303155e-02
3.748130e+02 4.175796e-02
3.756700e+02 4.157655e-02
3.779700e+02 3.993569e-02
3.826300e+02 4.440554e-02
3.850100e+02 4.465198e-02
3.874100e+02 4.382856e-02
3.935560e+02 4.445438e-02
3.997990e+02 4.505467e-02
4.061420e+02 4.560947e-02
4.125850e+02 4.647543e-02
4.191300e+02 4.801809e-02
4.257800e+02 4.949910e-02
4.325340e+02 5.050650e-02
4.393960e+02 5.153458e-02
4.463670e+02 5.258366e-02
4.534480e+02 5.365410e-02
4.606420e+02 5.383378e-02
4.617400e+02 5.384656e-02
4.643400e+02 5.352299e-02
4.717060e+02 5.391851e-02
4.759300e+02 5.414404e-02
4.786800e+02 5.442685e-02
4.862740e+02 5.649334e-02
4.939880e+02 5.820051e-02
5.018250e+02 5.952949e-02
5.019400e+02 5.954889e-02
5.050100e+02 6.078676e-02
5.130220e+02 6.162417e-02
5.211600e+02 6.247296e-02
5.294280e+02 6.333352e-02
5.378270e+02 6.486779e-02
5.425600e+02 6.591355e-02
5.473600e+02 6.705766e-02
5.522400e+02 6.858703e-02
5.610010e+02 7.184756e-02
5.635400e+02 7.281123e-02
5.713900e+02 7.671807e-02
5.804550e+02 7.867240e-02
5.896630e+02 8.067634e-02
5.990180e+02 8.273175e-02
6.085210e+02 8.483926e-02
6.181740e+02 8.700006e-02
6.279810e+02 8.921662e-02
6.379440e+02 9.176458e-02
6.480640e+02 9.462407e-02
6.583450e+02 9.757296e-02
6.687900e+02 1.006132e-01
6.793990e+02 1.037487e-01
6.901780e+02 1.069813e-01
7.011270e+02 1.103152e-01
7.122500e+02 1.137528e-01
7.235490e+02 1.172975e-01
7.350270e+02 1.209522e-01
7.466880e+02 1.247217e-01
7.585340e+02 1.286082e-01
7.705670e+02 1.326156e-01
7.827920e+02 1.367485e-01
7.952100e+02 1.410264e-01
8.078260e+02 1.458512e-01
8.206410e+02 1.508416e-01
8.336600e+02 1.560027e-01
8.468850e+02 1.613393e-01
8.603210e+02 1.668592e-01
8.739690e+02 1.725683e-01
8.878340e+02 1.784727e-01
9.019190e+02 1.848435e-01
9.162270e+02 1.917370e-01
9.307620e+02 1.991465e-01
9.455280e+02 2.088538e-01
9.605280e+02 2.166968e-01
9.757660e+02 2.247056e-01
9.912460e+02 2.330110e-01
1.006970e+03 2.416237e-01
1.022950e+03 2.505572e-01
1.039170e+03 2.598163e-01
1.055660e+03 2.694196e-01
1.072410e+03 2.793795e-01
1.089420e+03 2.897052e-01
1.106700e+03 3.004127e-01
1.124260e+03 3.115179e-01
1.142100e+03 3.230333e-01
1.160210e+03 3.349709e-01
1.178620e+03 3.473534e-01
1.197320e+03 3.601932e-01
