# material=Ce density=6.689
# Photon Energy [eV]  Attenuation Length [um]
5.054210e+03 5.518423e+00
5.135960e+03 5.757388e+00
5.219030e+03 6.007508e+00
5.303440e+03 6.269461e+00
5.389220e+03 6.543494e+00
5.476390e+03 6.830603e+00
5.564970e+03 7.131186e+00
5.654980e+03 7.446167e+00
5.723300e+03 7.690986e+00
5.723500e+03 2.554385e+00
5.746440e+03 2.583710e+00
5.839390e+03 2.704703e+00
5.933830e+03 2.831300e+00
6.029810e+03 2.963829e+00
6.127330e+03 3.102582e+00
6.164100e+03 3.155961e+00
6.164300e+03 2.291235e+00
6.226440e+03 2.353985e+00
6.327150e+03 2.457938e+00
6.429480e+03 2.566551e+00
6.533480e+03 2.679887e+00
6.548700e+03 2.696752e+00
6.548900e+03 2.390686e+00
6.639150e+03 2.470538e+00
6.746540e+03 2.567542e+00
6.855650e+03 2.668912e+00
6.966540e+03 2.774974e+00
7.079220e+03 2.885832e+00
7.193720e+03 3.001729e+00
7.310070e+03 3.122868e+00
7.428310e+03 3.249541e+00
7.548450e+03 3.381955e+00
7.670540e+03 3.520431e+00
7.794610e+03 3.665200e+00
7.920680e+03 3.816558e+00
8.048790e+03 3.974782e+00
8.178980e+03 4.140229e+00
8.311260e+03 4.313220e+00
8.445690e+03 4.494093e+00
8.582290e+03 4.683167e+00
8.721110e+03 4.880947e+00
8.862160e+03 5.087705e+00
9.005500e+03 5.303831e+00
9.151160e+03 5.529972e+00
9.299170e+03 5.766301e+00
9.449580e+03 6.013529e+00
9.602420e+03 6.271941e+00
9.757730e+03 6.542403e+00
9.915550e+03 6.825108e+00
1.007590e+04 7.120747e+00
1.023890e+04 7.429955e+00
1.040450e+04 7.753320e+00
1.057280e+04 8.091523e+00
1.074380e+04 8.445221e+00
1.091760e+04 8.815177e+00
1.109420e+04 9.202092e+00
1.127360e+04 9.606741e+00
1.145590e+04 1.002995e+01
1.164120e+04 1.047266e+01
1.182950e+04 1.093572e+01
1.202080e+04 1.142000e+01
1.221530e+04 1.192668e+01
1.241280e+04 1.245650e+01
1.261360e+04 1.301082e+01
1.281760e+04 1.359055e+01
1.302500e+04 1.419711e+01
1.323560e+04 1.483137e+01
1.344970e+04 1.549494e+01
1.366720e+04 1.618901e+01
1.388830e+04 1.691507e+01
1.411290e+04 1.767451e+01
1.434120e+04 1.846899e+01
1.457310e+04 1.929989e+01
1.480890e+04 2.016926e+01
1.504840e+04 2.107851e+01
1.529180e+04 2.202960e+01
1.553910e+04 2.302440e+01
1.579040e+04 2.406500e+01
1.604580e+04 2.515348e+01
1.630540e+04 2.629220e+01
1.656910e+04 2.748302e+01
1.683710e+04 2.872869e+01
1.710940e+04 3.003154e+01
1.738610e+04 3.139429e+01
1.766740e+04 3.281977e+01
1.795310e+04 3.431041e+01
1.824350e+04 3.586958e+01
1.853860e+04 3.750024e+01
1.883840e+04 3.920547e+01
1.914310e+04 4.098894e+01
1.945270e+04 4.285387e+01
1.976740e+04 4.480446e+01
2.008710e+04 4.684404e+01
2.041200e+04 4.897679e+01
2.074210e+04 5.120657e+01
2.107760e+04 5.353845e+01
2.141850e+04 5.597646e+01
2.176500e+04 5.852591e+01
2.211700e+04 6.119093e+01
2.247470e+04 6.397696e+01
2.283820e+04 6.688944e+01
2.320760e+04 6.993448e+01
2.358300e+04 7.311728e+01
2.396440e+04 7.644374e+01
2.435200e+04 7.992075e+01
2.474590e+04 8.355468e+01
2.514620e+04 8.735278e+01
2.555290e+04 9.132105e+01
2.596620e+04 9.546841e+01
2.638610e+04 9.980151e+01
2.681290e+04 1.043291e+02
2.724660e+04 1.090590e+02
2.768730e+04 1.140001e+02
2.813510e+04 1.191616e+02
2.859020e+04 1.245533e+02
2.905260e+04 1.301840e+02
2.952250e+04 1.360645e+02
3.000000e+04 1.422058e+02
