# material=Tl density=11.85
# Photon Energy [eV]  Attenuation Length [um]
4.591740e+01 1.006086e-02
4.666000e+01 1.007015e-02
4.741470e+01 1.007943e-02
4.818160e+01 1.008873e-02
4.896090e+01 1.009802e-02
4.975280e+01 1.010734e-02
5.055760e+01 1.015248e-02
5.137530e+01 1.021802e-02
5.220620e+01 1.028392e-02
5.305060e+01 1.035027e-02
5.390870e+01 1.041707e-02
5.478060e+01 1.048428e-02
5.566670e+01 1.058133e-02
5.656700e+01 1.068744e-02
5.748200e+01 1.079468e-02
5.841170e+01 1.090293e-02
5.935640e+01 1.101226e-02
6.031650e+01 1.112272e-02
6.129210e+01 1.123429e-02
6.228340e+01 1.134693e-02
6.329080e+01 1.146072e-02
6.431450e+01 1.178527e-02
6.535470e+01 1.214248e-02
6.641180e+01 1.251060e-02
6.748590e+01 1.288984e-02
6.857750e+01 1.328060e-02
6.968670e+01 1.368321e-02
7.081380e+01 1.409795e-02
7.195910e+01 1.452535e-02
7.312300e+01 1.496562e-02
7.430570e+01 1.541934e-02
7.550760e+01 1.588672e-02
7.672890e+01 1.645692e-02
7.796990e+01 1.712189e-02
7.923100e+01 1.781370e-02
8.051250e+01 1.853349e-02
8.181470e+01 1.928234e-02
8.313800e+01 2.005965e-02
8.448270e+01 2.084211e-02
8.584910e+01 2.165521e-02
8.723770e+01 2.249997e-02
8.864870e+01 2.337758e-02
9.008250e+01 2.428953e-02
9.153950e+01 2.528010e-02
9.302010e+01 2.638335e-02
9.452460e+01 2.753469e-02
9.605350e+01 2.873632e-02
9.760710e+01 2.999048e-02
9.918580e+01 3.129934e-02
1.007900e+02 3.266542e-02
1.024200e+02 3.437948e-02
1.040770e+02 3.620627e-02
1.057600e+02 3.812996e-02
1.074710e+02 4.015582e-02
1.092090e+02 4.228945e-02
1.109750e+02 4.453601e-02
1.127700e+02 4.690231e-02
1.145940e+02 4.984749e-02
1.164480e+02 5.312811e-02
1.183310e+02 5.662425e-02
1.202450e+02 6.035084e-02
1.221900e+02 6.432254e-02
1.241660e+02 6.799635e-02
1.261750e+02 7.112444e-02
1.282150e+02 7.439560e-02
1.302890e+02 7.781783e-02
1.323970e+02 8.139755e-02
1.345380e+02 8.514149e-02
1.367140e+02 8.925235e-02
1.389250e+02 9.369683e-02
1.411720e+02 9.836248e-02
1.434560e+02 1.032612e-01
1.457760e+02 1.084030e-01
1.481340e+02 1.137356e-01
1.505300e+02 1.193191e-01
1.529640e+02 1.251765e-01
1.554390e+02 1.313225e-01
1.579530e+02 1.357522e-01
1.605070e+02 1.399807e-01
1.631030e+02 1.443421e-01
1.657420e+02 1.488397e-01
1.684220e+02 1.492707e-01
1.711460e+02 1.492566e-01
1.739150e+02 1.492435e-01
1.767270e+02 1.473891e-01
1.795860e+02 1.447258e-01
1.824910e+02 1.421103e-01
1.854420e+02 1.381755e-01
1.884420e+02 1.329629e-01
1.914890e+02 1.279462e-01
1.945870e+02 1.236933e-01
1.977340e+02 1.198949e-01
2.009320e+02 1.162129e-01
2.041820e+02 1.126445e-01
2.074850e+02 1.091685e-01
2.108400e+02 1.057828e-01
2.142510e+02 1.025031e-01
2.177160e+02 9.932443e-02
2.212370e+02 9.624453e-02
2.248160e+02 9.334759e-02
2.284520e+02 9.066845e-02
2.321470e+02 8.806563e-02
2.359020e+02 8.553799e-02
2.397170e+02 8.308239e-02
2.435950e+02 8.069794e-02
2.475350e+02 7.838136e-02
2.515380e+02 7.651423e-02
2.556070e+02 7.469847e-02
2.597410e+02 7.292565e-02
2.639420e+02 7.119463e-02
2.682110e+02 6.950515e-02
2.725490e+02 6.805619e-02
2.769570e+02 6.703409e-02
2.814370e+02 6.602773e-02
2.859890e+02 6.503630e-02
2.906150e+02 6.405989e-02
2.953150e+02 6.309821e-02
3.000920e+02 6.215065e-02
3.049450e+02 6.149609e-02
3.098780e+02 6.088144e-02
3.148900e+02 6.027250e-02
3.199830e+02 5.966988e-02
3.251580e+02 5.907312e-02
3.304180e+02 5.850141e-02
3.357620e+02 5.837414e-02
3.411920e+02 5.824690e-02
3.467110e+02 5.812031e-02
3.523190e+02 5.799376e-02
3.580170e+02 5.786753e-02
