# material=Au density=19.3
# Photon Energy [eV]  Attenuation Length [um]
2.929110e+03 2.317397e-01
2.976480e+03 2.402406e-01
3.024630e+03 2.486325e-01
3.073550e+03 2.570112e-01
3.123260e+03 2.662660e-01
3.173780e+03 2.679889e-01
3.225110e+03 2.706777e-01
3.277270e+03 2.805951e-01
3.330280e+03 2.905036e-01
3.384150e+03 3.009572e-01
3.438880e+03 3.076883e-01
3.494500e+03 3.142997e-01
3.551020e+03 3.283704e-01
3.608460e+03 3.415305e-01
3.666820e+03 3.547587e-01
3.726130e+03 3.683374e-01
3.786400e+03 3.822045e-01
3.847640e+03 3.973803e-01
3.909870e+03 4.132091e-01
3.973110e+03 4.295607e-01
4.037380e+03 4.465363e-01
4.102680e+03 4.648911e-01
4.169030e+03 4.833049e-01
4.236460e+03 5.070355e-01
4.304980e+03 5.227118e-01
4.374620e+03 5.440427e-01
4.445370e+03 5.650278e-01
4.517270e+03 5.879086e-01
4.590330e+03 6.114208e-01
4.664580e+03 6.361955e-01
4.740030e+03 6.618963e-01
4.816690e+03 6.885503e-01
4.894600e+03 7.155976e-01
4.973770e+03 7.440004e-01
5.054210e+03 7.717651e-01
5.135960e+03 8.014501e-01
5.219030e+03 8.347255e-01
5.303440e+03 8.599194e-01
5.389220e+03 8.991542e-01
5.476390e+03 9.362869e-01
5.564970e+03 9.748940e-01
5.654980e+03 1.014643e+00
5.746440e+03 1.055607e+00
5.839390e+03 1.095941e+00
5.933830e+03 1.146310e+00
6.029810e+03 1.189032e+00
6.127330e+03 1.240042e+00
6.226440e+03 1.293064e+00
6.327150e+03 1.347960e+00
6.429480e+03 1.405251e+00
6.533480e+03 1.465096e+00
6.639150e+03 1.527563e+00
6.746540e+03 1.592800e+00
6.855650e+03 1.660872e+00
6.966540e+03 1.731959e+00
7.079220e+03 1.806169e+00
7.193720e+03 1.883689e+00
7.310070e+03 1.964562e+00
7.428310e+03 2.048934e+00
7.548450e+03 2.137010e+00
7.670540e+03 2.229016e+00
7.794610e+03 2.324990e+00
7.920680e+03 2.425107e+00
8.048790e+03 2.529560e+00
8.178980e+03 2.638556e+00
8.311260e+03 2.752287e+00
8.445690e+03 2.870996e+00
8.582290e+03 2.994816e+00
8.721110e+03 3.123949e+00
8.862160e+03 3.258569e+00
9.005500e+03 3.398898e+00
9.151160e+03 3.545256e+00
9.299170e+03 3.697858e+00
9.449580e+03 3.857016e+00
9.602420e+03 4.022970e+00
9.757730e+03 4.195944e+00
9.915550e+03 4.376226e+00
1.007590e+04 4.563981e+00
1.023890e+04 4.759617e+00
1.040450e+04 4.963413e+00
1.057280e+04 5.175690e+00
1.074380e+04 5.396763e+00
1.091760e+04 5.626985e+00
1.109420e+04 5.866669e+00
1.127360e+04 6.116152e+00
1.145590e+04 6.375820e+00
1.164120e+04 6.646076e+00
1.182950e+04 6.927264e+00
1.191860e+04 7.062799e+00
1.191880e+04 2.831844e+00
1.202080e+04 2.898300e+00
1.221530e+04 3.027647e+00
1.241280e+04 3.162732e+00
1.261360e+04 3.303875e+00
1.281760e+04 3.451296e+00
1.302500e+04 3.605330e+00
1.323560e+04 3.766186e+00
1.344970e+04 3.934244e+00
1.366720e+04 4.109789e+00
1.373350e+04 4.164242e+00
1.373370e+04 2.985545e+00
1.388830e+04 3.076006e+00
1.411290e+04 3.210483e+00
1.434120e+04 3.350865e+00
1.435270e+04 3.358048e+00
1.435290e+04 2.921571e+00
1.457310e+04 3.033506e+00
1.480890e+04 3.156137e+00
1.504840e+04 3.284209e+00
1.529180e+04 3.418039e+00
1.553910e+04 3.557850e+00
1.579040e+04 3.703962e+00
1.604580e+04 3.856602e+00
1.630540e+04 4.016128e+00
1.656910e+04 4.182780e+00
1.683710e+04 4.356925e+00
1.710940e+04 4.538881e+00
1.738610e+04 4.729005e+00
1.766740e+04 4.927717e+00
1.795310e+04 5.135312e+00
1.824350e+04 5.352263e+00
1.853860e+04 5.578978e+00
1.883840e+04 5.815871e+00
1.914310e+04 6.063437e+00
1.945270e+04 6.322146e+00
1.976740e+04 6.592544e+00
2.008710e+04 6.875090e+00
2.041200e+04 7.170381e+00
2.074210e+04 7.478969e+00
2.107760e+04 7.801503e+00
2.141850e+04 8.138561e+00
2.176500e+04 8.490883e+00
2.211700e+04 8.859060e+00
2.247470e+04 9.243849e+00
2.283820e+04 9.646051e+00
2.320760e+04 1.006640e+01
2.358300e+04 1.050580e+01
2.396440e+04 1.096499e+01
2.435200e+04 1.144498e+01
2.474590e+04 1.194667e+01
2.514620e+04 1.247107e+01
2.555290e+04 1.301913e+01
2.596620e+04 1.359203e+01
2.638610e+04 1.419080e+01
2.681290e+04 1.481672e+01
2.724660e+04 1.547097e+01
2.768730e+04 1.615480e+01
2.813510e+04 1.686963e+01
2.859020e+04 1.761680e+01
2.905260e+04 1.839777e+01
2.952250e+04 1.921414e+01
3.000000e+04 2.006742e+01
