# material=As density=5.727
# Photon Energy [eV]  Attenuation Length [um]
3.225110e+03 1.989584e+00
3.277270e+03 2.076337e+00
3.330280e+03 2.167010e+00
3.384150e+03 2.261749e+00
3.438880e+03 2.360714e+00
3.494500e+03 2.464135e+00
3.551020e+03 2.572204e+00
3.608460e+03 2.685158e+00
3.666820e+03 2.803149e+00
3.726130e+03 2.926429e+00
3.786400e+03 3.055319e+00
3.847640e+03 3.189957e+00
3.909870e+03 3.330665e+00
3.973110e+03 3.477734e+00
4.037380e+03 3.631399e+00
4.102680e+03 3.791986e+00
4.169030e+03 3.959770e+00
4.236460e+03 4.135142e+00
4.304980e+03 4.318465e+00
4.374620e+03 4.510040e+00
4.445370e+03 4.710220e+00
4.517270e+03 4.919431e+00
4.590330e+03 5.138070e+00
4.664580e+03 5.366598e+00
4.740030e+03 5.605587e+00
4.816690e+03 5.855209e+00
4.894600e+03 6.116101e+00
4.973770e+03 6.388850e+00
5.054210e+03 6.673810e+00
5.135960e+03 6.971745e+00
5.219030e+03 7.283167e+00
5.303440e+03 7.608896e+00
5.389220e+03 7.949138e+00
5.476390e+03 8.304708e+00
5.564970e+03 8.676553e+00
5.654980e+03 9.065445e+00
5.746440e+03 9.471754e+00
5.839390e+03 9.896494e+00
5.933830e+03 1.034055e+01
6.029810e+03 1.080507e+01
6.127330e+03 1.128983e+01
6.226440e+03 1.179736e+01
6.327150e+03 1.232786e+01
6.429480e+03 1.288240e+01
6.533480e+03 1.346284e+01
6.639150e+03 1.406936e+01
6.746540e+03 1.470345e+01
6.855650e+03 1.536665e+01
6.966540e+03 1.605948e+01
7.079220e+03 1.678523e+01
7.193720e+03 1.754348e+01
7.310070e+03 1.833686e+01
7.428310e+03 1.916637e+01
7.548450e+03 2.003403e+01
7.670540e+03 2.094178e+01
7.794610e+03 2.189108e+01
7.920680e+03 2.288416e+01
8.048790e+03 2.392327e+01
8.178980e+03 2.501036e+01
8.311260e+03 2.614724e+01
8.445690e+03 2.733697e+01
8.582290e+03 2.858260e+01
8.721110e+03 2.988553e+01
8.862160e+03 3.124905e+01
9.005500e+03 3.267591e+01
9.151160e+03 3.416965e+01
9.299170e+03 3.573319e+01
9.449580e+03 3.737045e+01
9.602420e+03 3.908385e+01
9.757730e+03 4.087816e+01
9.915550e+03 4.275621e+01
1.007590e+04 4.472359e+01
1.023890e+04 4.678436e+01
