# material=Al density=2.7
# Photon Energy [eV]  Attenuation Length [um]
1.100720e+03 4.046282e+00
1.118520e+03 4.229584e+00
1.136610e+03 4.421160e+00
1.155000e+03 4.621477e+00
1.173680e+03 4.830857e+00
1.192660e+03 5.049687e+00
1.211950e+03 5.278452e+00
1.231550e+03 5.517568e+00
1.251470e+03 5.765877e+00
1.271720e+03 6.023493e+00
1.292290e+03 6.290138e+00
1.313190e+03 6.568627e+00
1.334430e+03 6.859461e+00
1.356010e+03 7.163149e+00
1.377940e+03 7.480263e+00
1.400230e+03 7.811436e+00
1.422880e+03 8.157202e+00
1.445890e+03 8.518319e+00
1.469280e+03 8.898804e+00
1.493040e+03 9.301592e+00
1.517190e+03 9.746259e+00
1.541730e+03 1.021564e+01
1.559500e+03 1.056466e+01
1.559700e+03 8.890281e-01
1.566670e+03 8.984439e-01
1.592010e+03 9.331690e-01
1.617760e+03 9.692312e-01
1.643920e+03 1.006669e+00
1.670510e+03 1.045569e+00
1.697530e+03 1.085971e+00
1.724990e+03 1.127940e+00
1.752890e+03 1.172945e+00
1.781240e+03 1.220257e+00
1.810050e+03 1.269882e+00
1.839320e+03 1.321522e+00
1.869070e+03 1.375268e+00
1.899300e+03 1.431209e+00
1.930020e+03 1.489411e+00
1.961240e+03 1.549980e+00
1.992960e+03 1.613011e+00
2.025200e+03 1.677530e+00
2.057950e+03 1.747301e+00
2.091240e+03 1.820450e+00
2.125060e+03 1.896952e+00
2.159430e+03 1.976900e+00
2.194360e+03 2.060704e+00
2.229850e+03 2.148257e+00
2.265920e+03 2.239918e+00
2.302570e+03 2.335788e+00
2.339810e+03 2.436064e+00
2.377660e+03 2.541100e+00
2.416110e+03 2.650898e+00
2.455190e+03 2.765781e+00
2.494900e+03 2.886170e+00
2.535260e+03 3.012078e+00
2.576260e+03 3.143818e+00
2.617930e+03 3.281665e+00
2.660270e+03 3.426011e+00
2.703300e+03 3.576981e+00
2.747030e+03 3.735220e+00
2.791460e+03 3.900739e+00
2.836610e+03 4.073984e+00
2.882490e+03 4.255379e+00
2.929110e+03 4.445268e+00
2.976480e+03 4.644092e+00
3.024630e+03 4.852188e+00
3.073550e+03 5.070133e+00
3.123260e+03 5.298320e+00
3.173780e+03 5.537217e+00
3.225110e+03 5.787361e+00
3.277270e+03 6.049267e+00
3.330280e+03 6.323716e+00
3.384150e+03 6.611021e+00
3.438880e+03 6.911821e+00
3.494500e+03 7.226863e+00
3.551020e+03 7.556973e+00
3.608460e+03 7.902642e+00
3.666820e+03 8.264667e+00
3.726130e+03 8.643974e+00
3.786400e+03 9.041225e+00
3.847640e+03 9.457278e+00
3.909870e+03 9.893177e+00
3.973110e+03 1.034972e+01
4.037380e+03 1.082831e+01
4.102680e+03 1.132949e+01
4.169030e+03 1.185462e+01
4.236460e+03 1.240476e+01
4.304980e+03 1.298111e+01
4.374620e+03 1.358528e+01
4.445370e+03 1.421807e+01
4.517270e+03 1.488121e+01
4.590330e+03 1.557649e+01
4.664580e+03 1.630465e+01
4.740030e+03 1.706788e+01
4.816690e+03 1.786789e+01
4.894600e+03 1.870585e+01
4.973770e+03 1.958466e+01
5.054210e+03 2.050537e+01
5.135960e+03 2.147020e+01
5.219030e+03 2.248238e+01
