# material=P density=1.823
# Photon Energy [eV]  Attenuation Length [um]
9.681240e+02 2.543262e+00
9.837830e+02 2.655121e+00
9.996950e+02 2.771863e+00
1.015860e+03 2.893665e+00
1.032290e+03 3.020678e+00
1.048990e+03 3.154358e+00
1.065960e+03 3.295157e+00
1.083200e+03 3.442245e+00
1.100720e+03 3.595843e+00
1.118520e+03 3.756228e+00
1.136610e+03 3.923894e+00
1.155000e+03 4.099043e+00
1.173680e+03 4.281898e+00
1.192660e+03 4.473039e+00
1.211950e+03 4.672732e+00
1.231550e+03 4.881427e+00
1.251470e+03 5.098904e+00
1.271720e+03 5.325703e+00
1.292290e+03 5.562063e+00
1.313190e+03 5.808876e+00
1.334430e+03 6.066644e+00
1.356010e+03 6.335845e+00
1.377940e+03 6.616962e+00
1.400230e+03 6.910586e+00
1.422880e+03 7.217227e+00
1.445890e+03 7.537464e+00
1.469280e+03 7.871362e+00
1.493040e+03 8.219104e+00
1.517190e+03 8.577929e+00
1.541730e+03 8.951806e+00
1.566670e+03 9.342089e+00
1.592010e+03 9.749221e+00
1.617760e+03 1.017413e+01
1.643920e+03 1.061759e+01
1.670510e+03 1.108046e+01
1.697530e+03 1.156345e+01
1.724990e+03 1.206745e+01
1.752890e+03 1.260519e+01
1.781240e+03 1.317103e+01
1.810050e+03 1.376551e+01
1.839320e+03 1.438691e+01
1.869070e+03 1.503648e+01
1.899300e+03 1.571529e+01
1.930020e+03 1.642485e+01
1.961240e+03 1.716640e+01
1.992960e+03 1.794121e+01
2.025200e+03 1.873917e+01
2.057950e+03 1.960220e+01
2.091240e+03 2.051106e+01
2.125060e+03 2.146670e+01
2.145400e+03 2.205500e+01
2.145600e+03 2.051504e+00
2.159430e+03 2.083352e+00
2.194360e+03 2.165038e+00
2.229850e+03 2.250459e+00
2.265920e+03 2.339768e+00
2.302570e+03 2.433123e+00
2.339810e+03 2.530807e+00
2.377660e+03 2.633027e+00
2.416110e+03 2.739857e+00
2.455190e+03 2.851649e+00
2.494900e+03 2.968572e+00
2.535260e+03 3.090865e+00
2.576260e+03 3.218698e+00
2.617930e+03 3.352493e+00
2.660270e+03 3.492219e+00
2.703300e+03 3.638711e+00
2.747030e+03 3.791822e+00
2.791460e+03 3.952008e+00
2.836610e+03 4.119540e+00
2.882490e+03 4.294767e+00
2.929110e+03 4.478271e+00
2.976480e+03 4.670058e+00
3.024630e+03 4.870712e+00
3.073550e+03 5.080406e+00
3.123260e+03 5.300272e+00
3.173780e+03 5.530329e+00
3.225110e+03 5.770845e+00
