# material=Pa density=15.37
# Photon Energy [eV]  Attenuation Length [um]
2.125060e+03 3.617559e-01
2.159430e+03 3.746049e-01
2.194360e+03 3.879882e-01
2.229850e+03 4.019246e-01
2.265920e+03 4.164363e-01
2.302570e+03 4.315377e-01
2.339810e+03 4.472390e-01
2.377660e+03 4.636180e-01
2.416110e+03 4.806659e-01
2.455190e+03 4.984311e-01
2.494900e+03 5.169247e-01
2.535260e+03 5.362194e-01
2.576260e+03 5.563077e-01
2.617930e+03 5.772432e-01
2.660270e+03 5.990742e-01
2.703300e+03 6.218541e-01
2.747030e+03 6.456000e-01
2.791460e+03 6.703760e-01
2.836610e+03 6.962061e-01
2.882490e+03 7.231782e-01
2.929110e+03 7.513226e-01
2.976480e+03 7.807002e-01
3.024630e+03 8.113691e-01
3.073550e+03 8.434109e-01
3.123260e+03 8.769038e-01
3.173780e+03 9.118878e-01
3.225110e+03 9.484385e-01
3.277270e+03 9.866763e-01
3.330280e+03 1.026692e+00
3.384150e+03 1.068559e+00
3.438880e+03 1.112237e+00
3.441700e+03 1.114522e+00
3.441900e+03 4.466583e-01
3.494500e+03 4.650278e-01
3.551020e+03 4.852818e-01
3.608460e+03 5.064025e-01
3.611100e+03 5.073869e-01
3.611300e+03 3.305686e-01
3.666820e+03 3.442482e-01
3.726130e+03 3.592438e-01
3.786400e+03 3.748792e-01
3.847640e+03 3.911706e-01
3.909870e+03 4.081457e-01
3.973110e+03 4.258350e-01
4.037380e+03 4.442795e-01
4.102680e+03 4.634770e-01
4.169030e+03 4.834642e-01
4.173700e+03 4.848904e-01
4.173900e+03 4.403893e-01
4.236460e+03 4.568625e-01
4.304980e+03 4.753197e-01
4.374620e+03 4.945404e-01
4.445370e+03 5.145013e-01
4.517270e+03 5.352877e-01
4.590330e+03 5.568841e-01
4.664580e+03 5.793361e-01
4.740030e+03 6.026965e-01
4.816690e+03 6.269929e-01
4.894600e+03 6.522927e-01
4.973770e+03 6.786034e-01
5.000800e+03 6.877287e-01
5.001000e+03 6.523183e-01
5.054210e+03 6.690879e-01
5.135960e+03 6.953354e-01
5.219030e+03 7.226090e-01
5.303440e+03 7.509571e-01
5.366800e+03 7.726547e-01
5.367000e+03 7.449907e-01
5.389220e+03 7.524081e-01
