# material=Tb density=8.219
# Photon Energy [eV]  Attenuation Length [um]
2.074210e+04 3.073294e+01
2.107760e+04 3.211213e+01
2.141850e+04 3.355421e+01
2.176500e+04 3.506217e+01
2.211700e+04 3.663869e+01
2.247470e+04 3.828718e+01
2.283820e+04 4.001077e+01
2.320760e+04 4.181306e+01
2.358300e+04 4.369750e+01
2.396440e+04 4.566765e+01
2.435200e+04 4.772788e+01
2.474590e+04 4.988197e+01
2.514620e+04 5.213427e+01
2.555290e+04 5.448918e+01
2.596620e+04 5.695121e+01
2.638610e+04 5.952546e+01
2.681290e+04 6.221716e+01
2.724660e+04 6.503133e+01
2.768730e+04 6.797385e+01
2.813510e+04 7.105020e+01
2.859020e+04 7.426674e+01
2.905260e+04 7.762962e+01
2.952250e+04 8.114541e+01
3.000000e+04 8.482117e+01
