# material=Cs density=1.879
# Photon Energy [eV]  Attenuation Length [um]
8.934910e+02 5.493121e-01
9.079430e+02 5.689558e-01
9.226280e+02 5.875750e-01
9.375510e+02 6.068061e-01
9.527150e+02 6.024448e-01
9.681240e+02 5.966165e-01
9.837830e+02 5.908474e-01
9.996950e+02 5.851313e-01
1.015860e+03 5.794714e-01
1.032290e+03 5.997072e-01
1.048990e+03 6.217633e-01
1.065960e+03 6.446287e-01
1.083200e+03 6.665850e-01
1.100720e+03 6.848483e-01
1.118520e+03 7.036115e-01
1.136610e+03 7.228880e-01
1.155000e+03 7.426971e-01
1.173680e+03 7.667081e-01
1.192660e+03 7.925046e-01
1.211950e+03 8.191696e-01
1.231550e+03 8.467280e-01
1.251470e+03 8.752194e-01
1.271720e+03 9.046745e-01
1.292290e+03 9.335226e-01
1.313190e+03 9.622170e-01
1.334430e+03 9.917925e-01
1.356010e+03 1.022278e+00
1.377940e+03 1.053697e+00
1.400230e+03 1.086089e+00
1.422880e+03 1.119475e+00
1.445890e+03 1.154295e+00
1.469280e+03 1.190393e+00
1.493040e+03 1.227614e+00
1.517190e+03 1.265999e+00
1.541730e+03 1.305590e+00
1.566670e+03 1.346415e+00
1.592010e+03 1.392014e+00
1.617760e+03 1.444372e+00
1.643920e+03 1.498622e+00
1.670510e+03 1.554907e+00
1.697530e+03 1.613300e+00
1.724990e+03 1.673904e+00
1.752890e+03 1.737838e+00
1.781240e+03 1.804603e+00
1.810050e+03 1.874267e+00
1.839320e+03 1.946582e+00
1.869070e+03 2.021702e+00
1.899300e+03 2.099747e+00
1.930020e+03 2.180799e+00
1.961240e+03 2.264965e+00
1.992960e+03 2.352313e+00
2.025200e+03 2.442050e+00
2.057950e+03 2.537238e+00
2.091240e+03 2.636390e+00
2.125060e+03 2.739684e+00
2.159430e+03 2.847127e+00
2.194360e+03 2.959028e+00
2.229850e+03 3.075526e+00
2.265920e+03 3.196728e+00
2.302570e+03 3.323041e+00
2.339810e+03 3.454495e+00
2.377660e+03 3.591190e+00
2.416110e+03 3.733744e+00
2.455190e+03 3.882079e+00
2.494900e+03 4.036645e+00
2.535260e+03 4.197418e+00
2.576260e+03 4.364891e+00
2.617930e+03 4.539272e+00
2.660270e+03 4.721108e+00
2.703300e+03 4.910245e+00
2.747030e+03 5.107145e+00
2.791460e+03 5.312296e+00
2.836610e+03 5.526051e+00
2.882490e+03 5.748622e+00
2.929110e+03 5.980467e+00
2.976480e+03 6.221944e+00
3.024630e+03 6.473561e+00
3.073550e+03 6.735591e+00
3.123260e+03 7.008649e+00
3.173780e+03 7.293126e+00
3.225110e+03 7.589476e+00
3.277270e+03 7.898334e+00
3.330280e+03 8.220231e+00
3.384150e+03 8.555614e+00
3.438880e+03 8.905160e+00
3.494500e+03 9.269467e+00
3.551020e+03 9.649171e+00
3.608460e+03 1.004497e+01
3.666820e+03 1.045765e+01
3.726130e+03 1.088766e+01
3.786400e+03 1.133627e+01
3.847640e+03 1.180394e+01
3.909870e+03 1.229170e+01
3.973110e+03 1.280045e+01
4.037380e+03 1.333107e+01
4.102680e+03 1.388443e+01
4.169030e+03 1.446160e+01
4.236460e+03 1.506392e+01
4.304980e+03 1.569234e+01
4.374620e+03 1.634811e+01
4.445370e+03 1.703288e+01
4.517270e+03 1.774715e+01
4.590330e+03 1.849260e+01
4.664580e+03 1.927168e+01
4.740030e+03 2.008477e+01
4.816690e+03 2.093393e+01
4.894600e+03 2.182112e+01
4.973770e+03 2.274761e+01
5.011800e+03 2.320114e+01
5.012000e+03 7.569659e+00
5.054210e+03 7.751958e+00
5.135960e+03 8.113206e+00
5.219030e+03 8.491089e+00
5.303440e+03 8.886637e+00
5.359300e+03 9.154823e+00
5.359500e+03 6.637697e+00
5.389220e+03 6.733295e+00
5.476390e+03 7.018589e+00
5.564970e+03 7.315855e+00
5.654980e+03 7.625814e+00
5.714200e+03 7.834012e+00
5.714400e+03 6.905317e+00
5.746440e+03 6.999741e+00
5.839390e+03 7.278047e+00
5.933830e+03 7.568895e+00
6.029810e+03 7.872823e+00
6.127330e+03 8.190504e+00
6.226440e+03 8.522585e+00
6.327150e+03 8.869529e+00
6.429480e+03 9.232102e+00
6.533480e+03 9.611247e+00
6.639150e+03 1.000755e+01
6.746540e+03 1.042167e+01
6.855650e+03 1.085446e+01
6.966540e+03 1.130684e+01
7.079220e+03 1.177965e+01
7.193720e+03 1.227397e+01
7.310070e+03 1.279058e+01
7.428310e+03 1.333049e+01
7.548450e+03 1.389512e+01
7.670540e+03 1.448511e+01
7.794610e+03 1.510175e+01
7.920680e+03 1.574666e+01
8.048790e+03 1.642095e+01
8.178980e+03 1.712563e+01
8.311260e+03 1.786215e+01
8.445690e+03 1.863236e+01
8.582290e+03 1.943802e+01
8.721110e+03 2.027968e+01
8.862160e+03 2.115982e+01
9.005500e+03 2.207979e+01
9.151160e+03 2.304273e+01
9.299170e+03 2.404842e+01
9.449580e+03 2.510022e+01
9.602420e+03 2.620007e+01
9.757730e+03 2.734974e+01
9.915550e+03 2.855225e+01
1.007590e+04 2.980966e+01
1.023890e+04 3.112465e+01
1.040450e+04 3.249956e+01
1.057280e+04 3.393745e+01
1.074380e+04 3.544097e+01
1.091760e+04 3.701336e+01
1.109420e+04 3.865758e+01
1.127360e+04 4.037693e+01
1.145590e+04 4.217490e+01
1.164120e+04 4.405531e+01
1.182950e+04 4.602188e+01
1.202080e+04 4.807831e+01
1.221530e+04 5.022938e+01
1.241280e+04 5.247833e+01
1.261360e+04 5.483077e+01
1.281760e+04 5.729087e+01
1.302500e+04 5.986404e+01
1.323560e+04 6.255457e+01
1.344970e+04 6.536881e+01
1.366720e+04 6.831166e+01
1.388830e+04 7.138994e+01
1.411290e+04 7.460885e+01
1.434120e+04 7.797587e+01
1.457310e+04 8.149677e+01
1.480890e+04 8.517977e+01
1.504840e+04 8.903091e+01
1.529180e+04 9.305887e+01
1.553910e+04 9.727127e+01
1.579040e+04 1.016771e+02
1.604580e+04 1.062845e+02
1.630540e+04 1.111039e+02
1.656910e+04 1.161437e+02
1.683710e+04 1.214147e+02
1.710940e+04 1.269264e+02
1.738610e+04 1.326909e+02
1.766740e+04 1.387208e+02
1.795310e+04 1.450254e+02
1.824350e+04 1.516193e+02
1.853860e+04 1.585157e+02
1.883840e+04 1.657269e+02
1.914310e+04 1.732681e+02
1.945270e+04 1.811546e+02
1.976740e+04 1.894023e+02
2.008710e+04 1.980272e+02
2.041200e+04 2.070456e+02
2.074210e+04 2.164762e+02
2.107760e+04 2.263396e+02
2.141850e+04 2.366510e+02
2.176500e+04 2.474358e+02
2.211700e+04 2.587114e+02
2.247470e+04 2.705025e+02
2.283820e+04 2.828305e+02
2.320760e+04 2.957215e+02
2.358300e+04 3.092012e+02
2.396440e+04 3.232953e+02
2.435200e+04 3.380307e+02
2.474590e+04 3.534368e+02
2.514620e+04 3.695446e+02
2.555290e+04 3.863855e+02
2.596620e+04 4.039884e+02
2.638610e+04 4.223950e+02
2.681290e+04 4.416394e+02
2.724660e+04 4.617560e+02
2.768730e+04 4.827863e+02
2.813510e+04 5.047701e+02
2.859020e+04 5.277520e+02
2.905260e+04 5.517744e+02
2.952250e+04 5.768862e+02
3.000000e+04 6.031343e+02
