# material=Te density=6.24
# Photon Energy [eV]  Attenuation Length [um]
7.985700e+02 1.422496e-01
8.114860e+02 1.415344e-01
8.246110e+02 1.408228e-01
8.379490e+02 1.401147e-01
8.515020e+02 1.403954e-01
8.652740e+02 1.442321e-01
8.792690e+02 1.481736e-01
8.934910e+02 1.522225e-01
9.079430e+02 1.565708e-01
9.226280e+02 1.611597e-01
9.375510e+02 1.658832e-01
9.527150e+02 1.707452e-01
9.681240e+02 1.746105e-01
9.837830e+02 1.783164e-01
9.996950e+02 1.823274e-01
1.015860e+03 1.868358e-01
1.032290e+03 1.936206e-01
1.048990e+03 2.007180e-01
1.065960e+03 2.081291e-01
1.083200e+03 2.158135e-01
1.100720e+03 2.237815e-01
1.118520e+03 2.320437e-01
1.136610e+03 2.406089e-01
1.155000e+03 2.494939e-01
1.173680e+03 2.587063e-01
1.192660e+03 2.682548e-01
1.211950e+03 2.781579e-01
1.231550e+03 2.884282e-01
1.251470e+03 2.990679e-01
1.271720e+03 3.100938e-01
1.292290e+03 3.215160e-01
1.313190e+03 3.333584e-01
1.334430e+03 3.456368e-01
1.356010e+03 3.583644e-01
1.377940e+03 3.715599e-01
1.400230e+03 3.852447e-01
1.422880e+03 3.994346e-01
1.445890e+03 4.141456e-01
1.469280e+03 4.294620e-01
1.493040e+03 4.454443e-01
1.517190e+03 4.624620e-01
1.541730e+03 4.801922e-01
1.566670e+03 4.985987e-01
1.592010e+03 5.177132e-01
1.617760e+03 5.375626e-01
1.643920e+03 5.581751e-01
1.670510e+03 5.795791e-01
1.697530e+03 6.018006e-01
1.724990e+03 6.248743e-01
1.752890e+03 6.493627e-01
1.781240e+03 6.750039e-01
1.810050e+03 7.018261e-01
1.839320e+03 7.297168e-01
1.869070e+03 7.587212e-01
1.899300e+03 7.888843e-01
1.930020e+03 8.202369e-01
1.961240e+03 8.528300e-01
1.992960e+03 8.867138e-01
2.025200e+03 9.214753e-01
2.057950e+03 9.585821e-01
2.091240e+03 9.972792e-01
2.125060e+03 1.037633e+00
2.159430e+03 1.079652e+00
2.194360e+03 1.123508e+00
2.229850e+03 1.169276e+00
2.265920e+03 1.216949e+00
2.302570e+03 1.266686e+00
2.339810e+03 1.318442e+00
2.377660e+03 1.372490e+00
2.416110e+03 1.428885e+00
2.455190e+03 1.487556e+00
2.494900e+03 1.548870e+00
2.535260e+03 1.612660e+00
2.576260e+03 1.679260e+00
2.617930e+03 1.748665e+00
2.660270e+03 1.821001e+00
2.703300e+03 1.896441e+00
2.747030e+03 1.975092e+00
2.791460e+03 2.057076e+00
2.836610e+03 2.142562e+00
2.882490e+03 2.231669e+00
2.929110e+03 2.324583e+00
2.976480e+03 2.421419e+00
3.024630e+03 2.522393e+00
3.073550e+03 2.627611e+00
3.123260e+03 2.737346e+00
3.173780e+03 2.851727e+00
3.225110e+03 2.970960e+00
3.277270e+03 3.095259e+00
3.330280e+03 3.224843e+00
3.384150e+03 3.359895e+00
3.438880e+03 3.500703e+00
3.494500e+03 3.647423e+00
3.551020e+03 3.800438e+00
3.608460e+03 3.959922e+00
3.666820e+03 4.126128e+00
3.726130e+03 4.299384e+00
3.786400e+03 4.479937e+00
3.847640e+03 4.668156e+00
3.909870e+03 4.864351e+00
3.973110e+03 5.068911e+00
4.037380e+03 5.281995e+00
4.102680e+03 5.504110e+00
4.169030e+03 5.735703e+00
4.236460e+03 5.977116e+00
4.304980e+03 6.228625e+00
4.341300e+03 6.364495e+00
4.341500e+03 1.857091e+00
4.374620e+03 1.893864e+00
4.445370e+03 1.973908e+00
4.517270e+03 2.057305e+00
4.590330e+03 2.144256e+00
4.611900e+03 2.170333e+00
4.612100e+03 1.582407e+00
4.664580e+03 1.629463e+00
4.740030e+03 1.698618e+00
4.816690e+03 1.770695e+00
4.894600e+03 1.845878e+00
4.939100e+03 1.889673e+00
4.939300e+03 1.661149e+00
4.973770e+03 1.689309e+00
5.054210e+03 1.756115e+00
5.135960e+03 1.825932e+00
5.219030e+03 1.898921e+00
5.303440e+03 1.975199e+00
5.389220e+03 2.054930e+00
5.476390e+03 2.138251e+00
5.564970e+03 2.225351e+00
5.654980e+03 2.316356e+00
5.746440e+03 2.411487e+00
5.839390e+03 2.510948e+00
5.933830e+03 2.614864e+00
6.029810e+03 2.723547e+00
6.127330e+03 2.837108e+00
6.226440e+03 2.955831e+00
6.327150e+03 3.079907e+00
6.429480e+03 3.209631e+00
6.533480e+03 3.345241e+00
6.639150e+03 3.486930e+00
6.746540e+03 3.635101e+00
6.855650e+03 3.789933e+00
6.966540e+03 3.951862e+00
7.079220e+03 4.121221e+00
7.193720e+03 4.298258e+00
7.310070e+03 4.483281e+00
7.428310e+03 4.676677e+00
7.548450e+03 4.878943e+00
7.670540e+03 5.090489e+00
7.794610e+03 5.311662e+00
7.920680e+03 5.542712e+00
8.048790e+03 5.784514e+00
8.178980e+03 6.037343e+00
8.311260e+03 6.301521e+00
8.445690e+03 6.578033e+00
8.582290e+03 6.867123e+00
8.721110e+03 7.169127e+00
8.862160e+03 7.485125e+00
9.005500e+03 7.815509e+00
9.151160e+03 8.161102e+00
9.299170e+03 8.522579e+00
9.449580e+03 8.900298e+00
9.602420e+03 9.295406e+00
9.757730e+03 9.708978e+00
9.915550e+03 1.014129e+01
1.007590e+04 1.059328e+01
1.023890e+04 1.106603e+01
1.040450e+04 1.156041e+01
1.057280e+04 1.207749e+01
1.074380e+04 1.261820e+01
1.091760e+04 1.318378e+01
1.109420e+04 1.377526e+01
1.127360e+04 1.439379e+01
1.145590e+04 1.504069e+01
1.164120e+04 1.571729e+01
1.182950e+04 1.642500e+01
1.202080e+04 1.716502e+01
1.221530e+04 1.793917e+01
1.241280e+04 1.874862e+01
1.261360e+04 1.959539e+01
1.281760e+04 2.048089e+01
1.302500e+04 2.140716e+01
1.323560e+04 2.237566e+01
1.344970e+04 2.338872e+01
1.366720e+04 2.444813e+01
1.388830e+04 2.555626e+01
1.411290e+04 2.671502e+01
1.434120e+04 2.792707e+01
1.457310e+04 2.919456e+01
1.480890e+04 3.052025e+01
1.504840e+04 3.190655e+01
1.529180e+04 3.335640e+01
1.553910e+04 3.487264e+01
1.579040e+04 3.645811e+01
1.604580e+04 3.811630e+01
1.630540e+04 3.985076e+01
1.656910e+04 4.166410e+01
1.683710e+04 4.356038e+01
1.710940e+04 4.554343e+01
1.738610e+04 4.761702e+01
1.766740e+04 4.978564e+01
1.795310e+04 5.205287e+01
1.824350e+04 5.442396e+01
1.853860e+04 5.690317e+01
1.883840e+04 5.949531e+01
1.914310e+04 6.220572e+01
1.945270e+04 6.503929e+01
1.976740e+04 6.800277e+01
2.008710e+04 7.110035e+01
2.041200e+04 7.433941e+01
2.074210e+04 7.772548e+01
2.107760e+04 8.126559e+01
2.141850e+04 8.496638e+01
2.176500e+04 8.883562e+01
2.211700e+04 9.287950e+01
2.247470e+04 9.710732e+01
2.283820e+04 1.015269e+02
2.320760e+04 1.061463e+02
2.358300e+04 1.109748e+02
2.396440e+04 1.160210e+02
2.435200e+04 1.212966e+02
2.474590e+04 1.268099e+02
2.514620e+04 1.325723e+02
2.555290e+04 1.385939e+02
2.596620e+04 1.448869e+02
2.638610e+04 1.514630e+02
2.681290e+04 1.583354e+02
2.724660e+04 1.655168e+02
2.768730e+04 1.730202e+02
2.813510e+04 1.808604e+02
2.859020e+04 1.890523e+02
2.905260e+04 1.976107e+02
2.952250e+04 2.065525e+02
3.000000e+04 2.158933e+02
