# material=Cu density=8.92
# Photon Energy [eV]  Attenuation Length [um]
1.344970e+04 1.122013e+01
1.366720e+04 1.171664e+01
1.388830e+04 1.223651e+01
1.411290e+04 1.278067e+01
1.434120e+04 1.335050e+01
1.457310e+04 1.394700e+01
1.480890e+04 1.457169e+01
1.504840e+04 1.522567e+01
1.529180e+04 1.591048e+01
1.553910e+04 1.662754e+01
1.579040e+04 1.737854e+01
1.604580e+04 1.816493e+01
1.630540e+04 1.898869e+01
1.656910e+04 1.985129e+01
1.683710e+04 2.075476e+01
1.710940e+04 2.170097e+01
1.738610e+04 2.269201e+01
1.766740e+04 2.373040e+01
1.795310e+04 2.481788e+01
1.824350e+04 2.595735e+01
1.853860e+04 2.715077e+01
1.883840e+04 2.840088e+01
1.914310e+04 2.971088e+01
1.945270e+04 3.108332e+01
1.976740e+04 3.252115e+01
2.008710e+04 3.402774e+01
2.041200e+04 3.560633e+01
2.074210e+04 3.726032e+01
2.107760e+04 3.899367e+01
2.141850e+04 4.080992e+01
2.176500e+04 4.271347e+01
2.211700e+04 4.470805e+01
2.247470e+04 4.679841e+01
2.283820e+04 4.898927e+01
2.320760e+04 5.128545e+01
2.358300e+04 5.369218e+01
2.396440e+04 5.621455e+01
2.435200e+04 5.885851e+01
2.474590e+04 6.162997e+01
2.514620e+04 6.453518e+01
2.555290e+04 6.758045e+01
2.596620e+04 7.077274e+01
2.638610e+04 7.411918e+01
2.681290e+04 7.762764e+01
2.724660e+04 8.130583e+01
2.768730e+04 8.516213e+01
2.813510e+04 8.920512e+01
2.859020e+04 9.344410e+01
2.905260e+04 9.788861e+01
2.952250e+04 1.025490e+02
3.000000e+04 1.074355e+02
