# material=Lu density=9.841
# Photon Energy [eV]  Attenuation Length [um]
1.766740e+04 1.221905e+01
1.795310e+04 1.274963e+01
1.824350e+04 1.330445e+01
1.853860e+04 1.388452e+01
1.883840e+04 1.449103e+01
1.914310e+04 1.512522e+01
1.945270e+04 1.578833e+01
1.976740e+04 1.648177e+01
2.008710e+04 1.720681e+01
2.041200e+04 1.796499e+01
2.074210e+04 1.875777e+01
2.107760e+04 1.958681e+01
2.141850e+04 2.045369e+01
2.176500e+04 2.136035e+01
2.211700e+04 2.230828e+01
2.247470e+04 2.329962e+01
2.283820e+04 2.433629e+01
2.320760e+04 2.542047e+01
2.358300e+04 2.655422e+01
2.396440e+04 2.773980e+01
2.435200e+04 2.897963e+01
2.474590e+04 3.027632e+01
2.514620e+04 3.163234e+01
2.555290e+04 3.305031e+01
2.596620e+04 3.453324e+01
2.638610e+04 3.608403e+01
2.681290e+04 3.770579e+01
2.724660e+04 3.940194e+01
2.768730e+04 4.117557e+01
2.813510e+04 4.303048e+01
2.859020e+04 4.497020e+01
2.905260e+04 4.699875e+01
2.952250e+04 4.911998e+01
3.000000e+04 5.133831e+01
