# material=Rh density=12.45
# Photon Energy [eV]  Attenuation Length [um]
1.553910e+04 2.646993e+01
1.579040e+04 2.767170e+01
1.604580e+04 2.892866e+01
1.630540e+04 3.024334e+01
1.656910e+04 3.161801e+01
1.683710e+04 3.305591e+01
1.710940e+04 3.455961e+01
1.738610e+04 3.613231e+01
1.766740e+04 3.777753e+01
1.795310e+04 3.949803e+01
1.824350e+04 4.129788e+01
1.853860e+04 4.318060e+01
1.883840e+04 4.514988e+01
1.914310e+04 4.721013e+01
1.945270e+04 4.936537e+01
1.976740e+04 5.162048e+01
2.008710e+04 5.397963e+01
2.041200e+04 5.644809e+01
2.074210e+04 5.903080e+01
2.107760e+04 6.173355e+01
2.141850e+04 6.456169e+01
2.176500e+04 6.752185e+01
2.211700e+04 7.061941e+01
2.247470e+04 7.386141e+01
2.283820e+04 7.725510e+01
2.320760e+04 8.080742e+01
2.321980e+04 8.092651e+01
2.322000e+04 1.245051e+01
2.358300e+04 1.295393e+01
2.396440e+04 1.349604e+01
2.435200e+04 1.406302e+01
2.474590e+04 1.465602e+01
2.514620e+04 1.527624e+01
2.555290e+04 1.592482e+01
2.596620e+04 1.660324e+01
2.638610e+04 1.731280e+01
2.681290e+04 1.805500e+01
2.724660e+04 1.883142e+01
2.768730e+04 1.964355e+01
2.813510e+04 2.049310e+01
2.859020e+04 2.138191e+01
2.905260e+04 2.231160e+01
2.952250e+04 2.328433e+01
3.000000e+04 2.430194e+01
