# material=Pt density=21.09
# Photon Energy [eV]  Attenuation Length [um]
5.610370e+02 4.155566e-02
5.615280e+02 4.147924e-02
5.620290e+02 4.161764e-02
5.635220e+02 4.176787e-02
5.650360e+02 4.194161e-02
5.655300e+02 4.179734e-02
5.660370e+02 4.204573e-02
5.670300e+02 4.218406e-02
5.675280e+02 4.212787e-02
5.680310e+02 4.224052e-02
5.685460e+02 4.220286e-02
5.700340e+02 4.230460e-02
5.720390e+02 4.256665e-02
5.725370e+02 4.251692e-02
5.750210e+02 4.284351e-02
5.760370e+02 4.280864e-02
5.780290e+02 4.301063e-02
5.785420e+02 4.312412e-02
5.790430e+02 4.308491e-02
5.810350e+02 4.334876e-02
5.815360e+02 4.333304e-02
5.830280e+02 4.355983e-02
5.850430e+02 4.360796e-02
5.860430e+02 4.378926e-02
5.865260e+02 4.375277e-02
5.870370e+02 4.388651e-02
5.875360e+02 4.376900e-02
5.890360e+02 4.400871e-02
5.895420e+02 4.400464e-02
5.900410e+02 4.416034e-02
5.930390e+02 4.433793e-02
5.945370e+02 4.452943e-02
5.950260e+02 4.451692e-02
5.990430e+02 4.484523e-02
5.995210e+02 4.496861e-02
6.000370e+02 4.491750e-02
6.015420e+02 4.507129e-02
6.020380e+02 4.501134e-02
6.025440e+02 4.514421e-02
6.040250e+02 4.526489e-02
6.050260e+02 4.527786e-02
6.060300e+02 4.533848e-02
6.065280e+02 4.531236e-02
6.075370e+02 4.539916e-02
6.125290e+02 4.547753e-02
6.140540e+02 4.556936e-02
6.160300e+02 4.563957e-02
6.175540e+02 4.573198e-02
6.180240e+02 4.583813e-02
6.205330e+02 4.609654e-02
6.255370e+02 4.673724e-02
6.270290e+02 4.684808e-02
6.275380e+02 4.695937e-02
6.310420e+02 4.725424e-02
6.315370e+02 4.735809e-02
6.320330e+02 4.733441e-02
6.399480e+02 4.812854e-02
6.415430e+02 4.828897e-02
6.420340e+02 4.826676e-02
6.500740e+02 4.919541e-02
6.505320e+02 4.924838e-02
6.510210e+02 4.936939e-02
6.590490e+02 5.019899e-02
6.605450e+02 5.030073e-02
6.640370e+02 5.070788e-02
6.645520e+02 5.070247e-02
6.655330e+02 5.086736e-02
6.670410e+02 5.101011e-02
6.680300e+02 5.117743e-02
6.763960e+02 5.211622e-02
6.800500e+02 5.252793e-02
6.825210e+02 5.282702e-02
6.835380e+02 5.290014e-02
6.920980e+02 5.386128e-02
6.935510e+02 5.402485e-02
6.950360e+02 5.421334e-02
6.955510e+02 5.419351e-02
7.040370e+02 5.509254e-02
7.055490e+02 5.518748e-02
7.065350e+02 5.506767e-02
7.075490e+02 5.473450e-02
7.085400e+02 5.495466e-02
7.095280e+02 5.524277e-02
7.130430e+02 5.577623e-02
7.185120e+02 5.628876e-02
7.205330e+02 5.624424e-02
7.250440e+02 5.667304e-02
7.341240e+02 5.721757e-02
7.365390e+02 5.736206e-02
7.400360e+02 5.772317e-02
7.493040e+02 5.891709e-02
7.525610e+02 5.933917e-02
7.570390e+02 5.975935e-02
7.585390e+02 5.996583e-02
7.595540e+02 6.004845e-02
7.600220e+02 6.020324e-02
7.670580e+02 6.107109e-02
7.690480e+02 6.134285e-02
7.760620e+02 6.258314e-02
7.857810e+02 6.394278e-02
7.956220e+02 6.533177e-02
8.055850e+02 6.675106e-02
8.156740e+02 6.820095e-02
8.258890e+02 6.968270e-02
8.362320e+02 7.119647e-02
8.467050e+02 7.279213e-02
8.573080e+02 7.443349e-02
