# material=Pd density=12.023
# Photon Energy [eV]  Attenuation Length [um]
1.553910e+04 2.623900e+01
1.579040e+04 2.743461e+01
1.604580e+04 2.868414e+01
1.630540e+04 2.999058e+01
1.656910e+04 3.135545e+01
1.683710e+04 3.278191e+01
1.710940e+04 3.427267e+01
1.738610e+04 3.583011e+01
1.766740e+04 3.745785e+01
1.795310e+04 3.915819e+01
1.824350e+04 4.093477e+01
1.853860e+04 4.279065e+01
1.883840e+04 4.472915e+01
1.914310e+04 4.675407e+01
1.945270e+04 4.886886e+01
1.976740e+04 5.107778e+01
2.008710e+04 5.338417e+01
2.041200e+04 5.579261e+01
2.074210e+04 5.830714e+01
2.107760e+04 6.093260e+01
2.141850e+04 6.367318e+01
2.176500e+04 6.653428e+01
2.211700e+04 6.952016e+01
2.247470e+04 7.263630e+01
2.283820e+04 7.588823e+01
2.320760e+04 7.928140e+01
2.358300e+04 8.282171e+01
2.396440e+04 8.651476e+01
2.435020e+04 9.035464e+01
2.435040e+04 1.418276e+01
2.435200e+04 1.418514e+01
2.474590e+04 1.477267e+01
2.514620e+04 1.538712e+01
2.555290e+04 1.602964e+01
2.596620e+04 1.670158e+01
2.638610e+04 1.740434e+01
2.681290e+04 1.813932e+01
2.724660e+04 1.890803e+01
2.768730e+04 1.971208e+01
2.813510e+04 2.055305e+01
2.859020e+04 2.143275e+01
2.905260e+04 2.235281e+01
2.952250e+04 2.331533e+01
3.000000e+04 2.432217e+01
