# material=Hf density=13.31
# Photon Energy [eV]  Attenuation Length [um]
8.652740e+02 1.595526e-01
8.792690e+02 1.642988e-01
8.934910e+02 1.691874e-01
9.079430e+02 1.742221e-01
9.226280e+02 1.794079e-01
9.375510e+02 1.849184e-01
9.527150e+02 1.906468e-01
9.681240e+02 1.965955e-01
9.837830e+02 2.027297e-01
9.996950e+02 2.090873e-01
1.015860e+03 2.156772e-01
1.032290e+03 2.227704e-01
1.048990e+03 2.301490e-01
1.065960e+03 2.378247e-01
1.083200e+03 2.457557e-01
1.100720e+03 2.539577e-01
1.118520e+03 2.624364e-01
1.136610e+03 2.712014e-01
1.155000e+03 2.802646e-01
1.173680e+03 2.896315e-01
1.192660e+03 2.993169e-01
1.211950e+03 3.093272e-01
1.231550e+03 3.196730e-01
1.251470e+03 3.303735e-01
1.271720e+03 3.414325e-01
1.292290e+03 3.528500e-01
1.313190e+03 3.646489e-01
1.334430e+03 3.768482e-01
1.356010e+03 3.894654e-01
1.377940e+03 4.025078e-01
1.400230e+03 4.159891e-01
1.422880e+03 4.299325e-01
1.445890e+03 4.443593e-01
1.469280e+03 4.593981e-01
1.493040e+03 4.751437e-01
1.517190e+03 4.923243e-01
1.541730e+03 5.102574e-01
1.566670e+03 5.288494e-01
1.592010e+03 5.481222e-01
1.617760e+03 5.681031e-01
1.643920e+03 5.888168e-01
1.661600e+03 6.030470e-01
1.661800e+03 1.257076e-01
1.670510e+03 1.273331e-01
1.697530e+03 1.324540e-01
1.724990e+03 1.377812e-01
1.752890e+03 1.433224e-01
1.781240e+03 1.490865e-01
1.810050e+03 1.550829e-01
1.839320e+03 1.613225e-01
1.869070e+03 1.678156e-01
1.899300e+03 1.745733e-01
1.930020e+03 1.816028e-01
1.961240e+03 1.889175e-01
1.992960e+03 1.965274e-01
2.025200e+03 2.043970e-01
2.057950e+03 2.126289e-01
2.091240e+03 2.212019e-01
2.107500e+03 2.254632e-01
2.107700e+03 1.943640e-01
2.125060e+03 1.984014e-01
2.159430e+03 2.065424e-01
2.194360e+03 2.150071e-01
2.229850e+03 2.238275e-01
2.265920e+03 2.330045e-01
2.302570e+03 2.425564e-01
2.339810e+03 2.525005e-01
2.365300e+03 2.594437e-01
2.365500e+03 2.431769e-01
2.377660e+03 2.462756e-01
2.416110e+03 2.562294e-01
2.455190e+03 2.665838e-01
2.494900e+03 2.773555e-01
2.535260e+03 2.885512e-01
2.576260e+03 3.002016e-01
2.600800e+03 3.073064e-01
2.601000e+03 2.916062e-01
2.617930e+03 2.963568e-01
2.660270e+03 3.084413e-01
2.703300e+03 3.210077e-01
2.747030e+03 3.340778e-01
2.791460e+03 3.476781e-01
2.836610e+03 3.618071e-01
2.882490e+03 3.765139e-01
2.929110e+03 3.918088e-01
2.976480e+03 4.077010e-01
3.024630e+03 4.242377e-01
3.073550e+03 4.414215e-01
3.123260e+03 4.593038e-01
3.173780e+03 4.778829e-01
3.225110e+03 4.972172e-01
3.277270e+03 5.172935e-01
3.330280e+03 5.381866e-01
3.384150e+03 5.598930e-01
3.438880e+03 5.824895e-01
3.494500e+03 6.059628e-01
3.551020e+03 6.303758e-01
3.608460e+03 6.557574e-01
