# material=Ti density=4.507
# Photon Energy [eV]  Attenuation Length [um]
1.810280e+03 1.743577e+00
1.839560e+03 1.819501e+00
1.869310e+03 1.898744e+00
1.899540e+03 1.981468e+00
1.930270e+03 2.067801e+00
1.961490e+03 2.157885e+00
1.993210e+03 2.251870e+00
2.000000e+03 2.272307e+00
2.026000e+03 2.350877e+00
2.052000e+03 2.432261e+00
2.079000e+03 2.518652e+00
2.106000e+03 2.607023e+00
2.134000e+03 2.700737e+00
2.161000e+03 2.793158e+00
2.190000e+03 2.894606e+00
2.218000e+03 2.994836e+00
2.247000e+03 3.100898e+00
2.277000e+03 3.213172e+00
2.306000e+03 3.324126e+00
2.337000e+03 3.445441e+00
2.367000e+03 3.565482e+00
2.398000e+03 3.692349e+00
2.429000e+03 3.822042e+00
2.461000e+03 3.958929e+00
2.493000e+03 4.098999e+00
2.526000e+03 4.246656e+00
2.559000e+03 4.397659e+00
2.592000e+03 4.552129e+00
2.626000e+03 4.714824e+00
2.660000e+03 4.881115e+00
2.695000e+03 5.056326e+00
2.730000e+03 5.235401e+00
2.766000e+03 5.423789e+00
2.802000e+03 5.616563e+00
2.839000e+03 5.819116e+00
2.876000e+03 6.026163e+00
2.914000e+03 6.243931e+00
2.952000e+03 6.466502e+00
2.990000e+03 6.694003e+00
3.029000e+03 6.932908e+00
3.069000e+03 7.183415e+00
3.109000e+03 7.439661e+00
3.150000e+03 7.708500e+00
3.191000e+03 7.983385e+00
3.232000e+03 8.264395e+00
3.275000e+03 8.565926e+00
3.317000e+03 8.866843e+00
3.361000e+03 9.189666e+00
3.405000e+03 9.519696e+00
3.449000e+03 9.857208e+00
3.494000e+03 1.021060e+01
3.540000e+03 1.057966e+01
3.586000e+03 1.095743e+01
3.633000e+03 1.135213e+01
3.680000e+03 1.175636e+01
3.729000e+03 1.218709e+01
3.777000e+03 1.261821e+01
3.827000e+03 1.307863e+01
3.877000e+03 1.354906e+01
3.927000e+03 1.402972e+01
3.979000e+03 1.454191e+01
4.031000e+03 1.506627e+01
4.083000e+03 1.560240e+01
4.137000e+03 1.617098e+01
4.191000e+03 1.675472e+01
4.245000e+03 1.735091e+01
4.301000e+03 1.798233e+01
4.357000e+03 1.863010e+01
4.414000e+03 1.930446e+01
4.472000e+03 2.000595e+01
4.530000e+03 2.072351e+01
4.589000e+03 2.147161e+01
4.649000e+03 2.225001e+01
4.710000e+03 2.305964e+01
4.771000e+03 2.388813e+01
4.834000e+03 2.476376e+01
4.897000e+03 2.566025e+01
4.961000e+03 2.659244e+01
4.966300e+03 2.667064e+01
4.966500e+03 3.105621e+00
5.026000e+03 3.197425e+00
5.091000e+03 3.299514e+00
5.158000e+03 3.407246e+00
5.225000e+03 3.517552e+00
5.294000e+03 3.633870e+00
5.363000e+03 3.752935e+00
5.433000e+03 3.876545e+00
5.504000e+03 4.004943e+00
5.576000e+03 4.138283e+00
5.649000e+03 4.276681e+00
5.722000e+03 4.418413e+00
5.797000e+03 4.567395e+00
5.873000e+03 4.721953e+00
5.950000e+03 4.882393e+00
6.027000e+03 5.046649e+00
6.106000e+03 5.219150e+00
6.186000e+03 5.398060e+00
6.267000e+03 5.583510e+00
6.349000e+03 5.775800e+00
6.432000e+03 5.975232e+00
6.516000e+03 6.181827e+00
6.601000e+03 6.395850e+00
6.687000e+03 6.617532e+00
6.774000e+03 6.847293e+00
6.863000e+03 7.088138e+00
6.952000e+03 7.334662e+00
7.043000e+03 7.592700e+00
7.135000e+03 7.860049e+00
7.229000e+03 8.139786e+00
7.323000e+03 8.426376e+00
7.419000e+03 8.726293e+00
7.516000e+03 9.036591e+00
7.614000e+03 9.357874e+00
7.713000e+03 9.690146e+00
7.814000e+03 1.003738e+01
7.916000e+03 1.039673e+01
8.019000e+03 1.076808e+01
8.124000e+03 1.115636e+01
8.230000e+03 1.155794e+01
8.338000e+03 1.197719e+01
8.447000e+03 1.241072e+01
8.557000e+03 1.285881e+01
8.669000e+03 1.332608e+01
8.782000e+03 1.380965e+01
8.897000e+03 1.431304e+01
9.013000e+03 1.483457e+01
9.131000e+03 1.537747e+01
9.250000e+03 1.593862e+01
9.371000e+03 1.652264e+01
9.494000e+03 1.713256e+01
9.618000e+03 1.776208e+01
9.743000e+03 1.841205e+01
9.900580e+03 1.925466e+01
1.006070e+04 2.013724e+01
1.022340e+04 2.106187e+01
1.038880e+04 2.203077e+01
1.055680e+04 2.304558e+01
1.072760e+04 2.410909e+01
1.090110e+04 2.522312e+01
1.107740e+04 2.639049e+01
1.125660e+04 2.761371e+01
1.143860e+04 2.889520e+01
1.162360e+04 3.023831e+01
1.181170e+04 3.164606e+01
1.200270e+04 3.312098e+01
1.219680e+04 3.466673e+01
1.239410e+04 3.628688e+01
1.259460e+04 3.798500e+01
1.279830e+04 3.976463e+01
1.300530e+04 4.163001e+01
1.321560e+04 4.358508e+01
1.342940e+04 4.563477e+01
1.364660e+04 4.778312e+01
1.386730e+04 5.003513e+01
1.409160e+04 5.239610e+01
1.431950e+04 5.487107e+01
1.455110e+04 5.746581e+01
1.478650e+04 6.018642e+01
1.502560e+04 6.303840e+01
1.526870e+04 6.602913e+01
1.551560e+04 6.916445e+01
1.576660e+04 7.245224e+01
1.602160e+04 7.589966e+01
1.628070e+04 7.951433e+01
1.654410e+04 8.330539e+01
1.681160e+04 8.727998e+01
1.708360e+04 9.144926e+01
1.735990e+04 9.582091e+01
1.764060e+04 1.004054e+02
1.792600e+04 1.052145e+02
1.821590e+04 1.102575e+02
1.851050e+04 1.155469e+02
1.880990e+04 1.210952e+02
