# material=Bi density=9.78
# Photon Energy [eV]  Attenuation Length [um]
8.445690e+03 4.973082e+00
8.582290e+03 5.182272e+00
8.721110e+03 5.400078e+00
8.862160e+03 5.626999e+00
9.005500e+03 5.863804e+00
9.151160e+03 6.110297e+00
9.299170e+03 6.367443e+00
9.449580e+03 6.635270e+00
9.602420e+03 6.914307e+00
9.757730e+03 7.204837e+00
9.915550e+03 7.507728e+00
1.007590e+04 7.830241e+00
1.023890e+04 8.166285e+00
1.040450e+04 8.516289e+00
1.057280e+04 8.880841e+00
1.074380e+04 9.260406e+00
1.091760e+04 9.655592e+00
1.109420e+04 1.006694e+01
1.127360e+04 1.049495e+01
1.145590e+04 1.094027e+01
1.164120e+04 1.140354e+01
1.182950e+04 1.188537e+01
1.202080e+04 1.238630e+01
1.221530e+04 1.290713e+01
1.241280e+04 1.344823e+01
1.261360e+04 1.401060e+01
1.281760e+04 1.459465e+01
1.302500e+04 1.520132e+01
1.323560e+04 1.583093e+01
1.341850e+04 1.639017e+01
1.341870e+04 6.666083e+00
1.344970e+04 6.708523e+00
1.366720e+04 7.011373e+00
1.388830e+04 7.327920e+00
1.411290e+04 7.658711e+00
1.434120e+04 8.004468e+00
1.457310e+04 8.365789e+00
1.480890e+04 8.743489e+00
1.504840e+04 9.138187e+00
1.529180e+04 9.550693e+00
1.553910e+04 9.981801e+00
1.571100e+04 1.028862e+01
1.571120e+04 7.339652e+00
1.579040e+04 7.431620e+00
1.604580e+04 7.732716e+00
1.630540e+04 8.045970e+00
1.638740e+04 8.146520e+00
1.638760e+04 7.184135e+00
1.656910e+04 7.378619e+00
1.683710e+04 7.671336e+00
1.710940e+04 7.977131e+00
1.738610e+04 8.296583e+00
1.766740e+04 8.630497e+00
1.795310e+04 8.979275e+00
1.824350e+04 9.343700e+00
1.853860e+04 9.724459e+00
1.883840e+04 1.012226e+01
1.914310e+04 1.053789e+01
1.945270e+04 1.097215e+01
1.976740e+04 1.142595e+01
2.008710e+04 1.190004e+01
2.041200e+04 1.239543e+01
2.074210e+04 1.291299e+01
2.107760e+04 1.345386e+01
2.141850e+04 1.401898e+01
2.176500e+04 1.460955e+01
2.211700e+04 1.522658e+01
2.247470e+04 1.587133e+01
2.283820e+04 1.654512e+01
2.320760e+04 1.724919e+01
2.358300e+04 1.798499e+01
2.396440e+04 1.875385e+01
2.435200e+04 1.955735e+01
2.474590e+04 2.039704e+01
2.514620e+04 2.127459e+01
2.555290e+04 2.219161e+01
2.596620e+04 2.314997e+01
2.638610e+04 2.415152e+01
2.681290e+04 2.519827e+01
2.724660e+04 2.629225e+01
2.768730e+04 2.743559e+01
2.813510e+04 2.863048e+01
2.859020e+04 2.987937e+01
2.905260e+04 3.118452e+01
2.952250e+04 3.254871e+01
3.000000e+04 3.397442e+01
