# material=Tm density=9.321
# Photon Energy [eV]  Attenuation Length [um]
5.054210e+03 2.381303e+00
5.135960e+03 2.479142e+00
5.219030e+03 2.581131e+00
5.303440e+03 2.687358e+00
5.389220e+03 2.798156e+00
5.476390e+03 2.913600e+00
5.564970e+03 3.033954e+00
5.654980e+03 3.159437e+00
5.746440e+03 3.290206e+00
5.839390e+03 3.426605e+00
5.933830e+03 3.568796e+00
6.029810e+03 3.717102e+00
6.127330e+03 3.871798e+00
6.226440e+03 4.033073e+00
6.327150e+03 4.201360e+00
6.429480e+03 4.376829e+00
6.533480e+03 4.560076e+00
6.639150e+03 4.751080e+00
6.746540e+03 4.950453e+00
6.855650e+03 5.158511e+00
6.966540e+03 5.375665e+00
7.079220e+03 5.602267e+00
7.193720e+03 5.838782e+00
7.310070e+03 6.085831e+00
7.428310e+03 6.343751e+00
7.548450e+03 6.613128e+00
7.670540e+03 6.894466e+00
7.794610e+03 7.188415e+00
7.920680e+03 7.495510e+00
8.048790e+03 7.816425e+00
8.178980e+03 8.151729e+00
8.311260e+03 8.501910e+00
8.445690e+03 8.867901e+00
8.582290e+03 9.251183e+00
8.647900e+03 9.438840e+00
8.648100e+03 3.399019e+00
8.721110e+03 3.481889e+00
8.862160e+03 3.645669e+00
9.005500e+03 3.817185e+00
9.151160e+03 3.996832e+00
9.299170e+03 4.184883e+00
9.449580e+03 4.381722e+00
9.602420e+03 4.587862e+00
9.616800e+03 4.607571e+00
9.617000e+03 3.293853e+00
9.757730e+03 3.435628e+00
9.915550e+03 3.599298e+00
1.007590e+04 3.769950e+00
1.011560e+04 3.812959e+00
1.011580e+04 3.390020e+00
1.023890e+04 3.490258e+00
1.040450e+04 3.627822e+00
1.057280e+04 3.771569e+00
1.074380e+04 3.921764e+00
1.091760e+04 4.078782e+00
1.109420e+04 4.242801e+00
1.127360e+04 4.414219e+00
1.145590e+04 4.593336e+00
1.164120e+04 4.780540e+00
1.182950e+04 4.976198e+00
1.202080e+04 5.180616e+00
1.221530e+04 5.394303e+00
1.241280e+04 5.617552e+00
1.261360e+04 5.850910e+00
1.281760e+04 6.094761e+00
1.302500e+04 6.349670e+00
1.323560e+04 6.616006e+00
1.344970e+04 6.894403e+00
1.366720e+04 7.185354e+00
1.388830e+04 7.489482e+00
1.411290e+04 7.807319e+00
1.434120e+04 8.139562e+00
1.457310e+04 8.486790e+00
1.480890e+04 8.849813e+00
1.504840e+04 9.229202e+00
1.529180e+04 9.625790e+00
1.553910e+04 1.004032e+01
1.579040e+04 1.047366e+01
1.604580e+04 1.092665e+01
