# material=Os density=22.61
# Photon Energy [eV]  Attenuation Length [um]
2.107760e+04 7.570156e+00
2.141850e+04 7.900663e+00
2.176500e+04 8.246041e+00
2.211700e+04 8.606850e+00
2.247470e+04 8.983853e+00
2.283820e+04 9.377801e+00
2.320760e+04 9.789416e+00
2.358300e+04 1.021954e+01
2.396440e+04 1.066893e+01
2.435200e+04 1.113852e+01
2.474590e+04 1.162921e+01
2.514620e+04 1.214195e+01
2.555290e+04 1.267772e+01
2.596620e+04 1.323753e+01
2.638610e+04 1.382246e+01
2.681290e+04 1.443375e+01
2.724660e+04 1.507254e+01
2.768730e+04 1.573997e+01
2.813510e+04 1.643747e+01
2.859020e+04 1.716628e+01
2.905260e+04 1.792787e+01
2.952250e+04 1.872377e+01
3.000000e+04 1.955542e+01
