# material=Sr density=2.63
# Photon Energy [eV]  Attenuation Length [um]
1.127360e+04 8.726420e+01
1.145590e+04 9.122509e+01
1.164120e+04 9.536886e+01
1.182950e+04 9.970398e+01
1.202080e+04 1.042390e+02
1.221530e+04 1.089848e+02
1.241280e+04 1.139492e+02
1.261360e+04 1.191450e+02
1.281760e+04 1.245818e+02
1.302500e+04 1.302729e+02
1.323560e+04 1.362275e+02
1.344970e+04 1.424614e+02
1.366720e+04 1.489865e+02
1.388830e+04 1.558180e+02
1.411290e+04 1.629700e+02
1.434120e+04 1.704592e+02
1.457310e+04 1.783007e+02
1.480890e+04 1.865146e+02
1.504840e+04 1.951166e+02
1.529180e+04 2.041271e+02
1.553910e+04 2.135663e+02
1.579040e+04 2.234567e+02
1.604580e+04 2.338203e+02
1.610450e+04 2.362445e+02
1.610470e+04 3.393452e+01
1.630540e+04 3.500786e+01
1.656910e+04 3.644910e+01
1.683710e+04 3.795672e+01
1.710940e+04 3.953361e+01
1.738610e+04 4.118319e+01
1.766740e+04 4.290904e+01
1.795310e+04 4.471412e+01
1.824350e+04 4.660261e+01
1.853860e+04 4.857837e+01
1.883840e+04 5.064528e+01
1.914310e+04 5.280789e+01
1.945270e+04 5.507037e+01
1.976740e+04 5.743821e+01
2.008710e+04 5.991525e+01
2.041200e+04 6.250738e+01
2.074210e+04 6.521951e+01
2.107760e+04 6.805810e+01
2.141850e+04 7.102845e+01
2.176500e+04 7.413731e+01
2.211700e+04 7.739071e+01
2.247470e+04 8.079563e+01
2.283820e+04 8.435974e+01
2.320760e+04 8.808988e+01
2.358300e+04 9.199484e+01
2.396440e+04 9.608215e+01
2.435200e+04 1.003609e+02
2.474590e+04 1.048396e+02
2.514620e+04 1.095288e+02
2.555290e+04 1.144381e+02
2.596620e+04 1.195778e+02
2.638610e+04 1.249581e+02
2.681290e+04 1.305922e+02
2.724660e+04 1.364915e+02
2.768730e+04 1.426693e+02
2.813510e+04 1.491370e+02
2.859020e+04 1.559107e+02
2.905260e+04 1.630042e+02
2.952250e+04 1.704320e+02
3.000000e+04 1.782123e+02
