# material=Ge density=5.323
# Photon Energy [eV]  Attenuation Length [um]
7.489280e+02 4.818817e-01
7.610420e+02 5.016957e-01
7.733510e+02 5.223241e-01
7.858590e+02 5.437999e-01
7.985700e+02 5.661599e-01
8.114860e+02 5.894389e-01
8.246110e+02 6.136746e-01
8.379490e+02 6.389076e-01
8.515020e+02 6.651777e-01
8.652740e+02 6.925281e-01
8.792690e+02 7.215603e-01
8.934910e+02 7.531496e-01
9.079430e+02 7.861226e-01
9.226280e+02 8.205387e-01
9.375510e+02 8.564620e-01
9.527150e+02 8.928470e-01
9.681240e+02 9.271960e-01
9.837830e+02 9.628571e-01
9.996950e+02 9.998093e-01
1.015860e+03 1.038085e+00
1.032290e+03 1.077067e+00
1.048990e+03 1.117708e+00
1.065960e+03 1.160100e+00
1.083200e+03 1.204094e+00
1.100720e+03 1.249753e+00
1.118520e+03 1.297125e+00
1.136610e+03 1.346345e+00
1.155000e+03 1.397438e+00
1.173680e+03 1.450456e+00
1.192660e+03 1.505483e+00
1.211950e+03 1.562604e+00
1.216900e+03 1.577453e+00
1.217100e+03 2.351866e-01
1.231550e+03 2.398972e-01
1.251470e+03 2.464524e-01
1.271720e+03 2.531660e-01
1.292290e+03 2.600304e-01
1.313190e+03 2.670796e-01
1.334430e+03 2.743189e-01
1.356010e+03 2.817539e-01
1.377940e+03 2.893941e-01
1.400230e+03 2.972420e-01
1.414500e+03 3.023115e-01
1.414700e+03 3.023742e-01
1.422880e+03 3.052956e-01
1.445890e+03 3.135729e-01
1.469280e+03 3.224516e-01
1.493040e+03 3.321754e-01
1.517190e+03 3.447937e-01
1.541730e+03 3.582718e-01
1.566670e+03 3.722785e-01
1.592010e+03 3.868287e-01
1.617760e+03 4.019457e-01
1.643920e+03 4.176578e-01
1.670510e+03 4.339807e-01
1.697530e+03 4.509417e-01
1.724990e+03 4.685650e-01
1.752890e+03 4.873824e-01
1.781240e+03 5.071353e-01
1.810050e+03 5.278310e-01
1.839320e+03 5.493736e-01
1.869070e+03 5.717993e-01
1.899300e+03 5.951394e-01
1.930020e+03 6.194169e-01
1.961240e+03 6.446942e-01
1.992960e+03 6.710145e-01
