# material=Ta density=16.65
# Photon Energy [eV]  Attenuation Length [um]
2.680710e+02 2.995133e-02
2.711590e+02 3.013781e-02
2.742830e+02 3.032554e-02
2.774420e+02 3.051426e-02
2.806380e+02 3.070416e-02
2.838710e+02 3.089532e-02
2.871420e+02 3.108782e-02
2.904490e+02 3.128128e-02
2.937950e+02 3.147600e-02
2.971800e+02 3.167205e-02
3.006030e+02 3.186918e-02
3.040660e+02 3.216871e-02
3.075690e+02 3.251746e-02
3.111120e+02 3.286998e-02
3.146960e+02 3.322635e-02
3.183210e+02 3.358643e-02
3.219880e+02 3.395045e-02
3.256980e+02 3.431865e-02
3.294500e+02 3.469065e-02
3.332450e+02 3.506209e-02
3.370840e+02 3.542747e-02
3.409670e+02 3.579668e-02
3.448950e+02 3.616966e-02
3.488680e+02 3.654654e-02
3.528870e+02 3.692742e-02
3.569520e+02 3.731228e-02
3.610640e+02 3.770106e-02
3.652240e+02 3.809400e-02
3.694310e+02 3.842356e-02
3.736870e+02 3.875167e-02
3.779920e+02 3.908244e-02
3.823460e+02 3.941617e-02
3.867510e+02 3.975270e-02
3.912060e+02 4.009189e-02
3.957130e+02 4.021246e-02
4.002710e+02 4.000245e-02
4.048820e+02 3.979372e-02
4.095470e+02 4.017577e-02
4.142650e+02 4.076713e-02
4.190370e+02 4.136709e-02
4.238640e+02 4.197598e-02
4.287470e+02 4.259381e-02
4.336860e+02 4.322063e-02
4.386820e+02 4.385679e-02
4.437360e+02 4.450229e-02
4.488480e+02 4.515719e-02
4.540180e+02 4.582173e-02
4.592480e+02 4.649620e-02
4.645390e+02 4.718059e-02
4.698900e+02 4.787487e-02
4.753030e+02 4.852861e-02
4.807790e+02 4.916585e-02
4.863170e+02 4.981166e-02
4.919200e+02 5.046582e-02
4.975870e+02 5.112863e-02
5.033190e+02 5.180005e-02
5.091170e+02 5.248042e-02
5.149820e+02 5.316967e-02
5.209150e+02 5.386793e-02
5.269150e+02 5.470261e-02
5.329850e+02 5.556687e-02
5.391250e+02 5.644442e-02
5.453360e+02 5.733619e-02
5.516180e+02 5.824184e-02
5.579730e+02 5.916195e-02
5.644010e+02 6.009641e-02
5.709030e+02 6.096467e-02
5.774790e+02 6.164575e-02
5.841320e+02 6.240703e-02
5.908610e+02 6.353807e-02
5.976680e+02 6.468971e-02
6.045530e+02 6.586222e-02
6.115170e+02 6.705594e-02
6.185620e+02 6.827168e-02
6.256880e+02 6.950942e-02
6.328950e+02 7.079457e-02
6.401860e+02 7.210953e-02
6.475610e+02 7.350252e-02
6.550210e+02 7.494083e-02
6.625670e+02 7.640768e-02
6.701990e+02 7.790317e-02
6.779200e+02 7.935065e-02
6.857300e+02 8.074752e-02
6.936290e+02 8.216581e-02
7.016200e+02 8.360556e-02
7.097020e+02 8.514058e-02
7.178780e+02 8.684759e-02
7.261480e+02 8.858839e-02
7.345130e+02 9.036488e-02
7.429750e+02 9.217700e-02
7.515340e+02 9.402570e-02
7.601910e+02 9.591168e-02
7.689490e+02 9.784551e-02
7.778070e+02 9.981856e-02
7.867670e+02 1.018771e-01
7.958310e+02 1.039861e-01
8.049980e+02 1.061393e-01
8.142720e+02 1.083383e-01
8.236520e+02 1.105821e-01
8.331410e+02 1.128729e-01
8.427380e+02 1.152206e-01
8.524470e+02 1.176272e-01
8.622670e+02 1.201033e-01
8.722000e+02 1.226550e-01
8.822480e+02 1.252610e-01
8.924110e+02 1.279234e-01
9.026920e+02 1.306421e-01
9.130910e+02 1.334189e-01
9.236090e+02 1.362609e-01
9.342490e+02 1.392691e-01
9.450120e+02 1.423434e-01
9.558980e+02 1.455390e-01
9.669100e+02 1.488061e-01
9.780490e+02 1.521478e-01
9.893160e+02 1.555647e-01
1.000710e+03 1.590726e-01
1.012240e+03 1.626635e-01
1.023900e+03 1.663956e-01
1.035700e+03 1.702426e-01
1.047630e+03 1.742116e-01
1.059700e+03 1.783013e-01
1.071900e+03 1.824857e-01
1.084250e+03 1.867724e-01
1.096740e+03 1.911590e-01
1.109380e+03 1.956518e-01
1.122160e+03 2.002495e-01
1.135080e+03 2.049541e-01
1.148160e+03 2.097724e-01
1.161390e+03 2.147064e-01
1.174770e+03 2.197567e-01
1.188300e+03 2.249302e-01
1.201990e+03 2.302265e-01
1.215840e+03 2.356475e-01
1.229840e+03 2.411937e-01
1.244010e+03 2.469373e-01
1.258340e+03 2.528368e-01
1.272840e+03 2.590086e-01
1.287500e+03 2.653919e-01
1.302330e+03 2.719367e-01
1.317330e+03 2.786441e-01
1.332510e+03 2.855194e-01
1.347860e+03 2.925659e-01
1.363390e+03 2.997868e-01
1.379090e+03 3.071882e-01
1.394980e+03 3.147756e-01
1.411050e+03 3.225501e-01
1.427310e+03 3.305176e-01
1.443750e+03 3.386946e-01
1.460380e+03 3.470759e-01
1.477200e+03 3.556885e-01
1.494220e+03 3.645174e-01
1.511430e+03 3.736750e-01
1.528850e+03 3.830755e-01
1.546460e+03 3.927154e-01
1.564270e+03 4.025942e-01
1.582290e+03 4.127257e-01
1.600520e+03 4.231145e-01
1.618960e+03 4.337690e-01
1.637610e+03 4.446946e-01
1.656470e+03 4.558928e-01
1.675560e+03 4.673750e-01
1.694860e+03 4.791539e-01
1.714380e+03 4.912464e-01
1.734130e+03 5.036465e-01
1.735000e+03 5.041963e-01
1.735200e+03 2.271631e-01
1.754110e+03 1.948589e-01
1.774320e+03 1.656991e-01
1.794760e+03 1.409024e-01
1.815430e+03 1.202905e-01
1.836350e+03 1.237105e-01
1.857500e+03 1.272271e-01
1.878900e+03 1.308444e-01
1.900540e+03 1.345644e-01
1.922440e+03 1.383925e-01
1.944580e+03 1.423298e-01
1.966980e+03 1.463792e-01
1.989640e+03 1.505447e-01
2.012570e+03 1.548114e-01
2.035750e+03 1.591981e-01
2.059200e+03 1.637289e-01
2.082920e+03 1.683879e-01
2.106920e+03 1.731823e-01
2.131190e+03 1.781142e-01
2.155740e+03 1.831815e-01
2.180570e+03 1.883982e-01
2.193900e+03 1.912337e-01
2.194100e+03 1.638074e-01
2.205690e+03 1.660363e-01
2.231100e+03 1.709867e-01
2.256810e+03 1.760838e-01
2.282800e+03 1.813317e-01
2.309100e+03 1.867406e-01
2.335700e+03 1.923068e-01
2.362610e+03 1.980345e-01
2.389830e+03 2.039346e-01
2.417360e+03 2.100137e-01
2.445210e+03 2.162716e-01
2.468600e+03 2.216153e-01
2.468800e+03 2.075997e-01
2.473370e+03 2.085707e-01
2.501870e+03 2.146829e-01
2.530690e+03 2.209737e-01
2.559840e+03 2.274517e-01
2.589330e+03 2.341212e-01
2.619160e+03 2.409828e-01
2.649330e+03 2.480373e-01
2.679850e+03 2.553000e-01
2.707900e+03 2.620868e-01
2.708100e+03 2.519948e-01
2.710720e+03 2.525643e-01
2.741950e+03 2.594066e-01
2.773540e+03 2.664388e-01
2.805490e+03 2.736799e-01
2.837810e+03 2.811421e-01
2.870500e+03 2.888347e-01
2.903570e+03 2.967582e-01
2.937010e+03 3.049207e-01
2.970850e+03 3.133273e-01
3.005070e+03 3.219897e-01
3.039690e+03 3.309176e-01
3.074710e+03 3.401049e-01
3.110130e+03 3.495700e-01
3.145960e+03 3.593222e-01
3.182200e+03 3.693700e-01
3.218860e+03 3.797213e-01
