# material=Ga density=5.904
# Photon Energy [eV]  Attenuation Length [um]
6.801910e+02 3.720858e-01
6.911930e+02 3.895893e-01
7.023720e+02 4.079156e-01
7.137330e+02 4.271043e-01
7.252770e+02 4.471962e-01
7.370080e+02 4.682330e-01
7.489280e+02 4.902596e-01
7.610420e+02 5.133219e-01
7.733510e+02 5.374691e-01
7.858590e+02 5.627516e-01
7.985700e+02 5.892238e-01
8.114860e+02 6.169417e-01
8.246110e+02 6.414366e-01
8.379490e+02 6.660000e-01
8.515020e+02 6.915910e-01
8.652740e+02 7.183099e-01
8.792690e+02 7.461979e-01
8.934910e+02 7.751302e-01
9.079430e+02 8.052008e-01
9.226280e+02 8.364545e-01
9.375510e+02 8.688021e-01
9.527150e+02 9.023889e-01
9.681240e+02 9.372607e-01
9.837830e+02 9.734660e-01
9.996950e+02 1.010893e+00
1.015860e+03 1.049559e+00
1.032290e+03 1.088028e+00
1.048990e+03 1.128088e+00
1.065960e+03 1.169837e+00
1.083200e+03 1.213146e+00
1.100720e+03 1.258066e+00
1.116600e+03 1.299573e+00
1.116800e+03 2.005654e-01
1.118520e+03 2.010712e-01
1.136610e+03 2.064175e-01
1.155000e+03 2.119089e-01
1.173680e+03 2.175434e-01
1.192660e+03 2.233284e-01
1.211950e+03 2.292672e-01
1.231550e+03 2.353643e-01
1.251470e+03 2.416030e-01
1.271720e+03 2.480066e-01
1.292290e+03 2.545797e-01
1.298900e+03 2.567054e-01
1.299100e+03 2.295095e-01
1.313190e+03 2.356887e-01
1.334430e+03 2.451881e-01
1.356010e+03 2.550717e-01
1.377940e+03 2.653506e-01
1.400230e+03 2.760473e-01
1.422880e+03 2.871738e-01
1.445890e+03 2.987510e-01
1.469280e+03 3.107917e-01
1.493040e+03 3.233110e-01
1.517190e+03 3.363074e-01
1.541730e+03 3.498263e-01
1.566670e+03 3.638881e-01
1.592010e+03 3.785140e-01
1.617760e+03 3.937260e-01
1.643920e+03 4.095473e-01
1.670510e+03 4.260079e-01
1.697530e+03 4.431303e-01
1.724990e+03 4.609402e-01
