# material=Li density=0.535
# Photon Energy [eV]  Attenuation Length [um]
3.909870e+03 6.762122e+03
3.973110e+03 7.134436e+03
4.037380e+03 7.527268e+03
4.102680e+03 7.941673e+03
4.169030e+03 8.378911e+03
4.236460e+03 8.840017e+03
4.304980e+03 9.325651e+03
4.374620e+03 9.837882e+03
4.445370e+03 1.037829e+04
4.517270e+03 1.094841e+04
4.590330e+03 1.154985e+04
4.664580e+03 1.218362e+04
4.740030e+03 1.285124e+04
4.816690e+03 1.355532e+04
4.894600e+03 1.429806e+04
4.973770e+03 1.508147e+04
5.054210e+03 1.590774e+04
5.135960e+03 1.677858e+04
5.219030e+03 1.769657e+04
5.303440e+03 1.866472e+04
5.389220e+03 1.968583e+04
5.476390e+03 2.076292e+04
5.564970e+03 2.189883e+04
5.654980e+03 2.309556e+04
5.746440e+03 2.435723e+04
5.839390e+03 2.568782e+04
5.933830e+03 2.709116e+04
6.029810e+03 2.857113e+04
6.127330e+03 3.013193e+04
6.226440e+03 3.177696e+04
6.327150e+03 3.351167e+04
6.429480e+03 3.534107e+04
6.533480e+03 3.727052e+04
6.639150e+03 3.930512e+04
6.746540e+03 4.145070e+04
6.855650e+03 4.371248e+04
6.966540e+03 4.609779e+04
7.079220e+03 4.861344e+04
7.193720e+03 5.126608e+04
7.310070e+03 5.406372e+04
7.428310e+03 5.701417e+04
7.548450e+03 6.012642e+04
7.670540e+03 6.340878e+04
7.794610e+03 6.687013e+04
7.920680e+03 7.052052e+04
8.048790e+03 7.437017e+04
8.178980e+03 7.843162e+04
8.311260e+03 8.271584e+04
8.445690e+03 8.723401e+04
8.582290e+03 9.199949e+04
8.721110e+03 9.702467e+04
8.862160e+03 1.023246e+05
9.005500e+03 1.079190e+05
9.151160e+03 1.138219e+05
9.299170e+03 1.200471e+05
9.449580e+03 1.266139e+05
9.602420e+03 1.335390e+05
9.757730e+03 1.408428e+05
9.915550e+03 1.485611e+05
1.007590e+04 1.566959e+05
1.023890e+04 1.652801e+05
1.040450e+04 1.743363e+05
1.057280e+04 1.838934e+05
1.074380e+04 1.939773e+05
1.091760e+04 2.046187e+05
1.109420e+04 2.158472e+05
1.127360e+04 2.276943e+05
1.145590e+04 2.401990e+05
1.164120e+04 2.533950e+05
1.182950e+04 2.673210e+05
1.202080e+04 2.820185e+05
1.221530e+04 2.975330e+05
1.241280e+04 3.139050e+05
1.261360e+04 3.311856e+05
1.281760e+04 3.494269e+05
1.302500e+04 3.686815e+05
1.323560e+04 3.890033e+05
1.344970e+04 4.104580e+05
1.366720e+04 4.331026e+05
1.388830e+04 4.570099e+05
1.411290e+04 4.822453e+05
1.434120e+04 5.088882e+05
1.457310e+04 5.370118e+05
1.480890e+04 5.667078e+05
1.504840e+04 5.980548e+05
1.529180e+04 6.311498e+05
1.553910e+04 6.660880e+05
1.579040e+04 7.029762e+05
1.604580e+04 7.419220e+05
1.630540e+04 7.830455e+05
1.656910e+04 8.264557e+05
1.683710e+04 8.722911e+05
1.710940e+04 9.206786e+05
1.738610e+04 9.717659e+05
1.766740e+04 1.025709e+06
1.795310e+04 1.082649e+06
1.824350e+04 1.142767e+06
1.853860e+04 1.206232e+06
1.883840e+04 1.273226e+06
1.914310e+04 1.343949e+06
1.945270e+04 1.418600e+06
1.976740e+04 1.497404e+06
2.008710e+04 1.585720e+06
2.041200e+04 1.675920e+06
2.074210e+04 1.771209e+06
2.107760e+04 1.871897e+06
2.141850e+04 1.978275e+06
2.176500e+04 2.090673e+06
2.211700e+04 2.209415e+06
2.247470e+04 2.334864e+06
2.283820e+04 2.467418e+06
2.320760e+04 2.607462e+06
2.358300e+04 2.755434e+06
2.396440e+04 2.911755e+06
2.435200e+04 3.076920e+06
2.474590e+04 3.251439e+06
2.514620e+04 3.435818e+06
2.555290e+04 3.630628e+06
2.596620e+04 3.836448e+06
2.638610e+04 4.053903e+06
2.681290e+04 4.283694e+06
2.724660e+04 4.526484e+06
2.768730e+04 4.782993e+06
2.813510e+04 5.054049e+06
2.859020e+04 5.340416e+06
2.905260e+04 5.643032e+06
2.952250e+04 5.962775e+06
3.000000e+04 6.300637e+06
