# material=La density=6.146
# Photon Energy [eV]  Attenuation Length [um]
2.752060e+02 2.257599e-01
2.783770e+02 2.222473e-01
2.815830e+02 2.215053e-01
2.848270e+02 2.219990e-01
2.881080e+02 2.224934e-01
2.914270e+02 2.229892e-01
2.947850e+02 2.234865e-01
2.981810e+02 2.239842e-01
3.016160e+02 2.244833e-01
3.050900e+02 2.249828e-01
3.086050e+02 2.254845e-01
3.121600e+02 2.259741e-01
3.157560e+02 2.261367e-01
3.193930e+02 2.262991e-01
3.230730e+02 2.264627e-01
3.267940e+02 2.266249e-01
3.305590e+02 2.267885e-01
3.343670e+02 2.269516e-01
3.382190e+02 2.271148e-01
3.421150e+02 2.272784e-01
3.460560e+02 2.274417e-01
3.500430e+02 2.276058e-01
3.540750e+02 2.277692e-01
3.581540e+02 2.282561e-01
3.622800e+02 2.294073e-01
3.664540e+02 2.305651e-01
3.706750e+02 2.317275e-01
3.749450e+02 2.328962e-01
3.792650e+02 2.340712e-01
3.836340e+02 2.352519e-01
3.880530e+02 2.364381e-01
3.925230e+02 2.376305e-01
3.970450e+02 2.388290e-01
4.016190e+02 2.400338e-01
4.062460e+02 2.412446e-01
4.109260e+02 2.428611e-01
4.156600e+02 2.445296e-01
4.204480e+02 2.462093e-01
4.252910e+02 2.479004e-01
4.301910e+02 2.496037e-01
4.351470e+02 2.513186e-01
4.401590e+02 2.530448e-01
4.452300e+02 2.547834e-01
4.503590e+02 2.565338e-01
4.555470e+02 2.582963e-01
4.607950e+02 2.600707e-01
4.661030e+02 2.635440e-01
4.714730e+02 2.672104e-01
4.769040e+02 2.709275e-01
4.823980e+02 2.746962e-01
4.879550e+02 2.785176e-01
4.935760e+02 2.823916e-01
4.992620e+02 2.863198e-01
5.050140e+02 2.903032e-01
5.108310e+02 2.943411e-01
5.167160e+02 2.998059e-01
5.226690e+02 3.054108e-01
5.286900e+02 3.111200e-01
5.347800e+02 3.169363e-01
5.409410e+02 3.228616e-01
5.471720e+02 3.288971e-01
5.534760e+02 3.350460e-01
5.598520e+02 3.413096e-01
5.663010e+02 3.476901e-01
