# material=Si density=2.33
# Photon Energy [eV]  Attenuation Length [um]
1.088300e+02 6.308506e-02
1.089000e+02 6.279259e-02
1.090000e+02 6.279261e-02
1.090300e+02 6.280635e-02
1.090700e+02 6.299815e-02
1.091200e+02 6.281916e-02
1.092000e+02 6.277690e-02
1.092500e+02 6.260199e-02
1.092700e+02 6.274750e-02
1.093500e+02 6.275495e-02
1.093800e+02 6.287533e-02
1.094000e+02 6.275762e-02
1.094300e+02 6.282200e-02
1.094500e+02 6.262939e-02
1.095300e+02 6.255184e-02
1.095500e+02 6.236916e-02
1.095700e+02 6.244073e-02
1.096000e+02 6.223164e-02
1.096200e+02 6.231835e-02
1.096700e+02 6.216762e-02
1.098000e+02 6.183165e-02
1.099700e+02 6.149855e-02
1.100000e+02 6.132724e-02
1.105000e+02 5.991782e-02
1.110000e+02 5.825770e-02
1.115000e+02 5.687721e-02
1.125000e+02 5.500087e-02
1.140000e+02 5.297296e-02
1.145000e+02 5.178657e-02
1.150000e+02 5.053466e-02
1.155000e+02 4.921056e-02
1.170000e+02 4.527436e-02
1.175000e+02 4.431637e-02
1.180000e+02 4.349182e-02
1.185000e+02 4.310084e-02
1.190000e+02 4.249062e-02
1.195000e+02 4.247806e-02
1.214330e+02 4.129339e-02
1.215000e+02 4.125305e-02
1.220000e+02 4.104398e-02
1.235000e+02 4.079425e-02
1.240000e+02 4.082918e-02
1.245000e+02 4.063203e-02
1.250000e+02 4.074776e-02
1.270000e+02 4.041771e-02
1.275000e+02 4.039110e-02
1.285000e+02 4.003316e-02
1.295000e+02 3.974029e-02
1.300000e+02 3.945895e-02
1.315000e+02 3.887984e-02
1.330000e+02 3.884814e-02
1.335000e+02 3.909232e-02
1.345000e+02 4.009673e-02
1.360000e+02 4.212361e-02
1.365000e+02 4.262145e-02
1.370000e+02 4.303691e-02
1.375000e+02 4.358810e-02
1.395000e+02 4.391732e-02
1.400000e+02 4.394202e-02
1.405000e+02 4.382400e-02
1.415000e+02 4.406840e-02
1.420000e+02 4.433285e-02
1.425000e+02 4.443984e-02
1.430000e+02 4.465065e-02
1.440000e+02 4.424828e-02
1.450000e+02 4.410098e-02
1.455000e+02 4.387912e-02
1.460000e+02 4.393033e-02
1.465000e+02 4.380479e-02
1.470000e+02 4.382314e-02
1.475000e+02 4.372664e-02
1.480000e+02 4.382534e-02
1.485000e+02 4.380300e-02
1.495000e+02 4.406521e-02
1.500000e+02 4.429719e-02
1.505000e+02 4.425700e-02
1.510000e+02 4.392541e-02
1.515000e+02 4.338096e-02
1.520000e+02 4.303245e-02
1.525000e+02 4.306717e-02
1.535000e+02 4.412771e-02
1.545000e+02 4.566598e-02
1.550000e+02 4.604968e-02
1.555000e+02 4.622330e-02
1.560000e+02 4.625271e-02
1.565000e+02 4.605960e-02
1.575000e+02 4.604325e-02
1.580000e+02 4.585337e-02
1.585000e+02 4.541905e-02
1.590000e+02 4.555262e-02
1.600000e+02 4.534617e-02
1.625000e+02 4.432336e-02
1.635000e+02 4.404379e-02
1.645000e+02 4.390523e-02
1.655000e+02 4.403591e-02
1.665000e+02 4.406337e-02
1.670000e+02 4.437567e-02
1.675000e+02 4.401247e-02
1.690000e+02 4.420185e-02
1.700000e+02 4.458962e-02
1.715000e+02 4.567565e-02
1.720000e+02 4.670289e-02
1.725000e+02 4.689467e-02
1.730000e+02 4.747120e-02
1.735000e+02 4.769201e-02
1.740000e+02 4.890173e-02
1.745000e+02 4.936872e-02
1.750000e+02 5.022711e-02
1.760000e+02 5.130860e-02
1.765000e+02 5.198545e-02
1.770000e+02 5.247811e-02
1.780000e+02 5.308244e-02
1.785000e+02 5.373373e-02
1.790000e+02 5.401378e-02
1.795000e+02 5.448486e-02
1.799900e+02 5.428495e-02
1.829010e+02 5.561337e-02
1.858590e+02 5.697423e-02
1.888660e+02 5.838348e-02
1.919200e+02 5.989127e-02
1.950250e+02 6.143853e-02
1.981790e+02 6.302539e-02
2.013840e+02 6.465320e-02
2.046410e+02 6.623563e-02
2.079510e+02 6.780319e-02
2.113150e+02 6.940796e-02
2.147330e+02 7.105057e-02
2.182060e+02 7.273202e-02
2.217350e+02 7.452163e-02
2.253220e+02 7.673534e-02
2.289660e+02 7.901437e-02
2.326690e+02 8.136123e-02
2.364320e+02 8.377777e-02
2.402570e+02 8.626652e-02
2.441430e+02 8.882884e-02
2.480910e+02 9.146691e-02
2.521040e+02 9.439563e-02
2.561820e+02 9.745362e-02
2.603250e+02 1.006104e-01
2.645360e+02 1.038698e-01
2.688140e+02 1.072344e-01
2.731620e+02 1.107085e-01
2.775800e+02 1.142946e-01
2.820700e+02 1.179973e-01
2.866320e+02 1.218198e-01
2.912680e+02 1.257660e-01
2.959790e+02 1.298401e-01
3.007670e+02 1.341641e-01
3.056310e+02 1.387287e-01
3.105750e+02 1.434496e-01
3.155980e+02 1.483303e-01
3.207020e+02 1.533771e-01
3.258900e+02 1.585962e-01
3.311610e+02 1.639926e-01
3.365170e+02 1.695724e-01
3.419600e+02 1.753423e-01
3.474910e+02 1.813086e-01
3.531110e+02 1.874772e-01
3.588220e+02 1.938563e-01
3.646260e+02 2.004524e-01
3.705230e+02 2.080868e-01
3.765160e+02 2.162380e-01
3.826060e+02 2.247080e-01
3.887950e+02 2.335107e-01
3.950830e+02 2.426575e-01
4.014730e+02 2.521626e-01
4.079670e+02 2.620412e-01
4.145650e+02 2.723051e-01
4.212700e+02 2.829715e-01
4.280840e+02 2.940565e-01
4.350080e+02 3.055748e-01
4.420440e+02 3.175451e-01
4.491940e+02 3.299844e-01
4.564590e+02 3.429098e-01
4.638420e+02 3.564728e-01
4.713440e+02 3.711178e-01
4.789680e+02 3.863642e-01
4.867150e+02 4.022382e-01
4.945870e+02 4.187621e-01
5.025870e+02 4.359672e-01
5.107150e+02 4.538774e-01
5.189760e+02 4.725234e-01
5.273700e+02 4.919372e-01
5.359000e+02 5.121474e-01
5.445670e+02 5.331865e-01
5.533750e+02 5.550918e-01
5.623260e+02 5.778986e-01
5.714210e+02 6.016406e-01
5.806630e+02 6.263568e-01
5.900550e+02 6.530608e-01
5.995990e+02 6.815492e-01
6.092970e+02 7.112800e-01
6.191510e+02 7.423047e-01
6.291660e+02 7.746869e-01
6.393420e+02 8.084814e-01
6.496830e+02 8.437468e-01
6.601910e+02 8.805526e-01
6.708690e+02 9.189666e-01
6.817200e+02 9.590502e-01
6.927460e+02 1.000884e+00
7.039510e+02 1.042680e+00
7.153360e+02 1.085245e+00
7.269060e+02 1.129557e+00
7.386640e+02 1.175674e+00
7.506110e+02 1.223674e+00
7.627510e+02 1.273633e+00
7.750880e+02 1.325638e+00
7.876250e+02 1.379761e+00
8.003640e+02 1.437316e+00
8.133090e+02 1.500564e+00
8.264640e+02 1.566589e+00
8.398310e+02 1.635532e+00
8.534150e+02 1.707503e+00
8.672180e+02 1.782634e+00
8.812450e+02 1.861083e+00
8.954980e+02 1.942982e+00
9.099820e+02 2.033319e+00
9.247000e+02 2.130831e+00
9.396560e+02 2.233017e+00
9.548550e+02 2.340114e+00
9.702990e+02 2.452342e+00
9.859920e+02 2.569963e+00
1.001940e+03 2.693337e+00
1.018150e+03 2.822819e+00
1.034610e+03 2.958482e+00
1.051350e+03 3.100730e+00
1.068350e+03 3.249778e+00
1.085630e+03 3.406002e+00
1.103190e+03 3.560460e+00
1.121030e+03 3.714892e+00
1.139170e+03 3.876306e+00
1.157590e+03 4.044644e+00
1.176310e+03 4.220292e+00
1.195340e+03 4.403733e+00
1.214670e+03 4.595470e+00
1.234320e+03 4.795894e+00
1.254280e+03 5.005003e+00
1.274570e+03 5.223247e+00
1.295190e+03 5.451086e+00
1.316130e+03 5.690180e+00
1.337420e+03 5.939998e+00
1.359050e+03 6.200935e+00
1.381040e+03 6.473350e+00
1.403370e+03 6.758312e+00
1.426070e+03 7.056519e+00
1.449140e+03 7.368411e+00
1.472580e+03 7.694057e+00
1.496390e+03 8.034190e+00
1.520600e+03 8.400466e+00
1.545190e+03 8.784125e+00
1.570180e+03 9.186103e+00
1.595580e+03 9.606356e+00
1.621390e+03 1.004593e+01
1.647610e+03 1.050566e+01
1.674260e+03 1.098644e+01
1.701340e+03 1.148916e+01
1.728860e+03 1.201487e+01
1.756820e+03 1.258114e+01
1.785240e+03 1.317766e+01
1.814110e+03 1.380579e+01
1.815000e+03 1.382545e+01
1.838800e+03 1.435825e+01
1.839000e+03 2.324629e+00
1.838900e+03 1.266920e+00
1.860000e+03 1.301971e+00
1.890080e+03 1.352906e+00
1.920650e+03 1.405857e+00
1.951720e+03 1.460902e+00
1.983290e+03 1.518105e+00
2.015370e+03 1.577772e+00
2.047960e+03 1.640031e+00
2.081090e+03 1.704854e+00
2.114750e+03 1.773725e+00
2.148950e+03 1.845654e+00
2.183710e+03 1.920893e+00
2.219030e+03 1.999694e+00
2.254920e+03 2.081966e+00
2.291390e+03 2.168078e+00
2.328450e+03 2.258208e+00
2.366110e+03 2.352379e+00
2.404380e+03 2.451065e+00
2.443270e+03 2.554175e+00
2.482790e+03 2.662127e+00
2.522950e+03 2.775076e+00
2.563750e+03 2.893050e+00
2.605220e+03 3.016738e+00
2.647360e+03 3.146024e+00
2.690180e+03 3.281184e+00
2.733690e+03 3.422940e+00
2.777900e+03 3.571051e+00
2.822830e+03 3.726011e+00
2.868490e+03 3.888302e+00
2.914890e+03 4.058045e+00
2.962030e+03 4.235850e+00
3.009940e+03 4.421780e+00
3.058620e+03 4.616406e+00
3.108090e+03 4.820220e+00
3.158370e+03 5.033391e+00
3.209450e+03 5.256696e+00
3.261360e+03 5.490397e+00
3.314110e+03 5.734914e+00
3.367710e+03 5.991224e+00
3.422180e+03 6.259289e+00
3.477530e+03 6.540008e+00
3.533780e+03 6.834015e+00
3.590940e+03 7.141614e+00
3.649020e+03 7.464049e+00
3.708040e+03 7.801483e+00
3.768010e+03 8.154659e+00
3.828960e+03 8.524938e+00
3.890890e+03 8.912338e+00
3.953820e+03 9.318246e+00
4.017770e+03 9.743362e+00
4.082750e+03 1.018834e+01
4.148790e+03 1.065491e+01
4.215890e+03 1.114313e+01
4.284080e+03 1.165459e+01
4.353370e+03 1.219053e+01
4.423780e+03 1.275164e+01
4.495330e+03 1.333978e+01
4.568040e+03 1.395586e+01
4.641930e+03 1.460119e+01
4.717010e+03 1.527770e+01
4.793300e+03 1.598605e+01
4.870830e+03 1.672806e+01
4.949610e+03 1.750563e+01
5.029670e+03 1.832007e+01
5.111020e+03 1.917458e+01
5.193680e+03 2.006942e+01
5.277690e+03 2.100663e+01
5.363050e+03 2.198916e+01
5.449790e+03 2.301846e+01
5.537940e+03 2.409770e+01
5.627510e+03 2.522880e+01
5.718530e+03 2.641417e+01
5.811020e+03 2.765634e+01
5.905010e+03 2.895801e+01
6.000520e+03 3.032308e+01
6.097570e+03 3.175396e+01
6.196200e+03 3.325324e+01
6.296420e+03 3.482444e+01
6.349000e+03 3.566785e+01
6.432000e+03 3.703128e+01
6.536030e+03 3.878463e+01
6.641750e+03 4.062302e+01
6.749170e+03 4.255176e+01
6.858330e+03 4.457355e+01
6.969260e+03 4.669248e+01
7.081980e+03 4.891496e+01
7.196530e+03 5.124502e+01
7.312930e+03 5.368769e+01
7.431210e+03 5.625027e+01
7.551400e+03 5.893658e+01
7.673540e+03 6.175311e+01
7.797650e+03 6.470741e+01
7.923770e+03 6.780510e+01
8.051940e+03 7.105465e+01
8.182170e+03 7.446178e+01
8.314510e+03 7.803499e+01
8.448990e+03 8.178327e+01
8.585640e+03 8.571365e+01
8.724510e+03 8.983750e+01
8.865620e+03 9.416298e+01
9.009020e+03 9.869865e+01
9.154730e+03 1.034589e+02
9.302800e+03 1.084508e+02
9.453270e+03 1.136866e+02
9.606170e+03 1.191821e+02
9.761540e+03 1.249467e+02
9.919420e+03 1.309942e+02
1.007990e+04 1.373404e+02
1.024290e+04 1.439977e+02
1.040860e+04 1.509835e+02
1.057690e+04 1.583136e+02
1.074800e+04 1.660054e+02
1.092180e+04 1.740775e+02
1.109850e+04 1.825484e+02
1.127800e+04 1.914390e+02
1.146040e+04 2.007681e+02
1.164580e+04 2.105616e+02
1.183410e+04 2.208381e+02
1.202550e+04 2.316273e+02
1.222000e+04 2.429505e+02
1.241770e+04 2.548386e+02
1.261850e+04 2.673172e+02
1.282260e+04 2.804175e+02
1.303000e+04 2.941724e+02
1.324080e+04 3.086122e+02
1.345490e+04 3.237741e+02
1.367260e+04 3.396969e+02
1.389370e+04 3.564117e+02
1.411840e+04 3.739679e+02
1.434680e+04 3.924019e+02
1.457880e+04 4.117652e+02
1.481460e+04 4.321003e+02
1.505420e+04 4.534600e+02
1.529770e+04 4.758968e+02
1.554520e+04 4.994679e+02
1.579660e+04 5.242272e+02
1.605210e+04 5.502405e+02
1.631170e+04 5.775704e+02
1.657550e+04 6.062879e+02
1.684360e+04 6.364650e+02
1.711610e+04 6.681806e+02
1.739290e+04 7.015077e+02
1.767420e+04 7.365369e+02
1.796010e+04 7.733597e+02
1.825060e+04 8.120665e+02
1.854580e+04 8.527577e+02
1.884570e+04 8.955366e+02
1.915050e+04 9.405202e+02
1.946030e+04 9.878262e+02
1.977500e+04 1.037569e+03
2.009490e+04 1.089926e+03
2.041990e+04 1.144929e+03
2.075020e+04 1.202743e+03
2.108580e+04 1.263509e+03
2.142680e+04 1.327383e+03
2.177340e+04 1.394530e+03
2.212560e+04 1.465119e+03
2.248340e+04 1.539316e+03
2.284710e+04 1.617330e+03
2.321660e+04 1.699345e+03
2.359210e+04 1.785569e+03
2.397370e+04 1.876229e+03
2.436150e+04 1.971557e+03
2.475550e+04 2.071787e+03
2.515590e+04 2.177181e+03
2.556280e+04 2.288011e+03
2.597620e+04 2.404557e+03
2.639640e+04 2.527129e+03
2.682330e+04 2.656024e+03
2.725720e+04 2.791589e+03
2.769800e+04 2.934162e+03
2.814600e+04 3.084135e+03
2.860130e+04 3.241879e+03
2.906390e+04 3.407814e+03
2.953390e+04 3.582343e+03
3.000000e+04 3.761410e+03
