# material=Sb density=6.697
# Photon Energy [eV]  Attenuation Length [um]
1.899300e+03 7.552195e-01
1.930020e+03 7.845836e-01
1.961240e+03 8.150822e-01
1.992960e+03 8.467537e-01
2.025200e+03 8.792793e-01
2.057950e+03 9.137645e-01
2.091240e+03 9.497241e-01
2.125060e+03 9.871436e-01
2.159430e+03 1.026128e+00
2.194360e+03 1.066681e+00
2.229850e+03 1.109021e+00
2.265920e+03 1.153067e+00
2.302570e+03 1.199029e+00
2.339810e+03 1.246829e+00
2.377660e+03 1.296754e+00
2.416110e+03 1.348765e+00
2.455190e+03 1.403003e+00
2.494900e+03 1.459636e+00
2.535260e+03 1.518636e+00
2.576260e+03 1.580197e+00
2.617930e+03 1.644425e+00
2.660270e+03 1.711453e+00
2.703300e+03 1.781433e+00
2.747030e+03 1.854502e+00
2.791460e+03 1.930790e+00
2.836610e+03 2.010441e+00
2.882490e+03 2.093689e+00
2.929110e+03 2.180660e+00
2.976480e+03 2.271537e+00
3.024630e+03 2.366558e+00
3.073550e+03 2.465883e+00
3.123260e+03 2.569808e+00
3.173780e+03 2.678523e+00
3.225110e+03 2.792257e+00
3.277270e+03 2.911337e+00
3.330280e+03 3.036051e+00
3.384150e+03 3.166651e+00
3.438880e+03 3.303452e+00
3.494500e+03 3.446804e+00
3.551020e+03 3.597205e+00
3.608460e+03 3.754900e+00
3.666820e+03 3.920309e+00
3.726130e+03 4.093927e+00
3.786400e+03 4.276262e+00
3.847640e+03 4.467768e+00
3.909870e+03 4.669021e+00
3.973110e+03 4.880580e+00
4.037380e+03 5.103183e+00
4.102680e+03 5.336933e+00
4.132100e+03 5.444461e+00
4.132300e+03 1.726181e+00
4.169030e+03 1.765369e+00
4.236460e+03 1.838703e+00
4.304980e+03 1.915083e+00
4.374620e+03 1.994607e+00
4.380300e+03 2.001184e+00
4.380500e+03 1.453242e+00
4.445370e+03 1.510200e+00
4.517270e+03 1.574922e+00
4.590330e+03 1.642392e+00
4.664580e+03 1.712786e+00
4.698200e+03 1.745258e+00
4.698400e+03 1.517550e+00
4.740030e+03 1.551232e+00
4.816690e+03 1.614424e+00
4.894600e+03 1.680440e+00
4.973770e+03 1.749437e+00
5.054210e+03 1.821504e+00
5.135960e+03 1.896802e+00
5.219030e+03 1.975436e+00
5.303440e+03 2.057642e+00
5.389220e+03 2.143510e+00
5.476390e+03 2.233215e+00
5.564970e+03 2.326966e+00
5.654980e+03 2.424893e+00
5.746440e+03 2.527253e+00
5.839390e+03 2.634190e+00
5.933830e+03 2.745909e+00
6.029810e+03 2.862629e+00
6.127330e+03 2.984640e+00
6.226440e+03 3.112116e+00
6.327150e+03 3.245322e+00
6.429480e+03 3.384540e+00
6.533480e+03 3.530009e+00
6.639150e+03 3.682045e+00
6.746540e+03 3.840872e+00
6.855650e+03 4.006873e+00
6.966540e+03 4.180412e+00
7.079220e+03 4.361708e+00
7.193720e+03 4.551232e+00
7.310070e+03 4.749249e+00
7.428310e+03 4.956213e+00
7.548450e+03 5.172643e+00
7.670540e+03 5.398673e+00
7.794610e+03 5.634947e+00
7.920680e+03 5.881890e+00
8.048790e+03 6.140103e+00
8.178980e+03 6.409954e+00
8.311260e+03 6.692049e+00
8.445690e+03 6.986592e+00
8.582290e+03 7.294894e+00
8.721110e+03 7.617046e+00
8.862160e+03 7.953595e+00
9.005500e+03 8.305376e+00
9.151160e+03 8.673146e+00
9.299170e+03 9.057631e+00
9.449580e+03 9.459350e+00
9.602420e+03 9.879257e+00
9.757730e+03 1.031861e+01
9.915550e+03 1.077724e+01
1.007590e+04 1.125696e+01
1.023890e+04 1.175854e+01
1.040450e+04 1.228276e+01
1.057280e+04 1.283083e+01
1.074380e+04 1.340373e+01
1.091760e+04 1.400261e+01
1.109420e+04 1.462871e+01
1.127360e+04 1.528308e+01
1.145590e+04 1.596718e+01
1.164120e+04 1.668235e+01
1.182950e+04 1.743000e+01
1.202080e+04 1.821157e+01
1.221530e+04 1.902875e+01
1.241280e+04 1.988281e+01
1.261360e+04 2.077581e+01
1.281760e+04 2.170926e+01
1.302500e+04 2.268534e+01
1.323560e+04 2.370547e+01
1.344970e+04 2.477212e+01
1.366720e+04 2.588716e+01
1.388830e+04 2.705287e+01
1.411290e+04 2.827155e+01
1.434120e+04 2.954576e+01
1.457310e+04 3.087777e+01
1.480890e+04 3.227058e+01
1.504840e+04 3.372651e+01
1.529180e+04 3.524877e+01
1.553910e+04 3.684006e+01
1.579040e+04 3.850385e+01
1.604580e+04 4.024339e+01
1.630540e+04 4.206256e+01
1.656910e+04 4.396393e+01
1.683710e+04 4.595227e+01
1.710940e+04 4.803101e+01
1.738610e+04 5.020458e+01
1.766740e+04 5.247729e+01
1.795310e+04 5.485354e+01
1.824350e+04 5.733840e+01
1.853860e+04 5.993618e+01
1.883840e+04 6.265274e+01
1.914310e+04 6.549361e+01
1.945270e+04 6.846384e+01
1.976740e+04 7.156994e+01
2.008710e+04 7.481838e+01
2.041200e+04 7.821521e+01
2.074210e+04 8.176653e+01
2.107760e+04 8.548190e+01
2.141850e+04 8.936673e+01
2.176500e+04 9.342990e+01
2.211700e+04 9.767941e+01
2.247470e+04 1.021236e+02
2.283820e+04 1.067723e+02
2.320760e+04 1.116345e+02
2.358300e+04 1.167206e+02
2.396440e+04 1.220404e+02
2.435200e+04 1.276056e+02
2.474590e+04 1.334275e+02
2.514620e+04 1.395182e+02
2.555290e+04 1.458898e+02
2.596620e+04 1.525563e+02
2.638610e+04 1.595311e+02
2.681290e+04 1.668296e+02
2.724660e+04 1.744668e+02
2.768730e+04 1.824586e+02
2.813510e+04 1.908223e+02
2.859020e+04 1.995757e+02
2.905260e+04 2.087370e+02
2.952250e+04 2.183265e+02
3.000000e+04 2.283646e+02
