# material=U density=19.05
# Photon Energy [eV]  Attenuation Length [um]
2.125060e+03 3.322573e-01
2.159430e+03 3.443250e-01
2.194360e+03 3.568351e-01
2.229850e+03 3.697957e-01
2.265920e+03 3.832303e-01
2.302570e+03 3.974773e-01
2.339810e+03 4.125839e-01
2.377660e+03 4.282663e-01
2.416110e+03 4.445439e-01
2.455190e+03 4.614386e-01
2.494900e+03 4.789763e-01
2.535260e+03 4.971849e-01
2.576260e+03 5.160812e-01
2.617930e+03 5.356972e-01
2.660270e+03 5.560563e-01
2.703300e+03 5.771911e-01
2.747030e+03 5.991293e-01
2.791460e+03 6.219022e-01
2.836610e+03 6.455423e-01
2.882490e+03 6.700756e-01
2.929110e+03 6.955447e-01
2.976480e+03 7.219781e-01
3.024630e+03 7.490090e-01
3.073550e+03 7.768871e-01
3.123260e+03 8.058121e-01
3.173780e+03 8.358113e-01
3.225110e+03 8.690924e-01
3.277270e+03 9.078914e-01
3.330280e+03 9.484230e-01
3.384150e+03 9.907609e-01
3.438880e+03 1.034982e+00
3.494500e+03 1.081186e+00
3.551020e+03 1.129446e+00
3.551600e+03 1.129949e+00
3.551800e+03 4.409472e-01
3.608460e+03 4.689059e-01
3.666820e+03 4.990617e-01
3.726130e+03 5.238432e-01
3.727500e+03 5.244256e-01
3.727700e+03 3.916696e-01
3.786400e+03 4.036302e-01
3.847640e+03 4.162919e-01
3.909870e+03 4.293530e-01
3.973110e+03 4.410490e-01
4.037380e+03 4.515990e-01
4.102680e+03 4.626818e-01
4.169030e+03 4.771101e-01
4.236460e+03 4.919869e-01
4.303300e+03 5.069504e-01
4.303500e+03 4.380285e-01
4.304980e+03 4.383685e-01
4.374620e+03 4.545476e-01
4.445370e+03 4.713214e-01
4.517270e+03 4.887170e-01
4.590330e+03 5.073201e-01
4.664580e+03 5.273823e-01
4.740030e+03 5.473313e-01
4.816690e+03 5.652282e-01
4.894600e+03 5.837111e-01
4.973770e+03 6.028004e-01
5.054210e+03 6.225095e-01
5.135960e+03 6.428661e-01
5.182100e+03 6.545016e-01
5.182300e+03 6.251899e-01
5.219030e+03 6.347010e-01
5.303440e+03 6.568491e-01
5.389220e+03 6.797704e-01
5.476390e+03 7.034932e-01
5.564970e+03 7.280442e-01
5.654980e+03 7.534470e-01
5.746440e+03 7.816902e-01
5.839390e+03 8.117189e-01
5.933830e+03 8.429038e-01
6.029810e+03 8.752845e-01
6.127330e+03 9.089067e-01
6.226440e+03 9.438216e-01
6.327150e+03 9.800813e-01
6.429480e+03 1.015140e+00
6.533480e+03 1.050183e+00
6.639150e+03 1.086436e+00
6.746540e+03 1.123935e+00
6.855650e+03 1.162734e+00
6.966540e+03 1.202867e+00
7.079220e+03 1.244393e+00
7.193720e+03 1.287352e+00
7.310070e+03 1.331787e+00
7.428310e+03 1.377759e+00
7.548450e+03 1.431984e+00
7.670540e+03 1.495759e+00
7.794610e+03 1.562369e+00
7.920680e+03 1.631935e+00
8.048790e+03 1.704613e+00
8.178980e+03 1.780063e+00
8.311260e+03 1.848718e+00
8.445690e+03 1.920014e+00
8.582290e+03 1.994060e+00
8.721110e+03 2.070976e+00
8.862160e+03 2.159015e+00
9.005500e+03 2.260595e+00
9.151160e+03 2.366975e+00
9.299170e+03 2.466139e+00
9.449580e+03 2.551932e+00
9.602420e+03 2.465760e+00
9.757730e+03 2.542180e+00
9.915550e+03 2.648932e+00
1.007590e+04 2.761077e+00
1.023890e+04 2.878287e+00
1.040450e+04 3.000777e+00
1.057280e+04 3.128818e+00
1.074380e+04 3.262618e+00
1.091760e+04 3.402495e+00
1.109420e+04 3.548705e+00
1.127360e+04 3.701538e+00
1.145590e+04 3.861310e+00
1.164120e+04 4.028373e+00
1.182950e+04 4.203054e+00
1.202080e+04 4.385688e+00
1.221530e+04 4.576722e+00
1.241280e+04 4.776436e+00
1.261360e+04 4.985365e+00
1.281760e+04 5.203863e+00
1.302500e+04 5.432463e+00
1.323560e+04 5.671543e+00
1.344970e+04 5.921698e+00
1.366720e+04 6.183412e+00
1.388830e+04 6.457286e+00
1.411290e+04 6.743858e+00
1.434120e+04 7.043797e+00
1.457310e+04 7.357694e+00
1.480890e+04 7.686324e+00
1.504840e+04 8.030311e+00
1.529180e+04 8.390453e+00
1.553910e+04 8.767526e+00
1.579040e+04 9.162408e+00
1.604580e+04 9.575974e+00
1.630540e+04 1.000922e+01
1.656910e+04 1.046298e+01
1.683710e+04 1.093842e+01
1.710940e+04 1.143656e+01
1.716620e+04 1.154226e+01
1.716640e+04 4.767428e+00
1.738610e+04 4.933651e+00
1.766740e+04 5.151724e+00
1.795310e+04 5.379334e+00
1.824350e+04 5.617041e+00
1.853860e+04 5.865247e+00
1.883840e+04 6.124398e+00
1.914310e+04 6.395006e+00
1.945270e+04 6.677555e+00
1.976740e+04 6.972617e+00
2.008710e+04 7.280679e+00
2.041200e+04 7.602359e+00
2.074210e+04 7.938214e+00
2.094750e+04 8.151814e+00
2.094770e+04 5.750655e+00
2.107760e+04 5.842056e+00
2.141850e+04 6.086126e+00
2.175730e+04 6.334676e+00
2.175750e+04 5.578371e+00
2.176500e+04 5.582945e+00
2.211700e+04 5.802461e+00
2.247470e+04 6.031777e+00
2.283820e+04 6.271383e+00
2.320760e+04 6.521609e+00
2.358300e+04 6.783093e+00
2.396440e+04 7.056151e+00
2.435200e+04 7.341398e+00
2.474590e+04 7.639393e+00
2.514620e+04 7.950696e+00
2.555290e+04 8.275853e+00
2.596620e+04 8.615536e+00
2.638610e+04 8.970347e+00
2.681290e+04 9.341030e+00
2.724660e+04 9.728262e+00
2.768730e+04 1.013278e+01
2.813510e+04 1.055535e+01
2.859020e+04 1.099681e+01
2.905260e+04 1.145798e+01
2.952250e+04 1.193978e+01
3.000000e+04 1.244309e+01
