# material=Tc density=11.5
# Photon Energy [eV]  Attenuation Length [um]
1.281760e+04 1.957504e+01
1.302500e+04 2.046338e+01
1.323560e+04 2.139204e+01
1.344970e+04 2.236348e+01
1.366720e+04 2.337933e+01
1.388830e+04 2.444197e+01
1.411290e+04 2.555318e+01
1.434120e+04 2.671586e+01
1.457310e+04 2.793153e+01
1.480890e+04 2.920353e+01
1.504840e+04 3.053379e+01
1.529180e+04 3.192548e+01
1.553910e+04 3.338121e+01
1.579040e+04 3.490420e+01
1.604580e+04 3.649761e+01
1.630540e+04 3.816486e+01
1.656910e+04 3.990905e+01
1.683710e+04 4.173412e+01
1.710940e+04 4.364380e+01
1.738610e+04 4.564209e+01
1.766740e+04 4.773372e+01
1.795310e+04 4.992222e+01
1.824350e+04 5.221301e+01
1.853860e+04 5.461074e+01
1.883840e+04 5.712027e+01
1.914310e+04 5.974742e+01
1.945270e+04 6.249758e+01
1.976740e+04 6.537736e+01
2.008710e+04 6.839206e+01
2.041200e+04 7.154904e+01
2.074210e+04 7.485484e+01
2.104390e+04 7.796154e+01
2.104410e+04 1.165559e+01
2.107760e+04 1.170285e+01
2.141850e+04 1.219012e+01
2.176500e+04 1.269984e+01
2.211700e+04 1.323298e+01
2.247470e+04 1.379068e+01
2.283820e+04 1.437409e+01
2.320760e+04 1.498441e+01
2.358300e+04 1.562289e+01
2.396440e+04 1.629085e+01
2.435200e+04 1.698966e+01
2.474590e+04 1.772082e+01
2.514620e+04 1.848585e+01
2.555290e+04 1.928625e+01
2.596620e+04 2.012379e+01
2.638610e+04 2.100013e+01
2.681290e+04 2.191718e+01
2.724660e+04 2.287688e+01
2.768730e+04 2.388118e+01
2.813510e+04 2.493217e+01
2.859020e+04 2.603227e+01
2.905260e+04 2.718346e+01
2.952250e+04 2.838833e+01
3.000000e+04 2.964954e+01
