# material=Sn density=7.31
# Photon Energy [eV]  Attenuation Length [um]
6.277550e+02 9.347266e-02
6.379080e+02 9.577078e-02
6.482260e+02 9.801229e-02
6.587110e+02 1.001079e-01
6.693650e+02 1.022481e-01
6.801910e+02 1.044342e-01
6.911930e+02 1.072004e-01
7.023720e+02 1.109074e-01
7.137330e+02 1.094366e-01
7.252770e+02 1.055936e-01
7.370080e+02 1.018860e-01
7.489280e+02 1.005392e-01
7.610420e+02 1.020256e-01
7.733510e+02 1.035340e-01
7.858590e+02 1.059033e-01
7.985700e+02 1.085602e-01
8.114860e+02 1.112835e-01
8.246110e+02 1.140754e-01
8.379490e+02 1.172210e-01
8.515020e+02 1.206353e-01
8.652740e+02 1.241492e-01
8.792690e+02 1.277651e-01
8.934910e+02 1.314863e-01
9.079430e+02 1.347901e-01
9.226280e+02 1.381034e-01
9.375510e+02 1.414990e-01
9.527150e+02 1.449771e-01
9.681240e+02 1.485414e-01
9.837830e+02 1.559719e-01
9.996950e+02 1.656405e-01
1.015860e+03 1.714204e-01
1.032290e+03 1.777803e-01
1.048990e+03 1.844183e-01
1.065960e+03 1.913461e-01
1.083200e+03 1.985345e-01
1.100720e+03 2.059936e-01
1.118520e+03 2.137308e-01
1.136610e+03 2.217608e-01
1.155000e+03 2.300939e-01
1.173680e+03 2.387375e-01
1.192660e+03 2.477071e-01
1.211950e+03 2.570125e-01
1.231550e+03 2.666656e-01
1.251470e+03 2.766792e-01
1.271720e+03 2.870633e-01
1.292290e+03 2.978246e-01
1.313190e+03 3.089926e-01
1.334430e+03 3.205795e-01
1.356010e+03 3.325984e-01
1.377940e+03 3.450723e-01
1.400230e+03 3.580119e-01
1.422880e+03 3.714367e-01
1.445890e+03 3.853626e-01
1.469280e+03 3.997999e-01
1.493040e+03 4.147577e-01
1.517190e+03 4.301897e-01
1.541730e+03 4.461793e-01
1.566670e+03 4.627670e-01
1.592010e+03 4.799690e-01
1.617760e+03 4.978166e-01
1.643920e+03 5.163323e-01
1.670510e+03 5.355189e-01
1.697530e+03 5.554246e-01
1.724990e+03 5.760829e-01
1.752890e+03 5.978694e-01
1.781240e+03 6.206154e-01
1.810050e+03 6.443297e-01
1.839320e+03 6.689410e-01
1.869070e+03 6.944934e-01
1.899300e+03 7.210411e-01
1.930020e+03 7.485953e-01
1.961240e+03 7.771974e-01
1.992960e+03 8.068862e-01
2.025200e+03 8.373218e-01
2.057950e+03 8.697102e-01
2.091240e+03 9.035322e-01
2.125060e+03 9.387371e-01
2.159430e+03 9.754600e-01
2.194360e+03 1.013704e+00
2.229850e+03 1.053600e+00
2.265920e+03 1.095125e+00
2.302570e+03 1.138483e+00
2.339810e+03 1.183715e+00
2.377660e+03 1.230859e+00
2.416110e+03 1.280071e+00
2.455190e+03 1.331396e+00
2.494900e+03 1.385010e+00
2.535260e+03 1.440966e+00
2.576260e+03 1.499395e+00
2.617930e+03 1.560415e+00
2.660270e+03 1.624157e+00
2.703300e+03 1.690781e+00
2.747030e+03 1.760403e+00
2.791460e+03 1.833183e+00
2.836610e+03 1.909278e+00
2.882490e+03 1.988894e+00
2.929110e+03 2.072193e+00
2.976480e+03 2.159362e+00
3.024630e+03 2.250633e+00
3.073550e+03 2.346188e+00
3.123260e+03 2.446318e+00
3.173780e+03 2.551246e+00
3.225110e+03 2.661210e+00
3.277270e+03 2.776536e+00
3.330280e+03 2.897577e+00
3.384150e+03 3.024572e+00
3.438880e+03 3.157898e+00
3.494500e+03 3.297885e+00
3.551020e+03 3.445033e+00
3.608460e+03 3.599816e+00
3.666820e+03 3.762456e+00
3.726130e+03 3.933611e+00
3.786400e+03 4.113916e+00
3.847640e+03 4.303890e+00
3.909870e+03 4.504064e+00
3.928700e+03 4.565798e+00
3.928900e+03 1.401765e+00
3.973110e+03 1.442978e+00
4.037380e+03 1.504217e+00
4.102680e+03 1.568042e+00
4.156000e+03 1.621385e+00
4.156200e+03 1.180407e+00
4.169030e+03 1.189716e+00
4.236460e+03 1.239348e+00
4.304980e+03 1.290973e+00
4.374620e+03 1.344666e+00
4.445370e+03 1.400766e+00
4.464600e+03 1.416250e+00
4.464800e+03 1.256796e+00
4.517270e+03 1.291873e+00
4.590330e+03 1.341629e+00
4.664580e+03 1.393633e+00
4.740030e+03 1.448036e+00
