# material=W density=19.25
# Photon Energy [eV]  Attenuation Length [um]
1.065950e+03 1.490199e-01
1.083190e+03 1.538909e-01
1.100710e+03 1.589229e-01
1.118510e+03 1.641210e-01
1.136600e+03 1.694941e-01
1.154980e+03 1.750437e-01
1.173670e+03 1.807785e-01
1.192650e+03 1.867012e-01
1.211940e+03 1.928185e-01
1.231540e+03 1.991393e-01
1.251460e+03 2.057720e-01
1.271700e+03 2.127437e-01
1.292270e+03 2.201064e-01
1.313170e+03 2.277182e-01
1.334410e+03 2.355977e-01
1.355990e+03 2.437599e-01
1.377930e+03 2.522088e-01
1.400210e+03 2.609527e-01
1.422860e+03 2.700007e-01
1.445870e+03 2.793634e-01
1.469260e+03 2.890730e-01
1.493020e+03 2.991550e-01
1.517170e+03 3.096948e-01
1.541710e+03 3.206245e-01
1.566650e+03 3.319404e-01
1.591990e+03 3.436653e-01
1.617740e+03 3.558135e-01
1.643900e+03 3.683862e-01
1.670490e+03 3.814288e-01
1.697510e+03 3.949337e-01
1.724970e+03 4.089110e-01
1.752870e+03 4.235668e-01
1.781220e+03 4.387894e-01
1.809100e+03 4.540476e-01
1.809300e+03 1.498331e-01
1.810030e+03 1.499521e-01
1.839300e+03 1.547714e-01
1.869050e+03 1.597464e-01
1.871500e+03 1.601590e-01
1.871700e+03 1.080772e-01
1.899280e+03 1.119874e-01
1.930000e+03 1.164391e-01
1.961220e+03 1.210682e-01
1.992940e+03 1.258820e-01
2.000000e+03 1.269690e-01
2.026000e+03 1.309862e-01
2.052000e+03 1.351132e-01
2.079000e+03 1.394764e-01
2.106000e+03 1.439221e-01
2.134000e+03 1.486156e-01
2.161000e+03 1.532320e-01
2.190000e+03 1.582797e-01
2.218000e+03 1.632448e-01
2.247000e+03 1.684844e-01
2.277000e+03 1.740103e-01
2.280900e+03 1.747366e-01
2.281100e+03 1.499498e-01
2.306000e+03 1.542117e-01
2.337000e+03 1.596205e-01
2.367000e+03 1.649676e-01
2.398000e+03 1.705985e-01
2.429000e+03 1.763507e-01
2.461000e+03 1.824115e-01
2.493000e+03 1.885886e-01
2.526000e+03 1.950999e-01
2.559000e+03 2.017393e-01
2.574800e+03 2.049664e-01
2.575000e+03 1.918910e-01
2.592000e+03 1.950821e-01
2.626000e+03 2.015594e-01
2.660000e+03 2.081565e-01
2.695000e+03 2.150727e-01
2.730000e+03 2.221315e-01
2.766000e+03 2.295333e-01
2.802000e+03 2.370788e-01
2.819500e+03 2.408002e-01
2.819700e+03 2.305069e-01
2.839000e+03 2.342686e-01
2.876000e+03 2.415774e-01
2.914000e+03 2.492443e-01
2.952000e+03 2.570576e-01
2.990000e+03 2.650416e-01
3.029000e+03 2.733881e-01
3.069000e+03 2.821339e-01
3.109000e+03 2.910696e-01
3.150000e+03 3.004116e-01
3.191000e+03 3.099351e-01
3.232000e+03 3.196716e-01
3.275000e+03 3.300729e-01
3.317000e+03 3.404471e-01
3.361000e+03 3.515338e-01
3.405000e+03 3.628447e-01
3.449000e+03 3.744000e-01
3.494000e+03 3.864306e-01
3.540000e+03 3.990122e-01
3.586000e+03 4.118346e-01
3.633000e+03 4.251978e-01
3.680000e+03 4.388388e-01
3.729000e+03 4.533384e-01
3.777000e+03 4.678475e-01
3.827000e+03 4.832620e-01
3.877000e+03 4.989822e-01
3.927000e+03 5.150206e-01
3.979000e+03 5.320573e-01
4.031000e+03 5.494409e-01
4.083000e+03 5.671702e-01
4.137000e+03 5.859654e-01
4.191000e+03 6.051404e-01
4.245000e+03 6.246979e-01
4.301000e+03 6.454060e-01
4.357000e+03 6.665372e-01
4.414000e+03 6.884836e-01
4.472000e+03 7.112716e-01
4.530000e+03 7.345291e-01
4.589000e+03 7.586769e-01
4.649000e+03 7.837315e-01
4.710000e+03 8.097315e-01
4.771000e+03 8.362645e-01
4.834000e+03 8.642344e-01
4.897000e+03 8.927920e-01
4.961000e+03 9.223994e-01
5.026000e+03 9.530760e-01
5.091000e+03 9.843937e-01
5.158000e+03 1.017336e+00
5.225000e+03 1.050983e+00
5.294000e+03 1.086343e+00
5.363000e+03 1.122444e+00
5.433000e+03 1.159823e+00
5.504000e+03 1.198531e+00
5.576000e+03 1.238584e+00
5.649000e+03 1.280082e+00
5.722000e+03 1.322403e+00
5.797000e+03 1.366802e+00
5.873000e+03 1.412747e+00
5.950000e+03 1.460253e+00
6.027000e+03 1.508766e+00
6.106000e+03 1.559545e+00
6.186000e+03 1.612101e+00
6.267000e+03 1.666392e+00
6.349000e+03 1.722564e+00
6.432000e+03 1.780565e+00
6.516000e+03 1.840561e+00
6.601000e+03 1.902486e+00
6.687000e+03 1.966462e+00
6.774000e+03 2.032614e+00
6.863000e+03 2.101676e+00
6.952000e+03 2.172231e+00
7.043000e+03 2.245843e+00
7.135000e+03 2.321843e+00
