# material=Fe density=7.874
# Photon Energy [eV]  Attenuation Length [um]
1.480890e+04 2.179510e+01
1.504840e+04 2.279900e+01
1.529180e+04 2.385061e+01
1.553910e+04 2.495238e+01
1.579040e+04 2.610683e+01
1.604580e+04 2.731667e+01
1.630540e+04 2.858440e+01
1.656910e+04 2.991265e+01
1.683710e+04 3.130465e+01
1.710940e+04 3.276332e+01
1.738610e+04 3.429196e+01
1.766740e+04 3.589428e+01
1.795310e+04 3.757333e+01
1.824350e+04 3.933328e+01
1.853860e+04 4.117794e+01
1.883840e+04 4.311130e+01
1.914310e+04 4.513795e+01
1.945270e+04 4.726224e+01
1.976740e+04 4.948931e+01
2.008710e+04 5.182370e+01
2.041200e+04 5.427100e+01
2.074210e+04 5.683642e+01
2.107760e+04 5.952628e+01
2.141850e+04 6.234618e+01
2.176500e+04 6.530312e+01
2.211700e+04 6.840304e+01
2.247470e+04 7.165332e+01
2.283820e+04 7.506145e+01
2.320760e+04 7.863517e+01
2.358300e+04 8.238285e+01
2.396440e+04 8.631241e+01
2.435200e+04 9.043329e+01
2.474590e+04 9.475509e+01
2.514620e+04 9.928753e+01
2.555290e+04 1.040407e+02
2.596620e+04 1.090257e+02
2.638610e+04 1.142539e+02
2.681290e+04 1.197377e+02
2.724660e+04 1.254895e+02
2.768730e+04 1.315227e+02
2.813510e+04 1.378510e+02
2.859020e+04 1.444891e+02
2.905260e+04 1.514522e+02
2.952250e+04 1.587572e+02
3.000000e+04 1.664197e+02
