# material=Yb density=6.57
# Photon Energy [eV]  Attenuation Length [um]
2.159430e+03 4.572631e-01
2.172900e+03 4.645364e-01
2.173100e+03 4.349855e-01
2.194360e+03 4.455954e-01
2.229850e+03 4.636462e-01
2.265920e+03 4.824125e-01
2.302570e+03 5.019274e-01
2.339810e+03 5.222052e-01
2.377660e+03 5.353217e-01
2.398000e+03 5.424163e-01
2.398200e+03 5.316237e-01
2.416110e+03 5.410669e-01
2.455190e+03 5.620061e-01
2.494900e+03 5.837867e-01
2.535260e+03 6.064531e-01
2.576260e+03 6.300534e-01
2.617930e+03 6.546063e-01
2.660270e+03 6.801683e-01
2.703300e+03 7.067574e-01
2.747030e+03 7.344594e-01
2.791460e+03 7.632667e-01
2.836610e+03 7.932651e-01
2.882490e+03 8.244740e-01
2.929110e+03 8.569709e-01
2.976480e+03 8.907792e-01
3.024630e+03 9.259947e-01
3.073550e+03 9.626168e-01
3.123260e+03 1.000755e+00
3.173780e+03 1.040421e+00
3.225110e+03 1.081724e+00
3.277270e+03 1.124787e+00
3.330280e+03 1.169564e+00
3.384150e+03 1.216195e+00
3.438880e+03 1.264693e+00
3.494500e+03 1.315186e+00
3.551020e+03 1.367819e+00
3.608460e+03 1.422618e+00
3.666820e+03 1.479597e+00
3.726130e+03 1.539061e+00
3.786400e+03 1.600900e+00
3.847640e+03 1.665230e+00
3.909870e+03 1.732290e+00
3.973110e+03 1.802126e+00
4.037380e+03 1.874878e+00
4.102680e+03 1.950602e+00
4.169030e+03 2.029492e+00
4.236460e+03 2.111671e+00
4.304980e+03 2.197253e+00
4.374620e+03 2.286401e+00
4.445370e+03 2.379247e+00
4.517270e+03 2.475932e+00
4.590330e+03 2.576720e+00
4.664580e+03 2.681628e+00
4.740030e+03 2.790963e+00
4.816690e+03 2.904856e+00
4.894600e+03 3.023539e+00
4.973770e+03 3.147178e+00
5.054210e+03 3.275951e+00
5.135960e+03 3.410159e+00
5.219030e+03 3.549967e+00
5.303440e+03 3.695668e+00
5.389220e+03 3.847530e+00
5.476390e+03 4.005757e+00
5.564970e+03 4.170628e+00
5.654980e+03 4.342490e+00
5.746440e+03 4.521598e+00
5.839390e+03 4.708311e+00
5.933830e+03 4.902878e+00
6.029810e+03 5.105813e+00
6.127330e+03 5.317315e+00
6.226440e+03 5.537703e+00
6.327150e+03 5.767532e+00
6.429480e+03 6.007224e+00
6.533480e+03 6.257235e+00
6.639150e+03 6.517902e+00
6.746540e+03 6.789714e+00
6.855650e+03 7.073051e+00
6.966540e+03 7.368831e+00
7.079220e+03 7.677461e+00
7.193720e+03 7.999175e+00
7.310070e+03 8.335188e+00
7.428310e+03 8.685582e+00
7.548450e+03 9.051111e+00
7.670540e+03 9.433012e+00
7.794610e+03 9.831219e+00
7.920680e+03 1.024681e+01
8.048790e+03 1.068123e+01
8.178980e+03 1.113485e+01
8.311260e+03 1.160810e+01
8.445690e+03 1.210284e+01
8.582290e+03 1.261912e+01
8.721110e+03 1.315883e+01
8.862160e+03 1.372224e+01
8.943500e+03 1.405377e+01
8.943700e+03 5.131665e+00
9.005500e+03 5.233621e+00
9.151160e+03 5.479087e+00
9.299170e+03 5.735993e+00
9.449580e+03 6.005100e+00
9.602420e+03 6.286968e+00
9.757730e+03 6.581706e+00
9.915550e+03 6.890509e+00
9.978100e+03 7.015426e+00
9.978300e+03 5.015360e+00
1.007590e+04 5.155836e+00
1.023890e+04 5.395983e+00
1.040450e+04 5.647355e+00
1.048630e+04 5.774226e+00
1.048650e+04 5.035334e+00
1.057280e+04 5.139505e+00
1.074380e+04 5.349685e+00
1.091760e+04 5.569278e+00
1.109420e+04 5.798592e+00
1.127360e+04 6.038131e+00
1.145590e+04 6.288271e+00
1.164120e+04 6.549610e+00
1.182950e+04 6.822613e+00
1.202080e+04 7.107686e+00
1.221530e+04 7.405566e+00
1.241280e+04 7.716647e+00
1.261360e+04 8.041665e+00
1.281760e+04 8.381137e+00
1.302500e+04 8.735830e+00
1.323560e+04 9.106247e+00
1.344970e+04 9.493273e+00
1.366720e+04 9.897550e+00
1.388830e+04 1.031994e+01
1.411290e+04 1.076117e+01
1.434120e+04 1.122217e+01
1.457310e+04 1.170373e+01
1.480890e+04 1.220694e+01
1.504840e+04 1.273261e+01
1.529180e+04 1.328181e+01
1.553910e+04 1.385559e+01
1.579040e+04 1.445509e+01
1.604580e+04 1.508146e+01
1.630540e+04 1.573599e+01
1.656910e+04 1.641980e+01
1.683710e+04 1.713429e+01
1.710940e+04 1.788080e+01
1.738610e+04 1.866082e+01
1.766740e+04 1.947601e+01
1.795310e+04 2.032764e+01
1.824350e+04 2.121761e+01
1.853860e+04 2.214755e+01
1.883840e+04 2.311919e+01
1.914310e+04 2.413458e+01
1.945270e+04 2.519559e+01
1.976740e+04 2.630447e+01
2.008710e+04 2.746308e+01
2.041200e+04 2.867387e+01
2.074210e+04 2.993908e+01
2.107760e+04 3.126135e+01
2.141850e+04 3.264305e+01
2.176500e+04 3.408724e+01
2.211700e+04 3.559621e+01
2.247470e+04 3.717320e+01
