# material=C density=2.267
# Photon Energy [eV]  Attenuation Length [um]
6.801910e+02 7.005245e-01
6.911930e+02 7.280909e-01
7.023720e+02 7.564872e-01
7.137330e+02 7.885491e-01
7.252770e+02 8.238146e-01
7.370080e+02 8.606504e-01
7.489280e+02 8.991299e-01
7.610420e+02 9.393354e-01
7.733510e+02 9.813481e-01
7.858590e+02 1.025261e+00
7.985700e+02 1.071159e+00
8.114860e+02 1.119121e+00
8.246110e+02 1.169221e+00
8.379490e+02 1.221552e+00
8.515020e+02 1.276392e+00
8.652740e+02 1.333894e+00
8.792690e+02 1.394173e+00
8.934910e+02 1.457160e+00
9.079430e+02 1.522990e+00
9.226280e+02 1.591783e+00
9.375510e+02 1.664053e+00
9.527150e+02 1.739669e+00
9.681240e+02 1.818776e+00
9.837830e+02 1.901534e+00
9.996950e+02 1.988026e+00
1.015860e+03 2.078406e+00
1.032290e+03 2.172688e+00
1.048990e+03 2.272292e+00
1.065960e+03 2.377641e+00
1.083200e+03 2.487763e+00
1.100720e+03 2.603058e+00
1.118520e+03 2.723794e+00
1.136610e+03 2.850002e+00
1.155000e+03 2.982088e+00
1.173680e+03 3.120291e+00
1.192660e+03 3.264825e+00
1.211950e+03 3.416102e+00
1.231550e+03 3.574426e+00
1.251470e+03 3.741068e+00
1.271720e+03 3.916644e+00
1.292290e+03 4.101929e+00
1.313190e+03 4.295849e+00
1.334430e+03 4.498978e+00
1.356010e+03 4.711747e+00
1.377940e+03 4.934537e+00
1.400230e+03 5.167907e+00
1.422880e+03 5.412351e+00
1.445890e+03 5.668301e+00
1.469280e+03 5.936602e+00
1.493040e+03 6.217962e+00
1.517190e+03 6.514324e+00
1.541730e+03 6.825050e+00
1.566670e+03 7.150675e+00
1.592010e+03 7.491809e+00
1.617760e+03 7.849215e+00
1.643920e+03 8.223616e+00
1.670510e+03 8.615912e+00
1.697530e+03 9.026919e+00
1.724990e+03 9.457428e+00
1.752890e+03 9.911525e+00
1.781240e+03 1.038852e+01
1.810050e+03 1.088937e+01
1.839320e+03 1.141425e+01
1.869070e+03 1.196443e+01
1.899300e+03 1.254109e+01
1.930020e+03 1.314559e+01
1.961240e+03 1.377925e+01
1.992960e+03 1.444347e+01
2.025200e+03 1.513466e+01
2.057950e+03 1.586747e+01
2.091240e+03 1.663651e+01
2.125060e+03 1.744331e+01
2.159430e+03 1.829017e+01
2.194360e+03 1.917888e+01
2.229850e+03 2.011175e+01
2.265920e+03 2.109068e+01
2.302570e+03 2.211824e+01
2.339810e+03 2.319645e+01
2.377660e+03 2.432955e+01
2.416110e+03 2.551772e+01
2.455190e+03 2.676523e+01
2.494900e+03 2.807571e+01
2.535260e+03 2.945094e+01
2.576260e+03 3.089438e+01
2.617930e+03 3.241160e+01
2.660270e+03 3.400233e+01
2.703300e+03 3.567557e+01
2.747030e+03 3.743198e+01
2.791460e+03 3.927604e+01
2.836610e+03 4.121072e+01
2.882490e+03 4.324810e+01
2.929110e+03 4.538341e+01
2.976480e+03 4.762827e+01
3.024630e+03 4.998674e+01
3.073550e+03 5.246462e+01
3.123260e+03 5.506797e+01
3.173780e+03 5.780369e+01
3.225110e+03 6.067786e+01
3.277270e+03 6.369879e+01
3.330280e+03 6.687399e+01
3.384150e+03 7.021079e+01
3.438880e+03 7.371822e+01
3.494500e+03 7.740550e+01
3.551020e+03 8.128212e+01
3.608460e+03 8.535892e+01
3.666820e+03 8.964430e+01
3.726130e+03 9.415081e+01
3.786400e+03 9.889020e+01
3.847640e+03 1.038768e+02
3.909870e+03 1.091192e+02
3.973110e+03 1.146348e+02
4.037380e+03 1.203945e+02
4.102680e+03 1.264945e+02
4.169030e+03 1.329122e+02
4.236460e+03 1.396585e+02
4.304980e+03 1.467579e+02
4.374620e+03 1.542239e+02
4.445370e+03 1.620737e+02
4.517270e+03 1.703345e+02
4.590330e+03 1.790253e+02
4.664580e+03 1.881727e+02
4.740030e+03 1.977928e+02
4.816690e+03 2.079135e+02
4.894600e+03 2.185638e+02
4.973770e+03 2.297708e+02
5.054210e+03 2.415623e+02
5.135960e+03 2.539749e+02
5.219030e+03 2.670311e+02
5.303440e+03 2.807794e+02
