# material=Sm density=7.353
# Photon Energy [eV]  Attenuation Length [um]
2.194360e+03 5.099627e-01
2.229850e+03 5.298695e-01
2.265920e+03 5.505858e-01
2.302570e+03 5.721507e-01
2.339810e+03 5.946121e-01
2.377660e+03 6.180151e-01
2.416110e+03 6.423785e-01
2.455190e+03 6.677441e-01
2.494900e+03 6.941620e-01
2.535260e+03 7.216673e-01
2.576260e+03 7.503028e-01
2.617930e+03 7.801307e-01
2.660270e+03 8.111778e-01
2.703300e+03 8.435335e-01
2.747030e+03 8.771918e-01
2.791460e+03 9.122769e-01
2.836610e+03 9.487714e-01
2.882490e+03 9.868235e-01
2.929110e+03 1.026378e+00
2.976480e+03 1.067612e+00
3.024630e+03 1.110556e+00
3.073550e+03 1.155317e+00
3.123260e+03 1.201893e+00
3.173780e+03 1.250355e+00
3.225110e+03 1.300866e+00
3.277270e+03 1.353451e+00
3.330280e+03 1.408231e+00
3.384150e+03 1.465283e+00
3.438880e+03 1.524696e+00
3.494500e+03 1.586558e+00
3.551020e+03 1.650998e+00
3.608460e+03 1.718126e+00
3.666820e+03 1.788021e+00
3.726130e+03 1.860820e+00
3.786400e+03 1.936661e+00
3.847640e+03 2.015640e+00
3.909870e+03 2.097907e+00
3.973110e+03 2.183601e+00
4.037380e+03 2.272856e+00
4.102680e+03 2.365821e+00
4.169030e+03 2.462708e+00
4.236460e+03 2.563588e+00
4.304980e+03 2.668727e+00
4.374620e+03 2.778234e+00
4.445370e+03 2.892328e+00
4.517270e+03 3.011208e+00
4.590330e+03 3.135027e+00
4.664580e+03 3.264118e+00
4.740030e+03 3.398592e+00
4.816690e+03 3.538710e+00
4.894600e+03 3.684770e+00
4.973770e+03 3.836890e+00
5.054210e+03 3.995466e+00
5.135960e+03 4.160803e+00
5.219030e+03 4.333091e+00
5.303440e+03 4.512645e+00
5.389220e+03 4.699791e+00
5.476390e+03 4.894980e+00
5.564970e+03 5.098354e+00
5.654980e+03 5.310511e+00
5.746440e+03 5.531516e+00
5.839390e+03 5.762194e+00
5.933830e+03 6.002618e+00
6.029810e+03 6.253357e+00
6.127330e+03 6.515184e+00
6.226440e+03 6.788019e+00
6.327150e+03 7.072602e+00
6.429480e+03 7.369441e+00
6.533480e+03 7.679304e+00
6.639150e+03 8.002306e+00
6.716100e+03 8.242625e+00
6.716300e+03 2.841120e+00
6.746540e+03 2.878619e+00
6.855650e+03 3.016690e+00
6.966540e+03 3.161443e+00
7.079220e+03 3.313132e+00
7.193720e+03 3.472120e+00
7.310070e+03 3.638766e+00
7.311700e+03 3.641129e+00
7.311900e+03 2.627267e+00
7.428310e+03 2.749647e+00
7.548450e+03 2.879800e+00
7.670540e+03 3.016146e+00
7.736700e+03 3.091771e+00
7.736900e+03 2.700620e+00
7.794610e+03 2.749659e+00
7.920680e+03 2.858629e+00
8.048790e+03 2.972597e+00
8.178980e+03 3.091639e+00
8.311260e+03 3.216064e+00
8.445690e+03 3.346125e+00
8.582290e+03 3.482179e+00
8.721110e+03 3.624356e+00
8.862160e+03 3.772866e+00
9.005500e+03 3.928184e+00
9.151160e+03 4.090603e+00
9.299170e+03 4.260342e+00
9.449580e+03 4.437694e+00
9.602420e+03 4.623131e+00
9.757730e+03 4.817072e+00
9.915550e+03 5.019658e+00
1.007590e+04 5.231553e+00
1.023890e+04 5.453111e+00
1.040450e+04 5.684718e+00
1.057280e+04 5.926889e+00
1.074380e+04 6.180061e+00
1.091760e+04 6.444785e+00
1.109420e+04 6.721563e+00
1.127360e+04 7.010922e+00
1.145590e+04 7.313474e+00
1.164120e+04 7.629866e+00
1.182950e+04 7.960698e+00
1.202080e+04 8.306615e+00
1.221530e+04 8.668394e+00
1.241280e+04 9.046606e+00
1.261360e+04 9.442189e+00
1.281760e+04 9.855821e+00
1.302500e+04 1.028847e+01
1.323560e+04 1.074079e+01
1.344970e+04 1.121389e+01
1.366720e+04 1.170861e+01
1.388830e+04 1.222605e+01
1.411290e+04 1.276715e+01
1.434120e+04 1.333312e+01
1.457310e+04 1.392494e+01
1.480890e+04 1.454405e+01
1.504840e+04 1.519145e+01
1.529180e+04 1.586858e+01
1.553910e+04 1.657675e+01
1.579040e+04 1.731741e+01
1.604580e+04 1.809210e+01
1.630540e+04 1.890247e+01
1.656910e+04 1.974991e+01
1.683710e+04 2.063633e+01
1.710940e+04 2.156338e+01
1.738610e+04 2.253298e+01
1.766740e+04 2.354737e+01
1.795310e+04 2.460807e+01
1.824350e+04 2.571760e+01
1.853860e+04 2.687806e+01
1.883840e+04 2.809177e+01
1.914310e+04 2.936126e+01
1.945270e+04 3.068899e+01
1.976740e+04 3.207785e+01
2.008710e+04 3.353026e+01
2.041200e+04 3.504949e+01
2.074210e+04 3.663828e+01
2.107760e+04 3.830009e+01
2.141850e+04 4.003790e+01
2.176500e+04 4.185582e+01
2.211700e+04 4.375666e+01
2.247470e+04 4.574473e+01
2.283820e+04 4.782387e+01
2.320760e+04 4.999827e+01
2.358300e+04 5.227234e+01
2.396440e+04 5.465026e+01
2.435200e+04 5.713709e+01
2.474590e+04 5.973766e+01
2.514620e+04 6.245702e+01
2.555290e+04 6.530051e+01
2.596620e+04 6.827398e+01
2.638610e+04 7.138259e+01
2.681290e+04 7.463337e+01
2.724660e+04 7.803250e+01
2.768730e+04 8.158627e+01
2.813510e+04 8.530120e+01
2.859020e+04 8.918607e+01
2.905260e+04 9.324671e+01
2.952250e+04 9.749218e+01
3.000000e+04 1.019298e+02
