# material=Pb density=11.34
# Photon Energy [eV]  Attenuation Length [um]
8.379490e+02 1.211836e-01
8.515020e+02 1.237760e-01
8.652740e+02 1.263681e-01
8.792690e+02 1.286539e-01
8.934910e+02 1.309846e-01
9.079430e+02 1.333586e-01
9.226280e+02 1.357764e-01
9.375510e+02 1.392453e-01
9.527150e+02 1.430842e-01
9.681240e+02 1.472843e-01
9.837830e+02 1.516124e-01
9.996950e+02 1.561035e-01
1.015860e+03 1.607668e-01
1.032290e+03 1.659700e-01
1.048990e+03 1.713625e-01
1.065960e+03 1.769487e-01
1.083200e+03 1.827228e-01
1.100720e+03 1.886866e-01
1.118520e+03 1.948464e-01
1.136610e+03 2.012129e-01
1.155000e+03 2.077928e-01
1.173680e+03 2.145899e-01
1.192660e+03 2.216117e-01
1.211950e+03 2.288669e-01
1.231550e+03 2.363603e-01
1.251470e+03 2.440867e-01
1.271720e+03 2.520487e-01
1.292290e+03 2.602440e-01
1.313190e+03 2.687101e-01
1.334430e+03 2.774548e-01
1.356010e+03 2.864880e-01
1.377940e+03 2.958208e-01
1.400230e+03 3.054632e-01
1.422880e+03 3.154264e-01
1.445890e+03 3.257139e-01
1.469280e+03 3.364038e-01
1.493040e+03 3.475469e-01
1.517190e+03 3.595035e-01
1.541730e+03 3.719352e-01
1.566670e+03 3.848040e-01
1.592010e+03 3.981174e-01
1.617760e+03 4.118940e-01
1.643920e+03 4.261612e-01
1.670510e+03 4.409226e-01
1.697530e+03 4.561963e-01
1.724990e+03 4.720040e-01
1.752890e+03 4.886985e-01
1.781240e+03 5.061042e-01
1.810050e+03 5.242382e-01
1.839320e+03 5.430093e-01
1.869070e+03 5.624540e-01
1.899300e+03 5.826023e-01
1.930020e+03 6.034679e-01
1.961240e+03 6.250859e-01
1.992960e+03 6.474814e-01
2.025200e+03 6.703188e-01
2.057950e+03 6.946779e-01
2.091240e+03 7.200723e-01
2.125060e+03 7.464689e-01
2.159430e+03 7.739317e-01
2.194360e+03 8.025001e-01
2.229850e+03 8.322317e-01
2.265920e+03 8.631361e-01
2.302570e+03 8.953272e-01
2.339810e+03 9.287963e-01
2.377660e+03 9.636697e-01
2.416110e+03 9.999751e-01
2.455190e+03 1.037763e+00
2.483900e+03 1.066035e+00
2.484100e+03 3.980058e-01
2.494900e+03 4.022895e-01
2.535260e+03 4.185330e-01
2.576260e+03 4.353976e-01
2.585500e+03 4.392536e-01
2.585700e+03 3.021132e-01
2.617930e+03 3.114019e-01
2.660270e+03 3.238587e-01
2.703300e+03 3.368016e-01
2.747030e+03 3.502568e-01
2.791460e+03 3.642366e-01
2.836610e+03 3.787588e-01
2.882490e+03 3.938486e-01
2.929110e+03 4.095333e-01
2.976480e+03 4.258342e-01
3.024630e+03 4.427805e-01
3.066300e+03 4.577641e-01
3.066500e+03 3.948386e-01
3.073550e+03 3.970698e-01
3.123260e+03 4.130216e-01
3.173780e+03 4.296109e-01
3.225110e+03 4.468466e-01
3.277270e+03 4.647768e-01
3.330280e+03 4.834196e-01
3.384150e+03 5.027850e-01
3.438880e+03 5.229222e-01
3.494500e+03 5.438590e-01
3.551020e+03 5.656368e-01
3.554100e+03 5.668386e-01
3.554300e+03 5.346057e-01
3.608460e+03 5.544760e-01
3.666820e+03 5.763670e-01
3.726130e+03 5.991412e-01
3.786400e+03 6.227876e-01
3.847640e+03 6.473429e-01
3.850600e+03 6.485445e-01
3.850800e+03 6.215120e-01
3.909870e+03 6.447592e-01
3.973110e+03 6.702002e-01
4.037380e+03 6.966631e-01
4.102680e+03 7.242941e-01
4.169030e+03 7.530683e-01
4.236460e+03 7.830510e-01
4.304980e+03 8.142955e-01
4.374620e+03 8.468581e-01
4.445370e+03 8.807973e-01
4.517270e+03 9.161898e-01
4.590330e+03 9.530254e-01
4.664580e+03 9.914567e-01
4.740030e+03 1.031498e+00
4.816690e+03 1.073229e+00
4.894600e+03 1.116725e+00
4.973770e+03 1.162052e+00
5.054210e+03 1.209307e+00
5.135960e+03 1.258542e+00
5.219030e+03 1.309857e+00
5.303440e+03 1.363343e+00
5.389220e+03 1.419076e+00
5.476390e+03 1.477190e+00
5.564970e+03 1.537727e+00
5.654980e+03 1.600822e+00
5.746440e+03 1.666588e+00
5.839390e+03 1.735141e+00
5.933830e+03 1.806560e+00
6.029810e+03 1.881006e+00
6.127330e+03 1.958623e+00
6.226440e+03 2.039475e+00
6.327150e+03 2.123745e+00
6.429480e+03 2.211605e+00
6.533480e+03 2.303155e+00
6.639150e+03 2.398551e+00
