# material=V density=6.11
# Photon Energy [eV]  Attenuation Length [um]
7.137330e+02 1.163399e-01
7.252770e+02 1.206535e-01
7.370080e+02 1.251307e-01
7.489280e+02 1.297768e-01
7.610420e+02 1.345976e-01
7.733510e+02 1.396072e-01
7.858590e+02 1.448774e-01
7.985700e+02 1.504089e-01
8.114860e+02 1.561503e-01
8.246110e+02 1.621065e-01
8.379490e+02 1.682880e-01
8.515020e+02 1.747298e-01
8.652740e+02 1.814431e-01
8.792690e+02 1.884369e-01
8.934910e+02 1.957022e-01
9.079430e+02 2.032472e-01
9.226280e+02 2.110827e-01
9.375510e+02 2.193765e-01
9.527150e+02 2.280384e-01
9.681240e+02 2.370805e-01
9.837830e+02 2.464826e-01
9.996950e+02 2.562572e-01
1.015860e+03 2.664169e-01
1.032290e+03 2.769831e-01
1.048990e+03 2.880783e-01
1.065960e+03 2.997418e-01
1.083200e+03 3.118765e-01
1.100720e+03 3.245027e-01
1.118520e+03 3.376389e-01
1.136610e+03 3.513063e-01
1.155000e+03 3.655306e-01
1.173680e+03 3.803296e-01
1.192660e+03 3.957236e-01
1.211950e+03 4.117443e-01
1.231550e+03 4.284144e-01
1.251470e+03 4.458610e-01
1.271720e+03 4.641286e-01
1.292290e+03 4.832817e-01
1.313190e+03 5.032311e-01
1.334430e+03 5.240070e-01
1.356010e+03 5.456409e-01
1.377940e+03 5.681631e-01
1.400230e+03 5.916213e-01
1.422880e+03 6.160564e-01
1.445890e+03 6.414749e-01
1.469280e+03 6.680312e-01
1.493040e+03 6.958236e-01
1.517190e+03 7.252992e-01
1.541730e+03 7.560911e-01
1.566670e+03 7.881826e-01
1.592010e+03 8.216633e-01
1.617760e+03 8.565633e-01
1.643920e+03 8.929235e-01
1.670510e+03 9.308540e-01
1.697530e+03 9.703908e-01
1.724990e+03 1.011594e+00
1.752890e+03 1.054937e+00
1.781240e+03 1.100273e+00
1.810050e+03 1.147670e+00
1.839320e+03 1.197114e+00
1.869070e+03 1.248706e+00
1.899300e+03 1.302532e+00
1.930020e+03 1.358674e+00
1.961240e+03 1.417224e+00
1.992960e+03 1.478247e+00
2.025200e+03 1.541482e+00
2.057950e+03 1.608161e+00
2.091240e+03 1.677926e+00
2.125060e+03 1.750749e+00
2.159430e+03 1.826807e+00
2.194360e+03 1.906233e+00
2.229850e+03 1.989201e+00
2.265920e+03 2.075839e+00
2.302570e+03 2.166319e+00
2.339810e+03 2.260820e+00
2.377660e+03 2.359553e+00
2.416110e+03 2.462653e+00
2.455190e+03 2.570318e+00
2.494900e+03 2.682796e+00
2.535260e+03 2.800302e+00
2.576260e+03 2.923007e+00
2.617930e+03 3.051165e+00
2.660270e+03 3.185067e+00
2.703300e+03 3.324972e+00
2.747030e+03 3.471069e+00
2.791460e+03 3.623694e+00
2.836610e+03 3.783138e+00
2.882490e+03 3.949717e+00
2.929110e+03 4.123798e+00
2.976480e+03 4.305616e+00
3.024630e+03 4.495560e+00
3.073550e+03 4.694089e+00
3.123260e+03 4.901491e+00
3.173780e+03 5.118123e+00
3.225110e+03 5.344493e+00
3.277270e+03 5.581003e+00
3.330280e+03 5.828426e+00
3.384150e+03 6.086744e+00
3.438880e+03 6.356681e+00
3.494500e+03 6.638929e+00
3.551020e+03 6.933935e+00
3.608460e+03 7.242191e+00
3.666820e+03 7.564344e+00
3.726130e+03 7.901130e+00
3.786400e+03 8.253224e+00
3.847640e+03 8.621321e+00
3.909870e+03 9.006149e+00
3.973110e+03 9.408314e+00
4.037380e+03 9.829255e+00
4.102680e+03 1.026877e+01
4.169030e+03 1.072905e+01
4.236460e+03 1.121013e+01
4.304980e+03 1.171286e+01
4.374620e+03 1.223944e+01
4.445370e+03 1.278981e+01
4.517270e+03 1.336603e+01
4.590330e+03 1.396800e+01
4.664580e+03 1.459896e+01
4.740030e+03 1.525854e+01
4.816690e+03 1.594803e+01
4.894600e+03 1.667105e+01
4.973770e+03 1.742739e+01
5.054210e+03 1.821901e+01
5.135960e+03 1.904777e+01
5.219030e+03 1.991544e+01
5.303440e+03 2.082426e+01
5.389220e+03 2.177605e+01
5.465000e+03 2.263968e+01
5.465200e+03 2.700435e+00
5.476390e+03 2.713869e+00
5.564970e+03 2.821592e+00
5.654980e+03 2.934077e+00
5.746440e+03 3.051803e+00
5.839390e+03 3.174934e+00
5.933830e+03 3.303724e+00
6.029810e+03 3.438451e+00
6.127330e+03 3.579444e+00
6.226440e+03 3.726921e+00
6.327150e+03 3.881216e+00
6.429480e+03 4.042602e+00
6.533480e+03 4.211520e+00
6.639150e+03 4.388298e+00
6.746540e+03 4.573168e+00
6.855650e+03 4.766532e+00
6.966540e+03 4.969020e+00
7.079220e+03 5.180882e+00
7.193720e+03 5.402511e+00
7.310070e+03 5.634566e+00
7.428310e+03 5.877298e+00
7.548450e+03 6.131306e+00
7.670540e+03 6.397274e+00
7.794610e+03 6.675501e+00
7.920680e+03 6.966837e+00
8.048790e+03 7.271826e+00
8.178980e+03 7.590974e+00
8.311260e+03 7.925127e+00
8.445690e+03 8.275059e+00
8.582290e+03 8.641237e+00
8.721110e+03 9.024723e+00
8.862160e+03 9.426197e+00
9.005500e+03 9.846121e+00
9.151160e+03 1.028653e+01
9.299170e+03 1.074728e+01
9.449580e+03 1.122998e+01
9.602420e+03 1.173527e+01
9.757730e+03 1.226420e+01
9.915550e+03 1.281815e+01
1.007590e+04 1.339855e+01
1.023890e+04 1.400655e+01
1.040450e+04 1.464337e+01
1.057280e+04 1.531037e+01
1.074380e+04 1.600905e+01
1.091760e+04 1.674104e+01
1.109420e+04 1.750777e+01
1.127360e+04 1.831097e+01
1.145590e+04 1.915235e+01
1.164120e+04 2.003403e+01
1.182950e+04 2.095772e+01
1.202080e+04 2.192558e+01
1.221530e+04 2.293986e+01
1.241280e+04 2.400237e+01
1.261360e+04 2.511602e+01
1.281760e+04 2.628289e+01
1.302500e+04 2.750599e+01
1.323560e+04 2.878740e+01
1.344970e+04 3.013058e+01
1.366720e+04 3.153822e+01
1.388830e+04 3.301376e+01
1.411290e+04 3.456016e+01
1.434120e+04 3.618117e+01
1.457310e+04 3.788020e+01
1.480890e+04 3.966152e+01
1.504840e+04 4.152857e+01
1.529180e+04 4.348586e+01
1.553910e+04 4.553775e+01
1.579040e+04 4.768886e+01
1.604580e+04 4.994428e+01
1.630540e+04 5.230925e+01
1.656910e+04 5.478842e+01
1.683710e+04 5.738815e+01
1.710940e+04 6.011390e+01
1.738610e+04 6.297209e+01
1.766740e+04 6.596959e+01
1.795310e+04 6.911243e+01
1.824350e+04 7.240862e+01
1.853860e+04 7.586544e+01
1.883840e+04 7.949038e+01
1.914310e+04 8.329234e+01
1.945270e+04 8.727968e+01
1.976740e+04 9.146232e+01
2.008710e+04 9.584871e+01
2.041200e+04 1.004501e+02
2.074210e+04 1.052759e+02
2.107760e+04 1.103389e+02
2.141850e+04 1.156493e+02
2.176500e+04 1.212205e+02
2.211700e+04 1.270647e+02
2.247470e+04 1.331955e+02
2.283820e+04 1.396278e+02
2.320760e+04 1.463764e+02
2.358300e+04 1.534568e+02
2.396440e+04 1.608848e+02
2.435200e+04 1.686795e+02
2.474590e+04 1.768577e+02
2.514620e+04 1.854392e+02
2.555290e+04 1.944438e+02
2.596620e+04 2.038925e+02
2.638610e+04 2.138084e+02
2.681290e+04 2.242138e+02
2.724660e+04 2.351336e+02
2.768730e+04 2.465938e+02
2.813510e+04 2.586211e+02
2.859020e+04 2.712447e+02
2.905260e+04 2.844932e+02
2.952250e+04 2.983992e+02
3.000000e+04 3.129942e+02
