# material=Pr density=6.64
# Photon Energy [eV]  Attenuation Length [um]
2.396440e+04 7.289290e+01
2.435200e+04 7.621876e+01
2.474590e+04 7.969674e+01
2.514620e+04 8.333345e+01
2.555290e+04 8.713601e+01
2.596620e+04 9.111138e+01
2.638610e+04 9.526801e+01
2.681290e+04 9.961396e+01
2.724660e+04 1.041580e+02
2.768730e+04 1.089080e+02
2.813510e+04 1.138732e+02
2.859020e+04 1.190644e+02
2.905260e+04 1.244906e+02
2.952250e+04 1.301616e+02
3.000000e+04 1.360896e+02
