# material=I density=4.94
# Photon Energy [eV]  Attenuation Length [um]
1.118520e+03 2.782554e-01
1.136610e+03 2.871258e-01
1.155000e+03 2.962819e-01
1.173680e+03 3.057294e-01
1.192660e+03 3.154736e-01
1.211950e+03 3.255311e-01
1.231550e+03 3.359079e-01
1.251470e+03 3.470944e-01
1.271720e+03 3.591975e-01
1.292290e+03 3.724167e-01
1.313190e+03 3.861188e-01
1.334430e+03 4.003272e-01
1.356010e+03 4.150577e-01
1.377940e+03 4.303361e-01
1.400230e+03 4.461740e-01
1.422880e+03 4.625931e-01
1.445890e+03 4.796163e-01
1.469280e+03 4.973137e-01
1.493040e+03 5.157328e-01
1.517190e+03 5.351358e-01
1.541730e+03 5.553129e-01
1.566670e+03 5.762536e-01
1.592010e+03 5.979863e-01
1.617760e+03 6.205367e-01
1.643920e+03 6.439267e-01
1.670510e+03 6.682164e-01
1.697530e+03 6.934184e-01
1.724990e+03 7.195662e-01
1.752890e+03 7.469761e-01
1.781240e+03 7.755195e-01
1.810050e+03 8.052220e-01
1.839320e+03 8.360822e-01
1.869070e+03 8.681314e-01
1.899300e+03 9.013957e-01
1.930020e+03 9.359409e-01
1.961240e+03 9.718000e-01
1.992960e+03 1.009016e+00
2.025200e+03 1.047304e+00
2.057950e+03 1.087746e+00
2.091240e+03 1.129846e+00
2.125060e+03 1.173649e+00
2.159430e+03 1.219203e+00
2.194360e+03 1.266616e+00
2.229850e+03 1.316007e+00
2.265920e+03 1.367367e+00
2.302570e+03 1.420822e+00
2.339810e+03 1.476495e+00
2.377660e+03 1.534449e+00
2.416110e+03 1.594816e+00
2.455190e+03 1.657634e+00
2.494900e+03 1.723104e+00
2.535260e+03 1.791258e+00
2.576260e+03 1.862291e+00
2.617930e+03 1.936297e+00
2.660270e+03 2.013421e+00
2.703300e+03 2.093679e+00
2.747030e+03 2.177422e+00
2.791460e+03 2.264701e+00
2.836610e+03 2.355691e+00
2.882490e+03 2.450597e+00
2.929110e+03 2.549555e+00
2.976480e+03 2.652783e+00
3.024630e+03 2.760451e+00
3.073550e+03 2.872801e+00
3.123260e+03 2.990077e+00
3.173780e+03 3.112458e+00
3.225110e+03 3.240223e+00
3.277270e+03 3.373643e+00
3.330280e+03 3.512998e+00
3.384150e+03 3.658562e+00
3.438880e+03 3.810653e+00
3.494500e+03 3.969610e+00
3.551020e+03 4.135751e+00
3.608460e+03 4.309523e+00
3.666820e+03 4.491246e+00
3.726130e+03 4.681294e+00
3.786400e+03 4.880277e+00
3.847640e+03 5.088516e+00
3.909870e+03 5.306451e+00
3.973110e+03 5.534781e+00
4.037380e+03 5.774003e+00
4.102680e+03 6.024673e+00
4.169030e+03 6.287489e+00
4.236460e+03 6.563124e+00
4.304980e+03 6.852115e+00
4.374620e+03 7.155663e+00
4.445370e+03 7.474362e+00
4.517270e+03 7.808907e+00
4.557000e+03 7.997752e+00
4.557200e+03 2.553582e+00
4.590330e+03 2.602531e+00
4.664580e+03 2.714303e+00
4.740030e+03 2.830873e+00
4.816690e+03 2.952417e+00
4.852000e+03 3.009469e+00
4.852200e+03 2.206029e+00
4.894600e+03 2.257365e+00
4.973770e+03 2.355228e+00
5.054210e+03 2.457286e+00
5.135960e+03 2.563798e+00
5.188000e+03 2.633052e+00
5.188200e+03 2.268458e+00
5.219030e+03 2.302419e+00
5.303440e+03 2.396974e+00
5.389220e+03 2.495795e+00
5.476390e+03 2.598979e+00
5.564970e+03 2.706774e+00
5.654980e+03 2.819428e+00
5.746440e+03 2.937109e+00
5.839390e+03 3.060068e+00
5.933830e+03 3.188522e+00
6.029810e+03 3.322719e+00
6.127330e+03 3.462981e+00
6.226440e+03 3.609519e+00
6.327150e+03 3.762621e+00
6.429480e+03 3.922593e+00
6.533480e+03 4.089747e+00
6.639150e+03 4.264417e+00
6.746540e+03 4.446926e+00
6.855650e+03 4.637613e+00
6.966540e+03 4.836913e+00
7.079220e+03 5.045222e+00
7.193720e+03 5.262813e+00
7.310070e+03 5.490299e+00
7.428310e+03 5.727986e+00
7.548450e+03 5.976273e+00
7.670540e+03 6.235809e+00
7.794610e+03 6.507066e+00
7.920680e+03 6.790507e+00
8.048790e+03 7.086924e+00
8.178980e+03 7.396678e+00
8.311260e+03 7.720114e+00
8.445690e+03 8.058264e+00
8.582290e+03 8.412022e+00
8.721110e+03 8.781428e+00
8.862160e+03 9.167456e+00
9.005500e+03 9.570988e+00
9.151160e+03 9.993263e+00
9.299170e+03 1.043398e+01
9.449580e+03 1.089490e+01
9.602420e+03 1.137658e+01
9.757730e+03 1.188023e+01
9.915550e+03 1.240679e+01
1.007590e+04 1.295692e+01
1.023890e+04 1.353201e+01
1.040450e+04 1.413308e+01
1.057280e+04 1.476145e+01
1.074380e+04 1.541823e+01
1.091760e+04 1.610479e+01
1.109420e+04 1.682248e+01
1.127360e+04 1.757258e+01
1.145590e+04 1.835670e+01
1.164120e+04 1.917644e+01
1.182950e+04 2.003336e+01
1.202080e+04 2.092903e+01
1.221530e+04 2.186557e+01
1.241280e+04 2.284425e+01
1.261360e+04 2.386763e+01
1.281760e+04 2.493731e+01
1.302500e+04 2.605577e+01
1.323560e+04 2.722466e+01
1.344970e+04 2.844678e+01
1.366720e+04 2.972427e+01
1.388830e+04 3.106003e+01
1.411290e+04 3.245622e+01
1.434120e+04 3.391599e+01
1.457310e+04 3.544198e+01
1.480890e+04 3.703768e+01
1.504840e+04 3.870561e+01
1.529180e+04 4.044927e+01
1.553910e+04 4.227236e+01
1.579040e+04 4.417833e+01
1.604580e+04 4.617095e+01
1.630540e+04 4.825463e+01
1.656910e+04 5.043274e+01
1.683710e+04 5.271048e+01
1.710940e+04 5.509135e+01
1.738610e+04 5.758103e+01
1.766740e+04 6.018438e+01
1.795310e+04 6.290605e+01
1.824350e+04 6.575205e+01
1.853860e+04 6.872795e+01
1.883840e+04 7.183922e+01
1.914310e+04 7.509328e+01
1.945270e+04 7.849527e+01
1.976740e+04 8.205337e+01
2.008710e+04 8.577335e+01
2.041200e+04 8.966435e+01
2.074210e+04 9.373263e+01
2.107760e+04 9.798761e+01
2.141850e+04 1.024368e+02
2.176500e+04 1.070908e+02
2.211700e+04 1.119585e+02
2.247470e+04 1.170488e+02
2.283820e+04 1.223734e+02
2.320760e+04 1.279429e+02
2.358300e+04 1.337682e+02
2.396440e+04 1.398613e+02
2.435200e+04 1.462364e+02
2.474590e+04 1.529047e+02
2.514620e+04 1.598814e+02
2.555290e+04 1.671798e+02
2.596620e+04 1.748160e+02
2.638610e+04 1.828054e+02
2.681290e+04 1.911658e+02
2.724660e+04 1.999142e+02
2.768730e+04 2.090691e+02
2.813510e+04 2.186497e+02
2.859020e+04 2.286773e+02
2.905260e+04 2.391719e+02
2.952250e+04 2.501575e+02
3.000000e+04 2.616568e+02
